Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,ETANOL,07/06/2023,4.49,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL S10,07/06/2023,5.54,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL,07/06/2023,5.44,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA ADITIVADA,07/06/2023,5.8,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA,07/06/2023,5.79,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,ETANOL,14/06/2023,4.49,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL S10,14/06/2023,5.54,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,DIESEL,14/06/2023,5.44,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA ADITIVADA,14/06/2023,5.8,,R$ / litro,WALENDOWSKY,2023-11-21
S,SC,BRUSQUE,AUTO POSTO DANIELA LTDA,24.541.540/0001-40,RUA BLUMENAU,240,,STEFFEN,88350-000,GASOLINA,14/06/2023,5.79,,R$ / litro,WALENDOWSKY,2023-11-21
