Produto,Data da Coleta,Valor de Venda
DIESEL S10,11/01/2023,6.47
DIESEL S10,05/01/2023,6.52
DIESEL S10,10/01/2023,6.51
DIESEL S10,18/01/2023,6.47
DIESEL S10,26/01/2023,6.43
DIESEL S10,13/01/2023,6.43
DIESEL S10,20/01/2023,6.35
DIESEL S10,25/01/2023,6.39
DIESEL S10,19/01/2023,6.42
DIESEL S10,04/01/2023,6.52
DIESEL S10,06/01/2023,6.21
DIESEL S10,03/01/2023,6.55
DIESEL S10,17/01/2023,6.44
DIESEL S10,16/01/2023,6.44
DIESEL S10,09/01/2023,6.48
DIESEL S10,12/01/2023,6.45
DIESEL S10,24/01/2023,6.4
DIESEL S10,23/01/2023,6.41
DIESEL S10,02/01/2023,6.57
DIESEL S10,17/02/2023,6.17
DIESEL S10,02/02/2023,6.45
DIESEL S10,23/02/2023,6.1
DIESEL S10,07/02/2023,6.4
DIESEL S10,06/02/2023,6.36
DIESEL S10,01/02/2023,6.45
DIESEL S10,21/02/2023,6.06
DIESEL S10,13/02/2023,6.18
DIESEL S10,31/01/2023,6.39
DIESEL S10,03/02/2023,6.14
DIESEL S10,10/02/2023,6.26
DIESEL S10,15/02/2023,6.16
DIESEL S10,09/02/2023,6.28
DIESEL S10,20/02/2023,6.12
DIESEL S10,08/02/2023,6.38
DIESEL S10,22/02/2023,6.07
DIESEL S10,16/02/2023,6.05
DIESEL S10,24/02/2023,6.01
DIESEL S10,30/01/2023,6.4
DIESEL S10,14/02/2023,6.14
DIESEL S10,07/03/2023,6.03
DIESEL S10,21/03/2023,5.97
DIESEL S10,17/03/2023,6.01
DIESEL S10,06/03/2023,6.04
DIESEL S10,16/03/2023,6.01
DIESEL S10,08/03/2023,6.06
DIESEL S10,20/03/2023,5.97
DIESEL S10,28/02/2023,6.06
DIESEL S10,23/03/2023,5.92
DIESEL S10,14/03/2023,6.0
DIESEL S10,27/02/2023,6.02
DIESEL S10,15/03/2023,6.02
DIESEL S10,13/03/2023,6.0
DIESEL S10,10/03/2023,6.0
DIESEL S10,22/03/2023,6.01
DIESEL S10,01/03/2023,6.12
DIESEL S10,02/03/2023,6.07
DIESEL S10,03/03/2023,6.05
DIESEL S10,09/03/2023,6.0
DIESEL S10,24/03/2023,5.95
DIESEL S10,31/03/2023,5.94
DIESEL S10,29/03/2023,5.91
DIESEL S10,13/04/2023,5.83
DIESEL S10,27/03/2023,5.9
DIESEL S10,06/04/2023,5.86
DIESEL S10,28/03/2023,5.91
DIESEL S10,12/04/2023,5.92
DIESEL S10,03/04/2023,5.84
DIESEL S10,07/04/2023,5.93
DIESEL S10,10/04/2023,5.86
DIESEL S10,30/03/2023,5.89
DIESEL S10,05/04/2023,5.96
DIESEL S10,04/04/2023,5.91
DIESEL S10,11/04/2023,5.85
DIESEL S10,14/04/2023,5.76
DIESEL S10,18/04/2023,5.86
DIESEL S10,25/04/2023,5.77
DIESEL S10,20/04/2023,5.76
DIESEL S10,26/04/2023,5.84
DIESEL S10,24/04/2023,5.81
DIESEL S10,04/05/2023,5.68
DIESEL S10,02/05/2023,5.74
DIESEL S10,05/05/2023,5.78
DIESEL S10,03/05/2023,5.78
DIESEL S10,01/05/2023,5.76
DIESEL S10,27/04/2023,5.83
DIESEL S10,21/04/2023,5.92
DIESEL S10,28/04/2023,5.7
DIESEL S10,17/04/2023,5.83
DIESEL S10,19/04/2023,5.84
DIESEL S10,25/05/2023,5.25
DIESEL S10,18/05/2023,5.43
DIESEL S10,08/05/2023,5.63
DIESEL S10,16/05/2023,5.5
DIESEL S10,24/05/2023,5.26
DIESEL S10,23/05/2023,5.27
DIESEL S10,12/05/2023,5.48
DIESEL S10,19/05/2023,5.35
DIESEL S10,11/05/2023,5.59
DIESEL S10,09/05/2023,5.62
DIESEL S10,26/05/2023,5.23
DIESEL S10,10/05/2023,5.62
DIESEL S10,22/05/2023,5.27
DIESEL S10,17/05/2023,5.53
DIESEL S10,15/05/2023,5.55
DIESEL S10,01/06/2023,5.17
DIESEL S10,07/06/2023,5.15
DIESEL S10,21/06/2023,5.09
DIESEL S10,05/06/2023,5.16
DIESEL S10,15/06/2023,5.14
DIESEL S10,19/06/2023,5.1
DIESEL S10,23/06/2023,5.16
DIESEL S10,30/05/2023,5.18
DIESEL S10,22/06/2023,5.11
DIESEL S10,12/06/2023,5.13
DIESEL S10,20/06/2023,5.1
DIESEL S10,02/06/2023,5.08
DIESEL S10,16/06/2023,5.15
DIESEL S10,29/05/2023,5.2
DIESEL S10,31/05/2023,5.2
DIESEL S10,13/06/2023,5.13
DIESEL S10,08/06/2023,5.17
DIESEL S10,06/06/2023,5.16
DIESEL S10,14/06/2023,5.18
DIESEL S10,09/06/2023,5.15
DIESEL S10,30/06/2023,4.9
DIESEL S10,28/06/2023,5.08
DIESEL S10,27/06/2023,5.09
DIESEL S10,29/06/2023,5.08
DIESEL S10,26/06/2023,5.07
