Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,FOZ DO IGUACU,TEIXEIRA COMERCIO DE COMBUSTIVEIS LTDA,12.323.271/0001-67,RODOVIA BR-277,8870,,TRES LAGOAS,85862-409,DIESEL S10,02/05/2023,6.2,,R$ / litro,RAIZEN,2023-11-21
SE,SP,JALES,AUTO POSTO MALONI LTDA,11.690.729/0002-34,RUA AYRTON SENNA DA SILVA,360,,JARDIM ACLIMACAO,15700-000,DIESEL S10,04/05/2023,5.99,,R$ / litro,BRANCA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,DIESEL S10,01/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,DIESEL S10,01/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,PR,FOZ DO IGUACU,AUTO POSTO PRISMA LTDA,11.517.086/0001-40,AVENIDA JUSCELINO KUBITSCHECK,4437,,VILA PORTES,85865-000,DIESEL S10,02/05/2023,5.99,,R$ / litro,IPIRANGA,2023-11-21
NE,PE,RECIFE,POSTO SEJAL LTDA.,08.264.428/0002-34,AVENIDA   MILITAR,545,,RECIFE,50030-270,DIESEL S10,02/05/2023,5.38,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PE,SANTA CRUZ DO CAPIBARIBE,AUTO POSTO BADU LTDA,12.435.233/0001-04,RUA SEVERINA MOURA DE OLIVEIRA,13,,MALAQUIAS CARDOSO,55190-001,DIESEL S10,04/05/2023,5.29,,R$ / litro,BRANCA,2023-11-21
NE,MA,CAXIAS,POSTO SANTA RITA COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,12.286.629/0001-29,RODOVIA BR-316,SN,"KM: 550,3;",VOLTA REDONDA,65606-525,DIESEL S10,03/05/2023,5.29,,R$ / litro,SABBÁ,2023-11-21
NE,CE,CRATO,MSB COMERCIO DE COMBUSTIVEIS LTDA.,13.173.181/0001-08,AVENIDA AVENIDA PERIMETRAL DOM FRANCISCO,719,,PINTO MADEIRA,63101-095,DIESEL S10,04/05/2023,6.29,,R$ / litro,BRANCA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,A. C. DERIVADOS DE PETROLEO LTDA,11.439.151/0001-67,RODOVIA BR 101,S/N,KM    89,PALESTINA,49160-000,DIESEL S10,04/05/2023,5.33,,R$ / litro,BRANCA,2023-11-21
NE,CE,FORTALEZA,POSTO BOM JESUS COMERCIO SERVICOS E DERIVADOS DE PETROLEO LTDA,11.294.662/0001-38,RUA OSCAR ARARIPE,3735,,GRANJA LISBOA,60540-442,DIESEL S10,03/05/2023,5.79,,R$ / litro,SP,2023-11-21
