Produto,Data da Coleta,Valor de Venda
DIESEL,24/01/2023,6.29
DIESEL,10/01/2023,6.39
DIESEL,26/01/2023,6.3
DIESEL,18/01/2023,6.37
DIESEL,04/01/2023,6.4
DIESEL,05/01/2023,6.4
DIESEL,17/01/2023,6.34
DIESEL,11/01/2023,6.37
DIESEL,06/01/2023,6.03
DIESEL,25/01/2023,6.29
DIESEL,23/01/2023,6.32
DIESEL,09/01/2023,6.37
DIESEL,20/01/2023,6.2
DIESEL,13/01/2023,6.19
DIESEL,02/01/2023,6.47
DIESEL,03/01/2023,6.45
DIESEL,19/01/2023,6.28
DIESEL,16/01/2023,6.31
DIESEL,12/01/2023,6.31
DIESEL,14/02/2023,6.04
DIESEL,20/02/2023,6.01
DIESEL,07/02/2023,6.31
DIESEL,31/01/2023,6.28
DIESEL,22/02/2023,5.97
DIESEL,23/02/2023,5.96
DIESEL,09/02/2023,6.12
DIESEL,13/02/2023,6.06
DIESEL,21/02/2023,5.94
DIESEL,30/01/2023,6.29
DIESEL,02/02/2023,6.3
DIESEL,03/02/2023,6.49
DIESEL,15/02/2023,6.06
DIESEL,17/02/2023,6.02
DIESEL,24/02/2023,5.91
DIESEL,01/02/2023,6.35
DIESEL,08/02/2023,6.29
DIESEL,16/02/2023,5.91
DIESEL,06/02/2023,6.25
DIESEL,21/03/2023,5.89
DIESEL,17/03/2023,5.91
DIESEL,14/03/2023,5.91
DIESEL,20/03/2023,5.86
DIESEL,13/03/2023,5.89
DIESEL,28/02/2023,5.98
DIESEL,01/03/2023,6.0
DIESEL,02/03/2023,5.96
DIESEL,27/02/2023,5.91
DIESEL,15/03/2023,5.91
DIESEL,03/03/2023,5.92
DIESEL,16/03/2023,5.92
DIESEL,06/03/2023,5.92
DIESEL,07/03/2023,5.95
DIESEL,22/03/2023,5.91
DIESEL,23/03/2023,5.81
DIESEL,10/03/2023,5.79
DIESEL,08/03/2023,5.96
DIESEL,09/03/2023,5.87
DIESEL,27/03/2023,5.81
DIESEL,11/04/2023,5.78
DIESEL,04/04/2023,5.84
DIESEL,03/04/2023,5.75
DIESEL,30/03/2023,5.77
DIESEL,29/03/2023,5.83
DIESEL,05/04/2023,5.89
DIESEL,14/04/2023,5.67
DIESEL,13/04/2023,5.75
DIESEL,06/04/2023,5.7
DIESEL,10/04/2023,5.74
DIESEL,07/04/2023,5.91
DIESEL,12/04/2023,5.84
DIESEL,24/03/2023,6.01
DIESEL,28/03/2023,5.83
DIESEL,31/03/2023,5.73
DIESEL,04/05/2023,5.54
DIESEL,27/04/2023,5.75
DIESEL,26/04/2023,5.77
DIESEL,02/05/2023,5.67
DIESEL,28/04/2023,5.58
DIESEL,05/05/2023,5.72
DIESEL,17/04/2023,5.72
DIESEL,20/04/2023,5.64
DIESEL,03/05/2023,5.73
DIESEL,25/04/2023,5.71
DIESEL,24/04/2023,5.69
DIESEL,18/04/2023,5.83
DIESEL,21/04/2023,5.92
DIESEL,01/05/2023,5.65
DIESEL,19/04/2023,5.75
DIESEL,24/05/2023,5.21
DIESEL,16/05/2023,5.45
DIESEL,26/05/2023,5.17
DIESEL,22/05/2023,5.17
DIESEL,18/05/2023,5.33
DIESEL,09/05/2023,5.56
DIESEL,15/05/2023,5.47
DIESEL,25/05/2023,5.13
DIESEL,23/05/2023,5.22
DIESEL,08/05/2023,5.53
DIESEL,17/05/2023,5.48
DIESEL,12/05/2023,5.34
DIESEL,10/05/2023,5.55
DIESEL,19/05/2023,5.12
DIESEL,11/05/2023,5.46
DIESEL,31/05/2023,5.13
DIESEL,09/06/2023,5.11
DIESEL,06/06/2023,5.11
DIESEL,19/06/2023,5.01
DIESEL,13/06/2023,5.08
DIESEL,21/06/2023,5.05
DIESEL,30/05/2023,5.15
DIESEL,05/06/2023,5.07
DIESEL,14/06/2023,5.09
DIESEL,12/06/2023,5.05
DIESEL,23/06/2023,4.96
DIESEL,15/06/2023,5.07
DIESEL,07/06/2023,5.06
DIESEL,16/06/2023,5.06
DIESEL,01/06/2023,5.04
DIESEL,20/06/2023,5.03
DIESEL,08/06/2023,5.07
DIESEL,02/06/2023,5.19
DIESEL,29/05/2023,5.1
DIESEL,22/06/2023,5.01
DIESEL,29/06/2023,4.97
DIESEL,27/06/2023,5.01
DIESEL,28/06/2023,5.05
DIESEL,26/06/2023,4.98
DIESEL,30/06/2023,4.93
