Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,SP,AMPARO,AUTO POSTO WG DE AMPARO LTDA,33.046.820/0001-73,PRAÇA DOUTOR VIRGILIO DE ARAUJO,52,,,13004-415,ETANOL,24/05/2023,3.59,,R$ / litro,BRANCA,2023-11-21
S,PR,CURITIBA,AUTO POSTO QUALITA LTDA,35.754.255/0001-24,AVENIDA VICTOR FERREIRA DO AMARAL,3643,,BAIRRO ALTO,82810-350,ETANOL,24/05/2023,4.49,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,PARAGUACU PAULISTA,AUTO POSTO KAWAKAMI LTDA,28.973.159/0003-73,RUA PREF JOSE DELIBERADOR,323,SALA  1,CENTRO,19700-000,ETANOL,22/05/2023,3.49,,R$ / litro,BRANCA,2023-11-21
SE,MG,POUSO ALEGRE,REDE DOM PEDRO DE POSTOS LTDA.,20.415.295/0062-96,RUA FRANCISCO MASSAFERA,191,,SAO JOAO,37550-456,ETANOL,25/05/2023,3.59,,R$ / litro,BRANCA,2023-11-21
SE,MG,UBERABA,CLARA AUTO POSTO LTDA,37.039.384/0001-66,RUA MEDALHA MILAGROSA,29,,IRMAOS SOARES,38060-500,ETANOL,26/05/2023,3.45,,R$ / litro,BRANCA,2023-11-21
NE,BA,JACOBINA,REDE JG JACOBINA COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,34.733.643/0001-66,AVENIDA RAIMUNDO GORDIANO CEDRAZ,1140,,CATUABA,44700-000,ETANOL,24/05/2023,4.29,,R$ / litro,BRANCA,2023-11-21
SE,SP,COSMOPOLIS,OTONI AUTO POSTO LTDA,30.630.074/0001-72,AVENIDA ESTER,870,,CENTRO,13150-029,ETANOL,23/05/2023,3.64,,R$ / litro,BRANCA,2023-11-21
SE,SP,MOGI GUACU,AUTO POSTO MANAH DE MOGI MIRIM LTDA.,07.590.777/0002-83,AVENIDA BRASIL,1000,,JARDIM IGACABA,13845-360,ETANOL,22/05/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
S,RS,ESTEIO,GV COMERCIAL DE COMBUSTIVEIS LTDA,09.405.773/0002-03,RUA MONTEIRO LOBATO,16,,NOVO ESTEIO,93270-310,ETANOL,22/05/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
CO,DF,BRASILIA,AUTO POSTO FENIX ODJ LTDA,25.004.046/0002-90,QUADRA SHRF QN 7 AE 1,S/N,,RIACHO FUNDO I,71805-700,ETANOL,24/05/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
