Produto,Data da Coleta,Valor de Venda
GASOLINA ADITIVADA,12/01/2023,5.21
GASOLINA ADITIVADA,26/01/2023,5.3
GASOLINA ADITIVADA,24/01/2023,5.16
GASOLINA ADITIVADA,20/01/2023,5.2
GASOLINA ADITIVADA,02/01/2023,5.38
GASOLINA ADITIVADA,06/01/2023,5.27
GASOLINA ADITIVADA,04/01/2023,5.25
GASOLINA ADITIVADA,23/01/2023,5.14
GASOLINA ADITIVADA,05/01/2023,5.27
GASOLINA ADITIVADA,25/01/2023,5.21
GASOLINA ADITIVADA,19/01/2023,5.12
GASOLINA ADITIVADA,18/01/2023,5.2
GASOLINA ADITIVADA,11/01/2023,5.23
GASOLINA ADITIVADA,17/01/2023,5.18
GASOLINA ADITIVADA,16/01/2023,5.19
GASOLINA ADITIVADA,03/01/2023,5.29
GASOLINA ADITIVADA,09/01/2023,5.25
GASOLINA ADITIVADA,13/01/2023,5.13
GASOLINA ADITIVADA,10/01/2023,5.25
GASOLINA ADITIVADA,24/02/2023,5.33
GASOLINA ADITIVADA,06/02/2023,5.25
GASOLINA ADITIVADA,22/02/2023,5.27
GASOLINA ADITIVADA,17/02/2023,5.41
GASOLINA ADITIVADA,15/02/2023,5.28
GASOLINA ADITIVADA,14/02/2023,5.26
GASOLINA ADITIVADA,02/02/2023,5.38
GASOLINA ADITIVADA,08/02/2023,5.28
GASOLINA ADITIVADA,16/02/2023,5.29
GASOLINA ADITIVADA,03/02/2023,5.53
GASOLINA ADITIVADA,09/02/2023,5.26
GASOLINA ADITIVADA,10/02/2023,5.17
GASOLINA ADITIVADA,01/02/2023,5.33
GASOLINA ADITIVADA,20/02/2023,5.27
GASOLINA ADITIVADA,31/01/2023,5.27
GASOLINA ADITIVADA,21/02/2023,5.25
GASOLINA ADITIVADA,30/01/2023,5.3
GASOLINA ADITIVADA,07/02/2023,5.33
GASOLINA ADITIVADA,23/02/2023,5.31
GASOLINA ADITIVADA,13/02/2023,5.25
GASOLINA ADITIVADA,28/02/2023,5.34
GASOLINA ADITIVADA,23/03/2023,5.63
GASOLINA ADITIVADA,07/03/2023,5.76
GASOLINA ADITIVADA,17/03/2023,6.06
GASOLINA ADITIVADA,21/03/2023,5.72
GASOLINA ADITIVADA,10/03/2023,5.77
GASOLINA ADITIVADA,15/03/2023,5.71
GASOLINA ADITIVADA,22/03/2023,5.7
GASOLINA ADITIVADA,03/03/2023,5.79
GASOLINA ADITIVADA,08/03/2023,5.76
GASOLINA ADITIVADA,01/03/2023,5.57
GASOLINA ADITIVADA,27/02/2023,5.29
GASOLINA ADITIVADA,13/03/2023,5.72
GASOLINA ADITIVADA,06/03/2023,5.73
GASOLINA ADITIVADA,02/03/2023,5.77
GASOLINA ADITIVADA,14/03/2023,5.72
GASOLINA ADITIVADA,20/03/2023,5.69
GASOLINA ADITIVADA,09/03/2023,5.68
GASOLINA ADITIVADA,16/03/2023,5.71
GASOLINA ADITIVADA,31/03/2023,5.73
GASOLINA ADITIVADA,27/03/2023,5.65
