Produto,Data da Coleta,Valor de Venda
GASOLINA,11/01/2023,5.06
GASOLINA,17/01/2023,4.99
GASOLINA,04/01/2023,5.09
GASOLINA,20/01/2023,5.01
GASOLINA,12/01/2023,5.01
GASOLINA,16/01/2023,4.99
GASOLINA,13/01/2023,4.89
GASOLINA,09/01/2023,5.03
GASOLINA,19/01/2023,4.97
GASOLINA,18/01/2023,5.01
GASOLINA,05/01/2023,5.09
GASOLINA,10/01/2023,5.07
GASOLINA,03/01/2023,5.1
GASOLINA,26/01/2023,5.14
GASOLINA,25/01/2023,5.03
GASOLINA,24/01/2023,4.95
GASOLINA,02/01/2023,5.17
GASOLINA,23/01/2023,4.95
GASOLINA,06/01/2023,5.1
GASOLINA,22/02/2023,5.1
GASOLINA,24/02/2023,5.12
GASOLINA,15/02/2023,5.12
GASOLINA,17/02/2023,5.33
GASOLINA,02/02/2023,5.21
GASOLINA,23/02/2023,5.12
GASOLINA,07/02/2023,5.12
GASOLINA,20/02/2023,5.06
GASOLINA,09/02/2023,5.09
GASOLINA,21/02/2023,5.05
GASOLINA,30/01/2023,5.12
GASOLINA,01/02/2023,5.15
GASOLINA,14/02/2023,5.08
GASOLINA,06/02/2023,5.07
GASOLINA,13/02/2023,5.07
GASOLINA,31/01/2023,5.09
GASOLINA,10/02/2023,5.0
GASOLINA,08/02/2023,5.12
GASOLINA,03/02/2023,5.47
GASOLINA,16/02/2023,5.1
GASOLINA,02/03/2023,5.58
GASOLINA,03/03/2023,5.61
GASOLINA,08/03/2023,5.58
GASOLINA,23/03/2023,5.46
GASOLINA,07/03/2023,5.58
GASOLINA,13/03/2023,5.51
GASOLINA,10/03/2023,5.63
GASOLINA,06/03/2023,5.53
GASOLINA,27/02/2023,5.09
GASOLINA,09/03/2023,5.52
GASOLINA,20/03/2023,5.49
GASOLINA,21/03/2023,5.53
GASOLINA,01/03/2023,5.41
GASOLINA,16/03/2023,5.52
GASOLINA,14/03/2023,5.54
GASOLINA,17/03/2023,5.69
GASOLINA,28/02/2023,5.17
GASOLINA,15/03/2023,5.55
GASOLINA,22/03/2023,5.52
GASOLINA,29/03/2023,5.49
GASOLINA,07/04/2023,5.78
GASOLINA,05/04/2023,5.57
GASOLINA,04/04/2023,5.51
GASOLINA,27/03/2023,5.45
GASOLINA,10/04/2023,5.48
GASOLINA,31/03/2023,5.58
GASOLINA,03/04/2023,5.45
GASOLINA,14/04/2023,5.56
GASOLINA,30/03/2023,5.48
GASOLINA,28/03/2023,5.48
GASOLINA,12/04/2023,5.5
GASOLINA,11/04/2023,5.51
GASOLINA,13/04/2023,5.51
GASOLINA,06/04/2023,5.5
GASOLINA,24/03/2023,5.62
GASOLINA,18/04/2023,5.57
GASOLINA,01/05/2023,5.49
GASOLINA,17/04/2023,5.47
GASOLINA,27/04/2023,5.56
GASOLINA,04/05/2023,5.51
GASOLINA,02/05/2023,5.53
GASOLINA,19/04/2023,5.52
GASOLINA,26/04/2023,5.54
GASOLINA,25/04/2023,5.5
GASOLINA,03/05/2023,5.55
GASOLINA,05/05/2023,5.52
GASOLINA,24/04/2023,5.48
GASOLINA,21/04/2023,5.49
GASOLINA,20/04/2023,5.45
GASOLINA,28/04/2023,5.58
GASOLINA,23/05/2023,5.28
GASOLINA,19/05/2023,5.34
GASOLINA,22/05/2023,5.24
GASOLINA,25/05/2023,5.25
GASOLINA,18/05/2023,5.41
GASOLINA,17/05/2023,5.49
GASOLINA,15/05/2023,5.46
GASOLINA,26/05/2023,5.27
GASOLINA,12/05/2023,5.49
GASOLINA,09/05/2023,5.52
GASOLINA,24/05/2023,5.29
GASOLINA,08/05/2023,5.47
GASOLINA,16/05/2023,5.5
GASOLINA,10/05/2023,5.51
GASOLINA,11/05/2023,5.48
GASOLINA,06/06/2023,5.46
GASOLINA,14/06/2023,5.44
GASOLINA,19/06/2023,5.37
GASOLINA,15/06/2023,5.38
GASOLINA,20/06/2023,5.37
GASOLINA,05/06/2023,5.41
GASOLINA,13/06/2023,5.42
GASOLINA,07/06/2023,5.42
GASOLINA,23/06/2023,5.34
GASOLINA,30/05/2023,5.26
GASOLINA,16/06/2023,5.35
GASOLINA,02/06/2023,5.24
GASOLINA,08/06/2023,5.44
GASOLINA,31/05/2023,5.27
GASOLINA,21/06/2023,5.37
GASOLINA,01/06/2023,5.2
GASOLINA,29/05/2023,5.21
GASOLINA,12/06/2023,5.4
GASOLINA,22/06/2023,5.39
GASOLINA,09/06/2023,5.43
GASOLINA,28/06/2023,5.37
GASOLINA,30/06/2023,5.58
GASOLINA,29/06/2023,5.46
GASOLINA,27/06/2023,5.37
GASOLINA,26/06/2023,5.34
