Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,ES,VITORIA,POSTO THIAGO LIMITADA,01.514.752/0001-33,AVENIDA CEZAR HILAL,868,,BENTO FERREIRA,29050-662,GASOLINA,21/03/2023,5.32,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,ES,VITORIA,ARARA AZUL REDE DE POSTOS LTDA,04.145.589/0006-81,RUA DONA MARIA ROSA,265,,ANDORINHAS,29045-221,GASOLINA,21/03/2023,5.39,,R$ / litro,RAIZEN,2023-11-21
SE,ES,VITORIA,POSTO DE COMBUSTÍVEIS MIRANTE LTDA,02.922.895/0001-47,AVENIDA JOSE MARIA VIVACQUA SANTOS,1675,,AEROPORTO,29160-700,GASOLINA,21/03/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
SE,ES,VITORIA,POSTO DE COMBUSTIVEL IDEAL EIRELI,02.567.214/0001-70,AVENIDA VITORIA,3031,,GURIGICA,29027-080,GASOLINA,21/03/2023,5.32,,R$ / litro,IPIRANGA,2023-11-21
SE,ES,VITORIA,AUTO POSTO DA ILHA LTDA,00.690.555/0001-02,AVENIDA LEITAO DA SILVA,420,,PRAIA DO SUA,29052-110,GASOLINA,21/03/2023,5.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,GO,ANAPOLIS,IMPERIAL COMÉRCIO DE COMBUSTÍVEIS LTDA.,07.049.692/0001-01,AVENIDA BRASIL NORTE,2582,QD. 12 - LT. 01 A 06,ALVORADA,75084-555,GASOLINA,20/03/2023,5.09,,R$ / litro,ALESAT,2023-11-21
CO,GO,ANAPOLIS,AUTO POSTO CARRETEIRO LTDA,03.879.004/0001-80,AVENIDA BRASIL NORTE,4801,,JARDIM DAS AMÉRICAS,75045-190,GASOLINA,20/03/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,GO,ANAPOLIS,POSTO CENTRAL DE ANAPOLIS LTDA,01.799.279/0001-88,PRACA AMERICANO DO BRASIL,17,,CENTRO,75024-090,GASOLINA,22/03/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,ANAPOLIS,AUTO POSTO PARQUE DAS NACOES LTDA,02.796.544/0001-37,AVENIDA BUENO AIRES ESQUINA C/ ROD GO-222,280,,STR PARQUE DAS NACOE,75143-420,GASOLINA,20/03/2023,5.19,,R$ / litro,RAIZEN,2023-11-21
CO,GO,ANAPOLIS,LESSA GUIMARAES DERIVADOS DE PETROLEO LTDA,04.792.468/0001-17,AVENIDA FERNANDO COSTA,828,,VILA JAIARA,75064-780,GASOLINA,22/03/2023,4.99,,R$ / litro,BRANCA,2023-11-21
CO,GO,ANAPOLIS,AUTO POSTO IPANEMA II LTDA,01.703.149/0001-08,AVENIDA BRASIL,400,,ANDRACEL CENTER,75113-235,GASOLINA,22/03/2023,4.89,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,ANAPOLIS,SUPER POSTO SANTO ANTONIO LTDA,01.018.282/0001-17,RUA FLORIANO PEIXOTO,1256,0,CENTRO,75000-000,GASOLINA,20/03/2023,5.35,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,GO,ANAPOLIS,SANTANA PETROLEO E PECAS LTDA,00.403.785/0001-43,AVENIDA BRASIL,560,,CENTRO,75115-260,GASOLINA,22/03/2023,4.89,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,ANAPOLIS,POSTO CEBOLAO LTDA,00.043.554/0001-76,AVENIDA BRASIL,5786,,PARQUE SAO JOAO,75123-385,GASOLINA,20/03/2023,4.79,,R$ / litro,ALESAT,2023-11-21
