Produto,Data da Coleta,Valor de Venda
GNV,09/01/2023,4.87
GNV,16/01/2023,4.9
GNV,05/01/2023,4.91
GNV,20/01/2023,5.07
GNV,12/01/2023,4.77
GNV,18/01/2023,4.9
GNV,10/01/2023,4.93
GNV,02/01/2023,4.97
GNV,11/01/2023,4.96
GNV,23/01/2023,4.93
GNV,03/01/2023,5.0
GNV,04/01/2023,4.93
GNV,25/01/2023,5.05
GNV,19/01/2023,4.97
GNV,26/01/2023,4.77
GNV,24/01/2023,4.86
GNV,17/01/2023,4.92
GNV,06/01/2023,5.09
GNV,23/02/2023,4.41
GNV,24/02/2023,4.67
GNV,20/02/2023,4.81
GNV,14/02/2023,4.77
GNV,06/02/2023,4.9
GNV,09/02/2023,4.78
GNV,30/01/2023,4.86
GNV,02/02/2023,5.41
GNV,31/01/2023,4.9
GNV,07/02/2023,4.8
GNV,16/02/2023,5.07
GNV,22/02/2023,4.78
GNV,01/02/2023,4.89
GNV,13/02/2023,4.84
GNV,15/02/2023,4.68
GNV,17/02/2023,5.46
GNV,08/02/2023,4.71
GNV,21/02/2023,4.81
GNV,14/03/2023,4.67
GNV,07/03/2023,4.78
GNV,13/03/2023,4.75
GNV,06/03/2023,4.79
GNV,15/03/2023,4.49
GNV,16/03/2023,4.74
GNV,22/03/2023,4.62
GNV,09/03/2023,4.55
GNV,03/03/2023,4.68
GNV,28/02/2023,4.81
GNV,27/02/2023,4.8
GNV,20/03/2023,4.78
GNV,02/03/2023,4.73
GNV,21/03/2023,4.65
GNV,08/03/2023,4.72
GNV,01/03/2023,4.71
GNV,28/03/2023,4.68
GNV,24/03/2023,5.36
GNV,27/03/2023,4.79
GNV,07/04/2023,4.69
GNV,11/04/2023,4.71
GNV,13/04/2023,4.64
GNV,23/03/2023,4.36
GNV,03/04/2023,4.71
GNV,06/04/2023,4.76
GNV,04/04/2023,4.68
GNV,05/04/2023,4.66
GNV,29/03/2023,4.65
GNV,30/03/2023,4.63
GNV,10/04/2023,4.57
GNV,12/04/2023,4.75
GNV,19/04/2023,4.71
GNV,24/04/2023,4.76
GNV,17/04/2023,4.67
GNV,04/05/2023,4.66
GNV,26/04/2023,4.53
GNV,18/04/2023,4.57
GNV,02/05/2023,4.59
GNV,25/04/2023,4.64
GNV,01/05/2023,4.65
GNV,21/04/2023,4.89
GNV,05/05/2023,4.34
GNV,20/04/2023,4.56
GNV,28/04/2023,4.34
GNV,27/04/2023,4.63
GNV,03/05/2023,4.69
GNV,23/05/2023,4.58
GNV,18/05/2023,4.63
GNV,16/05/2023,4.6
GNV,22/05/2023,4.46
GNV,19/05/2023,4.38
GNV,15/05/2023,4.55
GNV,11/05/2023,4.57
GNV,24/05/2023,4.62
GNV,10/05/2023,4.51
GNV,09/05/2023,4.6
GNV,12/05/2023,4.8
GNV,25/05/2023,4.22
GNV,08/05/2023,4.62
GNV,17/05/2023,4.53
GNV,29/05/2023,4.57
GNV,07/06/2023,4.65
GNV,16/06/2023,3.99
GNV,02/06/2023,5.09
GNV,05/06/2023,4.48
GNV,21/06/2023,4.46
GNV,30/05/2023,4.41
GNV,31/05/2023,4.47
GNV,12/06/2023,4.52
GNV,20/06/2023,4.44
GNV,19/06/2023,4.46
GNV,06/06/2023,4.52
GNV,14/06/2023,4.69
GNV,22/06/2023,4.54
GNV,13/06/2023,4.34
GNV,01/06/2023,4.84
GNV,09/06/2023,4.02
GNV,15/06/2023,4.37
GNV,08/06/2023,4.52
GNV,27/06/2023,4.47
GNV,29/06/2023,4.56
GNV,30/06/2023,4.08
GNV,28/06/2023,4.4
GNV,26/06/2023,4.51
GNV,23/06/2023,4.29
