Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,AL,ARAPIRACA,IBN PINTO E SILVA & CIA LTDA,01.242.690/0001-58,RODOVIA AL-110,678,KM    70,CANAFISTULA,57302-802,GNV,02/01/2023,4.89,,R$ / m³,IPIRANGA,2023-11-21
NE,BA,SALVADOR,AUTO POSTO CAMURUPIM LTDA,06.895.357/0001-61,AVENIDA OCTAVIO MANGABEIRA,429,,PITUBA,41830-050,GNV,05/01/2023,4.18,,R$ / m³,RAIZEN,2023-11-21
NE,BA,SALVADOR,POSTO KALILANDIA LTDA,15.151.046/0012-31,AVENIDA LUIS VIANA,2489,,PERNAMBUES,41130-530,GNV,05/01/2023,4.19,,R$ / m³,RAIZEN,2023-11-21
NE,BA,SALVADOR,FERREIRA COMBUSTIVES LTDA,96.841.580/0001-19,RUA MARQUES DE MONTE SANTO,50,,RIO VERMELHO,41940-330,GNV,05/01/2023,4.18,,R$ / m³,RAIZEN,2023-11-21
NE,CE,FORTALEZA,DIAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,08.509.458/0001-82,RODOVIA DOUTOR MENDEL STEINBRUCH,6750,,ARACAPE,60765-005,GNV,05/01/2023,4.99,,R$ / m³,RAIZEN,2023-11-21
NE,CE,MARACANAU,DIAS E ROMA LTDA,12.255.543/0002-10,RODOVIA DOUTOR MENDEL STEINBRUCH,9810,KM    04,DISTRITO INDUSTRIAL I,61939-210,GNV,05/01/2023,4.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,CE,MARACANAU,L & S COMERCIO DE COMBUSTIVEIS LTDA,02.858.003/0003-58,RODOVIA DOUTOR MENDEL STEINBRUCH,9953,0,PAJUÇARA,61910-000,GNV,05/01/2023,4.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,ES,LINHARES,POSTO OURO NEGRO LTDA,02.468.894/0001-74,AVENIDA SAMUEL BATISTA CRUZ,2319,,COLINA,29901-401,GNV,04/01/2023,4.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,ES,VILA VELHA,POSTO MEDITERRÂNEO LTDA.,05.904.268/0001-71,AVENIDA CARLOS LINDENBERG,1380,,COBILANDIA,29111-165,GNV,03/01/2023,4.89,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,ES,VILA VELHA,POSTO ARIBIRI DO GAS LTDA,04.850.382/0001-01,AVENIDA CARLOS LINDEMBERG,1944,,SANTA INEZ,29108-075,GNV,03/01/2023,4.89,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,ES,VILA VELHA,POSTO TIBERIO LTDA,01.166.046/0001-48,RODOVIA CARLOS LINDEMBERG,386,,JABURUNA,29123-600,GNV,02/01/2023,4.89,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,ES,VITORIA,J. S. PETROLEO E COMERCIO LTDA.,08.788.618/0001-70,AVENIDA DANTE MICHELINI,2461,,MATA DA PRAIA,29066-430,GNV,04/01/2023,4.79,,R$ / m³,RAIZEN,2023-11-21
SE,ES,VITORIA,ARARA AZUL REDE DE POSTOS LTDA,04.145.589/0006-81,RUA DONA MARIA ROSA,265,,ANDORINHAS,29045-221,GNV,04/01/2023,4.79,,R$ / m³,RAIZEN,2023-11-21
SE,MG,BETIM,MILLENNIUM DERIVADOS DE PETROLEO LTDA,03.848.560/0001-99,AVENIDA EDMEIA MATTOS LAZAROTTI,1441,,ANGOLA,32604-228,GNV,03/01/2023,5.24,,R$ / m³,ALESAT,2023-11-21
SE,MG,CONTAGEM,POSTO QUATRO RODAS LTDA,16.696.445/0001-98,AVENIDA TITO FULGENCIO,950,,JARDIM INDUSTRIAL,32215-000,GNV,02/01/2023,4.99,,R$ / m³,IPIRANGA,2023-11-21
SE,MG,CONTAGEM,POSTO TROVAO LTDA,01.333.257/0001-28,AVENIDA TITO FULGENCIO,1189,,JARDIM INDUSTRIAL,32215-000,GNV,02/01/2023,4.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,MG,SETE LAGOAS,REDE SANTANA COMBUSTIVEIS E GNV SETE LAGOAS LTDA,04.305.250/0001-90,AVENIDA DR. RENATO AZEREDO,2299,,CHACARA DO PAIVA,35700-312,GNV,03/01/2023,4.85,,R$ / m³,BRANCA,2023-11-21
CO,MS,CAMPO GRANDE,SOUZA & MIRANDA LTDA,03.623.191/0001-36,AVENIDA MARECHAL DEODORO,5712,,COOPHAVILA II,79097-000,GNV,03/01/2023,4.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
CO,MT,CUIABA,JGJ COMERCIO DE PETROLEO LTDA,06.539.780/0001-29,AVENIDA MIGUEL SUTIL,4708,,ALVORADA,78060-000,GNV,02/01/2023,3.19,,R$ / m³,BRANCA,2023-11-21
CO,MT,CUIABA,EMBOAVA DIAS COMERCIO DE COMBUSTIVEIS LTDA,06.248.123/0001-22,AVENIDA GENERAL MELLO,1480,ESQ. C/ MIGUEL SUTIL,CAMPO VELHO,78065-290,GNV,02/01/2023,3.54,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PB,BAYEUX,MOTOGAS INDUSTRIA DE COMPRESSAO E COMERCIO DE GAS NATURAL LTDA,01.420.327/0001-85,LOC  BR 230 KM 31,S/N,,ESTRADA,58309-602,GNV,02/01/2023,4.64,,R$ / m³,BRANCA,2023-11-21
NE,PB,CABEDELO,W A BARRETO E CIA LTDA,70.098.470/0004-68,BR-230 KILOMETRO 13,S/N,,KILOMETRO 13,58100-100,GNV,04/01/2023,4.64,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PB,CAMPINA GRANDE,MOTOGAS INDUSTRIA DE COMPRESSAO E COMERCIO DE GAS NATURAL LTDA,01.420.327/0004-28,AVENIDA ASSIS CHATEAUBRIAND,2675,,LIBERDADE,58105-421,GNV,03/01/2023,4.89,,R$ / m³,BRANCA,2023-11-21
NE,PB,CAMPINA GRANDE,NOBREGA COMBUSTIVEIS LIMITADA,00.497.918/0001-98,RUA JOAQUIM CAROCA,517,,UNIVERSITARIO,58429-120,GNV,03/01/2023,4.89,,R$ / m³,BRANCA,2023-11-21
NE,PB,CAMPINA GRANDE,POSTO DE COMBUSTIVEIS SAO MARCOS LTDA,01.106.085/0001-50,AVENIDA ASSIS CHATEAUBRIAND,878,,LIBERDADE,58105-000,GNV,03/01/2023,4.89,,R$ / m³,IPIRANGA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,SERVICAR S/A,09.798.307/0005-88,AVENIDA ARMINDO MOURA,461,,PIEDADE,54315-070,GNV,03/01/2023,3.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PE,JABOATAO DOS GUARARAPES,CMA PETROLEO LTDA,05.263.779/0001-51,AVENIDA BERNARDO VIEIRA DE MELO,5160,,CANDEIAS,54450-020,GNV,03/01/2023,3.99,,R$ / m³,RAIZEN,2023-11-21
NE,PE,OLINDA,CEMOPEL CM PETROLEO LTDA,69.943.686/0003-12,AVENIDA JOAQUIM NABUCO,1600,,GUADALUPE,53240-650,GNV,04/01/2023,3.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PE,PAULISTA,FM COMERCIO E DERIVADOS DE PETROLEO LTDA,04.637.954/0001-60,AVENIDA SENADOR SALGADO FILHO,18,,CENTRO,53400-000,GNV,02/01/2023,3.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PE,PAULISTA,POSTO ATLANTIDA LTDA,03.771.831/0001-55,AVENIDA ANTONIO CABRAL DE SOUZA,530,QUADRA: 12; : NUCLEO HABITACIONAL ; : MARANGUAPE I;,MARANGUAPE I,53444-360,GNV,02/01/2023,3.99,,R$ / m³,BRANCA,2023-11-21
NE,PE,RECIFE,POSTO BIPIRANGA LTDA,07.090.825/0001-93,AVENIDA RECIFE,3532,,IPSEP,51350-670,GNV,03/01/2023,3.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PE,RECIFE,M M PETROLEO LTDA,00.935.571/0001-18,AVENIDA GOVERNADOR AGAMENON MAGALHAES,1302,,CAMPO GRANDE,52031-330,GNV,02/01/2023,3.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PE,RECIFE,PETRO ABDIAS LTDA,04.165.127/0001-11,AVENIDA ABDIAS DE CARVALHO,257,,PRADO,50751-000,GNV,03/01/2023,3.99,,R$ / m³,DISLUB,2023-11-21
NE,PE,RECIFE,CUNHA DERIVADOS DE PETROLEO LTDA,00.216.435/0001-78,AVENIDA MARECHAL MASCARENHAS DE MORAIS,3468,,IMBIRIBEIRA,51200-000,GNV,03/01/2023,3.99,,R$ / m³,VIBRA ENERGIA,2023-11-21
NE,PE,RECIFE,PETRO CAXANGA LTDA,03.737.645/0001-08,AVENIDA CAXANGA,4335,,IPUTINGA,50720-000,GNV,04/01/2023,3.99,,R$ / m³,DISLUB,2023-11-21
S,PR,PONTA GROSSA,POSTO BOA VISTA LTDA,77.488.005/0001-30,AVENIDA DOM PEDRO II,1383,,NOVA RUSSIA,84053-000,GNV,05/01/2023,5.39,,R$ / m³,RAIZEN,2023-11-21
SE,RJ,ARARUAMA,AUTO POSTO PISCA PISCA LTDA,28.529.501/0001-89,RODOVIA AMARAL PEIXOTO,S/N,KM 88,VILA CAPRI,28970-000,GNV,02/01/2023,5.99,,R$ / m³,IPIRANGA,2023-11-21
SE,RJ,CAMPOS DOS GOYTACAZES,ARARA FLUMINENSE COMERCIO DE COMBUSTIVEIS LTDA.,07.614.346/0004-71,AVENIDA ALBERTO TORRES,100,,CENTRO,28010-117,GNV,04/01/2023,5.19,,R$ / m³,RAIZEN,2023-11-21
SE,RJ,CAMPOS DOS GOYTACAZES,CORDEIRO BARROSO PETROLEO LTDA,05.064.564/0001-01,AVENIDA VINTE E OITO DE MARCO,458,,CENTRO,28020-740,GNV,04/01/2023,5.19,,R$ / m³,VIBRA ENERGIA,2023-11-21
SE,RJ,CAMPOS DOS GOYTACAZES,S. G. A. INTERLAGOS COMBUSTIVEIS LTDA,40.218.026/0001-25,AVENIDA VINTE E OITO DE MARCO,143,,PQUE TURFE CLUB,28020-740,GNV,04/01/2023,5.1,,R$ / m³,BRANCA,2023-11-21
SE,RJ,CAMPOS DOS GOYTACAZES,POSTO DE GASOLINA TURF-CLUB LTDA,39.695.887/0001-15,RUA RIACHUELO,652,652/658,TURF CLUB,28013-450,GNV,04/01/2023,5.19,,R$ / m³,IPIRANGA,2023-11-21
