Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
CO,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.18
CO,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.11
CO,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.19
CO,12/01/2023,GASOLINA,IPIRANGA,4.87
CO,26/01/2023,ETANOL,VIBRA ENERGIA,3.72
CO,23/01/2023,DIESEL,TAURUS,6.4
CO,18/01/2023,ETANOL,ALESAT,3.65
CO,06/01/2023,DIESEL,BRANCA,6.11
CO,24/01/2023,DIESEL S10,RAIZEN,6.64
CO,25/01/2023,GNV,BRANCA,3.54
CO,12/01/2023,DIESEL,ROYAL FIC,6.59
CO,11/01/2023,GNV,BRANCA,3.54
CO,11/01/2023,ETANOL,ALESAT,3.94
CO,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.16
CO,26/01/2023,GASOLINA,CIAPETRO,4.69
CO,12/01/2023,DIESEL,IPIRANGA,6.23
CO,19/01/2023,GASOLINA ADITIVADA,BRANCA,4.78
CO,03/01/2023,GASOLINA ADITIVADA,TAURUS,4.94
CO,26/01/2023,DIESEL S10,CIAPETRO,5.99
CO,26/01/2023,DIESEL S10,ROYAL FIC,6.49
CO,05/01/2023,GASOLINA,RAIZEN,5.17
CO,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.23
CO,24/01/2023,DIESEL,RAIZEN,6.5
CO,06/01/2023,ETANOL,BRANCA,3.71
CO,19/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.88
CO,02/01/2023,DIESEL S10,IDAZA,6.79
CO,04/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.58
CO,19/01/2023,DIESEL,RAIZEN,6.4
CO,09/01/2023,DIESEL,BRANCA,6.24
CO,19/01/2023,DIESEL S10,ALESAT,6.39
CO,24/01/2023,ETANOL,RAIZEN,3.83
CO,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.02
CO,18/01/2023,GASOLINA,IPIRANGA,4.91
CO,18/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.16
CO,18/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.87
CO,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.26
CO,04/01/2023,ETANOL,BRANCA,3.84
CO,19/01/2023,ETANOL,RAIZEN,3.66
CO,23/01/2023,GASOLINA,VIBRA ENERGIA,5.06
CO,26/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,4.89
CO,06/01/2023,DIESEL S10,BRANCA,6.18
CO,25/01/2023,DIESEL,IPIRANGA,6.29
CO,25/01/2023,ETANOL,VIBRA ENERGIA,3.68
CO,18/01/2023,DIESEL,IPIRANGA,6.42
CO,17/01/2023,GNV,TAURUS,4.89
CO,02/01/2023,DIESEL,RAIZEN,6.57
CO,05/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.23
CO,04/01/2023,DIESEL,RAIZEN,6.58
CO,25/01/2023,GASOLINA ADITIVADA,ALESAT,4.78
