Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
N,09/01/2023,DIESEL S10,EQUADOR,6.89
N,24/01/2023,DIESEL,IPIRANGA,6.65
N,04/01/2023,DIESEL,SABBÁ,6.72
N,12/01/2023,GASOLINA,SABBÁ,4.89
N,10/01/2023,ETANOL,EQUADOR,4.36
N,02/01/2023,DIESEL S10,ATEM' S,6.99
N,04/01/2023,DIESEL,EQUADOR,7.46
N,17/01/2023,GASOLINA,BRANCA,4.92
N,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.27
N,02/01/2023,DIESEL,ATEM' S,6.82
N,26/01/2023,GASOLINA ADITIVADA,BRANCA,5.1
N,18/01/2023,ETANOL,VIBRA ENERGIA,4.45
N,05/01/2023,ETANOL,BRANCA,4.18
N,02/01/2023,ETANOL,ALESAT,4.27
N,09/01/2023,GASOLINA,IPIRANGA,5.19
N,16/01/2023,DIESEL S10,EQUADOR,6.89
N,17/01/2023,DIESEL,ATEM' S,6.53
N,16/01/2023,DIESEL S10,ATEM' S,6.65
N,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.4
N,03/01/2023,ETANOL,VIBRA ENERGIA,4.93
N,02/01/2023,DIESEL S10,BRANCA,6.59
N,16/01/2023,ETANOL,BRANCA,4.38
N,09/01/2023,ETANOL,SABBÁ,4.49
N,11/01/2023,DIESEL,SABBÁ,6.97
N,24/01/2023,GASOLINA,IPIRANGA,4.97
N,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.27
N,16/01/2023,DIESEL S10,BRANCA,6.61
N,16/01/2023,GASOLINA ADITIVADA,SABBÁ,5.17
N,17/01/2023,ETANOL,EQUADOR,4.29
N,25/01/2023,DIESEL S10,ATEM' S,7.5
N,18/01/2023,DIESEL S10,VIBRA ENERGIA,7.08
N,03/01/2023,GASOLINA,RAIZEN,4.99
N,09/01/2023,ETANOL,ALESAT,4.24
N,19/01/2023,DIESEL,SABBÁ,7.1
N,17/01/2023,DIESEL,IPIRANGA,6.78
N,24/01/2023,ETANOL,RAIZEN,4.59
N,09/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.39
N,19/01/2023,GASOLINA,EQUADOR,5.14
N,25/01/2023,GASOLINA ADITIVADA,SABBÁ,5.75
N,23/01/2023,ETANOL,VIBRA ENERGIA,4.5
N,23/01/2023,GASOLINA,ATEM' S,4.99
N,09/01/2023,DIESEL S10,BRANCA,6.6
N,09/01/2023,GASOLINA,EQUADOR,4.99
N,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.28
N,19/01/2023,GASOLINA,BRANCA,4.69
N,23/01/2023,ETANOL,ALESAT,4.27
N,25/01/2023,GASOLINA ADITIVADA,ATEM' S,6.0
N,03/01/2023,GASOLINA ADITIVADA,RAIZEN,5.19
N,17/01/2023,DIESEL S10,EQUADOR,6.82
N,26/01/2023,GASOLINA,SABBÁ,5.15
N,04/01/2023,DIESEL,IPIRANGA,6.72
