Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
NE,10/01/2023,ETANOL,IPIRANGA,4.35
NE,10/01/2023,ETANOL,BRANCA,4.29
NE,04/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.54
NE,12/01/2023,GNV,IPIRANGA,4.3
NE,24/01/2023,ETANOL,ALESAT,4.35
NE,04/01/2023,DIESEL S10,DISLUB,6.44
NE,04/01/2023,GNV,IPIRANGA,4.97
NE,11/01/2023,DIESEL,BRANCA,6.52
NE,09/01/2023,ETANOL,FAN,4.11
NE,12/01/2023,DIESEL,RAIZEN,6.44
NE,20/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.69
NE,23/01/2023,GASOLINA,IPIRANGA,5.1
NE,12/01/2023,GASOLINA,VIBRA ENERGIA,5.33
NE,10/01/2023,ETANOL,TDC DISTRIBUIDORA,3.97
NE,17/01/2023,DIESEL S10,IPIRANGA,6.57
NE,24/01/2023,GASOLINA ADITIVADA,DISLUB,4.95
NE,23/01/2023,GNV,PETROX DISTRIBUIDORA,5.09
NE,04/01/2023,DIESEL S10,IPIRANGA,6.7
NE,09/01/2023,ETANOL,IPIRANGA,4.31
NE,09/01/2023,ETANOL,SP,4.29
NE,09/01/2023,GASOLINA,SP,5.56
NE,10/01/2023,DIESEL,SP,6.25
NE,10/01/2023,GASOLINA,TDC DISTRIBUIDORA,4.87
NE,19/01/2023,GASOLINA,RAIZEN,5.36
NE,17/01/2023,GNV,RAIZEN,4.22
NE,16/01/2023,ETANOL,FAN,4.19
NE,25/01/2023,GNV,RAIZEN,4.19
NE,23/01/2023,GASOLINA,SABBÁ,4.7
NE,12/01/2023,GASOLINA ADITIVADA,ALESAT,5.64
NE,17/01/2023,GASOLINA ADITIVADA,ALESAT,5.22
NE,24/01/2023,ETANOL,VIBRA ENERGIA,4.21
NE,26/01/2023,ETANOL,RAIZEN,4.64
NE,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.25
NE,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.49
NE,16/01/2023,DIESEL,VIBRA ENERGIA,6.58
NE,23/01/2023,GASOLINA,FAN,4.98
NE,04/01/2023,GNV,RAIZEN,4.97
NE,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.32
NE,20/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.69
NE,26/01/2023,GASOLINA,DISLUB,5.94
NE,11/01/2023,GNV,RAIZEN,4.05
NE,11/01/2023,GNV,VIBRA ENERGIA,4.38
