Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
S,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.27
S,09/01/2023,DIESEL S10,IDAZA,6.99
S,17/01/2023,DIESEL S10,IPIRANGA,6.44
S,18/01/2023,ETANOL,VIBRA ENERGIA,4.55
S,16/01/2023,DIESEL,RODOIL,6.47
S,23/01/2023,GASOLINA ADITIVADA,RAIZEN MIME,5.25
S,03/01/2023,DIESEL S10,ON PETRO,6.27
S,09/01/2023,GASOLINA,RAIZEN MIME,5.3
S,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.34
S,12/01/2023,ETANOL,POTENCIAL,4.39
S,05/01/2023,DIESEL,RAIZEN MIME,6.79
S,12/01/2023,GASOLINA ADITIVADA,MAXSUL,4.76
S,17/01/2023,ETANOL,BRANCA,4.21
S,20/01/2023,DIESEL S10,RAIZEN MIME,6.76
S,24/01/2023,DIESEL S10,MAXSUL,6.08
S,10/01/2023,DIESEL,IPIRANGA,6.35
S,12/01/2023,GASOLINA,POTENCIAL,5.29
S,26/01/2023,DIESEL S10,IPIRANGA,6.52
S,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.19
S,09/01/2023,GASOLINA ADITIVADA,RODOIL,5.18
S,03/01/2023,DIESEL,PELIKANO,5.89
S,11/01/2023,DIESEL,POTENCIAL,7.05
S,20/01/2023,GASOLINA,BRANCA,4.94
S,17/01/2023,GASOLINA,DIBRAPE,5.05
S,05/01/2023,GASOLINA,CIAPETRO,5.27
S,03/01/2023,GASOLINA,CHARRUA,5.09
S,09/01/2023,GASOLINA,IPIRANGA,5.12
S,26/01/2023,GASOLINA ADITIVADA,BRANCA,5.29
S,26/01/2023,ETANOL,RAIZEN MIME,4.69
S,25/01/2023,GNV,BRANCA,5.44
S,20/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.2
S,17/01/2023,ETANOL,IPIRANGA,4.55
S,03/01/2023,DIESEL S10,RAIZEN,6.56
S,09/01/2023,GASOLINA,VIBRA ENERGIA,5.11
S,10/01/2023,ETANOL,SUL COMBUSTÍVEIS,4.79
S,24/01/2023,DIESEL S10,STANG,6.14
S,05/01/2023,GASOLINA,BRANCA,5.01
S,05/01/2023,ETANOL,VIBRA ENERGIA,4.56
S,09/01/2023,ETANOL,BRANCA,4.24
S,19/01/2023,ETANOL,BRANCA,4.08
S,16/01/2023,GASOLINA ADITIVADA,RAIZEN,5.21
