Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,PR,FOZ DO IGUACU,TEIXEIRA COMERCIO DE COMBUSTIVEIS LTDA,12.323.271/0001-67,RODOVIA BR-277,8870,,TRES LAGOAS,85862-409,ETANOL,02/05/2023,4.09,,R$ / litro,RAIZEN,2023-11-21
S,PR,FOZ DO IGUACU,TEIXEIRA COMERCIO DE COMBUSTIVEIS LTDA,12.323.271/0001-67,RODOVIA BR-277,8870,,TRES LAGOAS,85862-409,DIESEL S10,02/05/2023,6.2,,R$ / litro,RAIZEN,2023-11-21
S,PR,FOZ DO IGUACU,TEIXEIRA COMERCIO DE COMBUSTIVEIS LTDA,12.323.271/0001-67,RODOVIA BR-277,8870,,TRES LAGOAS,85862-409,DIESEL,02/05/2023,6.1,,R$ / litro,RAIZEN,2023-11-21
S,PR,FOZ DO IGUACU,TEIXEIRA COMERCIO DE COMBUSTIVEIS LTDA,12.323.271/0001-67,RODOVIA BR-277,8870,,TRES LAGOAS,85862-409,GASOLINA ADITIVADA,02/05/2023,5.79,,R$ / litro,RAIZEN,2023-11-21
S,PR,FOZ DO IGUACU,TEIXEIRA COMERCIO DE COMBUSTIVEIS LTDA,12.323.271/0001-67,RODOVIA BR-277,8870,,TRES LAGOAS,85862-409,GASOLINA,02/05/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,DIESEL S10,01/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,DIESEL,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,GASOLINA ADITIVADA,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,GASOLINA,01/05/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,DIESEL S10,01/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,DIESEL,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,GASOLINA ADITIVADA,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,GASOLINA,01/05/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,PR,GUARAPUAVA,ANTONIO STANG COMERCIO DE COMBUSTIVEIS LTDA  - ME,11.828.281/0001-91,RUA CAPITAO ROCHA,2770,,CENTRO,85010-270,ETANOL,01/05/2023,3.99,,R$ / litro,STANG,2023-11-21
S,PR,GUARAPUAVA,ANTONIO STANG COMERCIO DE COMBUSTIVEIS LTDA  - ME,11.828.281/0001-91,RUA CAPITAO ROCHA,2770,,CENTRO,85010-270,GASOLINA ADITIVADA,01/05/2023,4.87,,R$ / litro,STANG,2023-11-21
S,PR,GUARAPUAVA,ANTONIO STANG COMERCIO DE COMBUSTIVEIS LTDA  - ME,11.828.281/0001-91,RUA CAPITAO ROCHA,2770,,CENTRO,85010-270,GASOLINA,01/05/2023,4.87,,R$ / litro,STANG,2023-11-21
S,PR,FOZ DO IGUACU,AUTO POSTO PRISMA LTDA,11.517.086/0001-40,AVENIDA JUSCELINO KUBITSCHECK,4437,,VILA PORTES,85865-000,ETANOL,02/05/2023,3.89,,R$ / litro,IPIRANGA,2023-11-21
S,PR,FOZ DO IGUACU,AUTO POSTO PRISMA LTDA,11.517.086/0001-40,AVENIDA JUSCELINO KUBITSCHECK,4437,,VILA PORTES,85865-000,DIESEL S10,02/05/2023,5.99,,R$ / litro,IPIRANGA,2023-11-21
S,PR,FOZ DO IGUACU,AUTO POSTO PRISMA LTDA,11.517.086/0001-40,AVENIDA JUSCELINO KUBITSCHECK,4437,,VILA PORTES,85865-000,DIESEL,02/05/2023,5.89,,R$ / litro,IPIRANGA,2023-11-21
S,PR,FOZ DO IGUACU,AUTO POSTO PRISMA LTDA,11.517.086/0001-40,AVENIDA JUSCELINO KUBITSCHECK,4437,,VILA PORTES,85865-000,GASOLINA ADITIVADA,02/05/2023,5.67,,R$ / litro,IPIRANGA,2023-11-21
S,PR,FOZ DO IGUACU,AUTO POSTO PRISMA LTDA,11.517.086/0001-40,AVENIDA JUSCELINO KUBITSCHECK,4437,,VILA PORTES,85865-000,GASOLINA,02/05/2023,5.57,,R$ / litro,IPIRANGA,2023-11-21
S,PR,FRANCISCO BELTRAO,CENTRO AUTOMOTIVO DELTA LTDA,13.128.763/0001-64,AVENIDA JULIO ASSIS CAVALHEIRO,58,,CENTRO,85601-000,ETANOL,04/05/2023,3.99,,R$ / litro,STANG,2023-11-21
S,PR,FRANCISCO BELTRAO,CENTRO AUTOMOTIVO DELTA LTDA,13.128.763/0001-64,AVENIDA JULIO ASSIS CAVALHEIRO,58,,CENTRO,85601-000,DIESEL S10,04/05/2023,5.55,,R$ / litro,STANG,2023-11-21
S,PR,FRANCISCO BELTRAO,CENTRO AUTOMOTIVO DELTA LTDA,13.128.763/0001-64,AVENIDA JULIO ASSIS CAVALHEIRO,58,,CENTRO,85601-000,GASOLINA ADITIVADA,04/05/2023,5.24,,R$ / litro,STANG,2023-11-21
S,PR,FRANCISCO BELTRAO,CENTRO AUTOMOTIVO DELTA LTDA,13.128.763/0001-64,AVENIDA JULIO ASSIS CAVALHEIRO,58,,CENTRO,85601-000,GASOLINA,04/05/2023,5.24,,R$ / litro,STANG,2023-11-21
S,PR,TOLEDO,PALUDO COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA.,11.210.460/0001-60,AVENIDA PARIGOT DE SOUZA,2667,,VILA INDUSTRIAL,85904-270,ETANOL,04/05/2023,4.15,,R$ / litro,BRANCA,2023-11-21
S,PR,TOLEDO,PALUDO COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA.,11.210.460/0001-60,AVENIDA PARIGOT DE SOUZA,2667,,VILA INDUSTRIAL,85904-270,DIESEL S10,04/05/2023,5.65,,R$ / litro,BRANCA,2023-11-21
S,PR,TOLEDO,PALUDO COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA.,11.210.460/0001-60,AVENIDA PARIGOT DE SOUZA,2667,,VILA INDUSTRIAL,85904-270,DIESEL,04/05/2023,5.65,,R$ / litro,BRANCA,2023-11-21
S,PR,TOLEDO,PALUDO COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA.,11.210.460/0001-60,AVENIDA PARIGOT DE SOUZA,2667,,VILA INDUSTRIAL,85904-270,GASOLINA,04/05/2023,5.49,,R$ / litro,BRANCA,2023-11-21
S,RS,URUGUAIANA,BRUSCATO & LIMA LTDA,12.443.144/0001-00,AVENIDA PRESIDENTE GETULIO VARGAS,3667,,SANTANA,97502-367,DIESEL S10,02/05/2023,6.1,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,BRUSCATO & LIMA LTDA,12.443.144/0001-00,AVENIDA PRESIDENTE GETULIO VARGAS,3667,,SANTANA,97502-367,GASOLINA ADITIVADA,02/05/2023,5.96,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,BRUSCATO & LIMA LTDA,12.443.144/0001-00,AVENIDA PRESIDENTE GETULIO VARGAS,3667,,SANTANA,97502-367,GASOLINA,02/05/2023,5.81,,R$ / litro,IPIRANGA,2023-11-21
S,PR,SAO JOSE DOS PINHAIS,FREITAS DE MAGALHAES COMERCIO DE COMB. E LUBRIFICANTES LTDA.,08.894.823/0001-10,AVENIDA RUI BARBOSA,10800,,ARISTOCRATA,83025-010,ETANOL,01/05/2023,4.72,,R$ / litro,IPIRANGA,2023-11-21
S,PR,SAO JOSE DOS PINHAIS,FREITAS DE MAGALHAES COMERCIO DE COMB. E LUBRIFICANTES LTDA.,08.894.823/0001-10,AVENIDA RUI BARBOSA,10800,,ARISTOCRATA,83025-010,DIESEL S10,01/05/2023,5.35,,R$ / litro,IPIRANGA,2023-11-21
S,PR,SAO JOSE DOS PINHAIS,FREITAS DE MAGALHAES COMERCIO DE COMB. E LUBRIFICANTES LTDA.,08.894.823/0001-10,AVENIDA RUI BARBOSA,10800,,ARISTOCRATA,83025-010,GASOLINA ADITIVADA,01/05/2023,6.07,,R$ / litro,IPIRANGA,2023-11-21
S,PR,SAO JOSE DOS PINHAIS,FREITAS DE MAGALHAES COMERCIO DE COMB. E LUBRIFICANTES LTDA.,08.894.823/0001-10,AVENIDA RUI BARBOSA,10800,,ARISTOCRATA,83025-010,GASOLINA,01/05/2023,5.87,,R$ / litro,IPIRANGA,2023-11-21
