Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
SE,03/01/2023,GASOLINA,VIBRA ENERGIA,5.18
SE,02/01/2023,ETANOL,ALESAT,4.0
SE,19/01/2023,GASOLINA ADITIVADA,RAIZEN,5.19
SE,20/01/2023,GASOLINA,ALESAT,4.93
SE,23/01/2023,DIESEL S10,PETROBRASIL,5.99
SE,04/01/2023,ETANOL,RAIZEN,4.19
SE,02/01/2023,GASOLINA,PETROBRASIL,4.99
SE,03/01/2023,GASOLINA ADITIVADA,CIAPETRO,5.09
SE,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.34
SE,12/01/2023,DIESEL,BRANCA,6.18
SE,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.02
SE,26/01/2023,ETANOL,RAIZEN,3.86
SE,24/01/2023,DIESEL S10,BRANCA,6.2
SE,25/01/2023,GASOLINA,CIAPETRO,4.68
SE,02/01/2023,GNV,IPIRANGA,5.24
SE,12/01/2023,ETANOL,CIAPETRO,3.68
SE,12/01/2023,GASOLINA,ALESAT,4.91
SE,13/01/2023,ETANOL,RAIZEN,4.13
SE,10/01/2023,DIESEL,TOTALENERGIES,6.25
SE,16/01/2023,GNV,BRANCA,4.84
SE,25/01/2023,GASOLINA,ALESAT,5.02
SE,18/01/2023,DIESEL,RAIZEN,6.28
SE,18/01/2023,GASOLINA,IPIRANGA,4.98
SE,19/01/2023,ETANOL,IPIRANGA,3.83
SE,16/01/2023,DIESEL,ALESAT,6.22
SE,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.47
SE,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.43
SE,09/01/2023,DIESEL,ALESAT,6.22
SE,02/01/2023,ETANOL,IPIRANGA,4.13
SE,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.3
SE,17/01/2023,GASOLINA,CIAPETRO,4.78
SE,16/01/2023,DIESEL,ATLÂNTICA,5.92
SE,23/01/2023,DIESEL S10,IPIRANGA,6.5
SE,23/01/2023,DIESEL S10,RAIZEN,6.31
SE,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.19
SE,20/01/2023,ETANOL,IPIRANGA,3.83
SE,23/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,4.89
SE,11/01/2023,DIESEL S10,BRANCA,6.26
SE,10/01/2023,DIESEL,BRANCA,6.12
SE,18/01/2023,GASOLINA,TOTALENERGIES,4.79
SE,04/01/2023,GASOLINA,ATLÂNTICA,4.95
SE,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.03
SE,11/01/2023,DIESEL,ALESAT,6.28
SE,12/01/2023,GNV,TOTALENERGIES,4.48
SE,26/01/2023,DIESEL,VIBRA ENERGIA,6.25
SE,23/01/2023,GNV,RAIZEN,4.72
SE,16/01/2023,DIESEL,TOTALENERGIES,6.25
SE,02/01/2023,GASOLINA ADITIVADA,ALESAT,5.16
SE,12/01/2023,ETANOL,ALESAT,3.93
SE,18/01/2023,ETANOL,VIBRA ENERGIA,4.06
SE,25/01/2023,DIESEL,VIBRA ENERGIA,6.25
SE,23/01/2023,GASOLINA,BRANCA,4.78
SE,24/01/2023,GNV,RAIZEN,4.86
SE,26/01/2023,GNV,BRANCA,5.88
SE,23/01/2023,GASOLINA,PETROBRASIL,4.57
SE,04/01/2023,ETANOL,ALESAT,4.04
SE,05/01/2023,GNV,RAIZEN,5.12
SE,23/01/2023,GASOLINA ADITIVADA,ALESAT,5.13
SE,24/01/2023,ETANOL,VIBRA ENERGIA,4.01
SE,03/01/2023,GASOLINA,TOTALENERGIES,5.0
SE,10/01/2023,ETANOL,ALESAT,4.0
SE,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.26
SE,20/01/2023,GASOLINA,VIBRA ENERGIA,5.01
SE,24/01/2023,GASOLINA,ATLÂNTICA,5.43
SE,10/01/2023,DIESEL S10,RAIZEN,6.46
SE,12/01/2023,ETANOL,VIBRA ENERGIA,4.07
SE,03/01/2023,ETANOL,RAIZEN,4.1
SE,13/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.15
SE,09/01/2023,GNV,BRANCA,4.71
SE,24/01/2023,ETANOL,BRANCA,3.75
SE,03/01/2023,DIESEL,ALESAT,6.4
SE,10/01/2023,DIESEL,RIO BRANCO,6.18
SE,20/01/2023,DIESEL S10,IPIRANGA,6.32
SE,25/01/2023,DIESEL,ATLÂNTICA,5.88
SE,24/01/2023,DIESEL,IPIRANGA,6.31
SE,25/01/2023,GASOLINA ADITIVADA,RIO BRANCO,5.15
SE,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
SE,09/01/2023,GASOLINA,ALESAT,5.0
SE,11/01/2023,ETANOL,IPIRANGA,3.99
SE,13/01/2023,DIESEL S10,VIBRA ENERGIA,6.34
SE,26/01/2023,DIESEL S10,D`MAIS,6.19
SE,17/01/2023,ETANOL,ALESAT,4.04
SE,04/01/2023,GNV,VIBRA ENERGIA,4.81
SE,16/01/2023,GASOLINA,TOTALENERGIES,5.04
SE,02/01/2023,DIESEL S10,BRANCA,6.4
SE,12/01/2023,GASOLINA ADITIVADA,RAIZEN,5.28
SE,17/01/2023,GNV,RAIZEN,4.93
SE,18/01/2023,DIESEL,BRANCA,6.13
SE,17/01/2023,DIESEL S10,TOTALENERGIES,6.32
SE,19/01/2023,GASOLINA,BRANCA,4.83
SE,18/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.54
SE,20/01/2023,GASOLINA,RAIZEN,5.09
SE,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.23
SE,02/01/2023,GNV,RAIZEN,4.91
SE,16/01/2023,DIESEL S10,IPIRANGA,6.54
SE,19/01/2023,DIESEL,IPIRANGA,6.2
SE,17/01/2023,GNV,ALESAT,5.05
SE,25/01/2023,ETANOL,ALESAT,3.87
SE,05/01/2023,GASOLINA,IPIRANGA,5.04
SE,12/01/2023,GASOLINA,IPIRANGA,5.04
SE,24/01/2023,DIESEL S10,ALESAT,6.32
SE,25/01/2023,DIESEL,ALESAT,6.35
SE,17/01/2023,DIESEL S10,RAIZEN,6.4
SE,19/01/2023,GASOLINA ADITIVADA,ALESAT,5.34
SE,26/01/2023,DIESEL S10,RAIZEN,6.36
SE,05/01/2023,ETANOL,VIBRA ENERGIA,3.96
SE,05/01/2023,DIESEL,VIBRA ENERGIA,6.52
SE,10/01/2023,GASOLINA,VIBRA ENERGIA,5.15
SE,25/01/2023,DIESEL,IPIRANGA,6.32
SE,26/01/2023,GNV,IPIRANGA,4.99
SE,05/01/2023,ETANOL,ALESAT,4.11
SE,10/01/2023,DIESEL S10,RIO BRANCO,6.26
SE,17/01/2023,GNV,IPIRANGA,5.05
SE,05/01/2023,DIESEL,RAIZEN,6.41
SE,23/01/2023,GNV,ALESAT,4.87
SE,13/01/2023,DIESEL,IPIRANGA,6.39
SE,20/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.2
SE,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.24
SE,03/01/2023,DIESEL S10,ALESAT,6.53
SE,11/01/2023,GASOLINA ADITIVADA,BRANCA,4.98
SE,13/01/2023,GASOLINA,RAIZEN,5.05
SE,24/01/2023,GASOLINA,IPIRANGA,4.97
SE,24/01/2023,DIESEL S10,RAIZEN,6.37
SE,04/01/2023,DIESEL S10,RAIZEN,6.45
SE,10/01/2023,GASOLINA,TOTALENERGIES,5.13
SE,23/01/2023,DIESEL S10,ALESAT,6.34
SE,23/01/2023,ETANOL,RAIZEN,3.84
SE,09/01/2023,GASOLINA,IPIRANGA,5.04
SE,16/01/2023,GNV,IPIRANGA,4.92
SE,17/01/2023,GASOLINA,TOTALENERGIES,4.98
SE,03/01/2023,ETANOL,ALESAT,4.09
SE,10/01/2023,ETANOL,IPIRANGA,4.01
SE,24/01/2023,ETANOL,IPIRANGA,3.89
SE,04/01/2023,DIESEL,RAIZEN,6.38
SE,03/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,4.85
SE,11/01/2023,GASOLINA,IPIRANGA,5.0
SE,11/01/2023,GNV,RAIZEN,5.21
SE,18/01/2023,GNV,IPIRANGA,5.06
SE,25/01/2023,GNV,TOTALENERGIES,4.48
SE,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.23
SE,02/01/2023,DIESEL S10,ATLÂNTICA,6.69
SE,05/01/2023,GASOLINA,RIO BRANCO,5.15
SE,03/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,5.18
SE,09/01/2023,DIESEL S10,IPIRANGA,6.57
SE,11/01/2023,DIESEL S10,IPIRANGA,6.49
SE,10/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,4.92
SE,10/01/2023,DIESEL,ALESAT,6.43
SE,17/01/2023,DIESEL,VIBRA ENERGIA,6.33
SE,11/01/2023,DIESEL S10,ATLÂNTICA,6.09
SE,16/01/2023,GASOLINA ADITIVADA,RIO BRANCO,5.15
SE,24/01/2023,DIESEL S10,ATLÂNTICA,6.03
SE,02/01/2023,DIESEL,D`MAIS,6.09
SE,12/01/2023,DIESEL S10,RAIZEN,6.49
SE,12/01/2023,ETANOL,TOTALENERGIES,4.24
SE,25/01/2023,DIESEL,RIO BRANCO,6.18
SE,23/01/2023,DIESEL S10,BRANCA,6.23
SE,09/01/2023,DIESEL,D`MAIS,6.09
SE,18/01/2023,GNV,VIBRA ENERGIA,5.06
SE,19/01/2023,GASOLINA,ALESAT,5.02
SE,20/01/2023,ETANOL,BRANCA,3.9
SE,25/01/2023,DIESEL,BRANCA,6.1
SE,05/01/2023,ETANOL,BRANCA,3.78
SE,09/01/2023,ETANOL,TOTALENERGIES,4.03
SE,12/01/2023,GASOLINA,TOTALENERGIES,4.97
SE,16/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,4.89
SE,16/01/2023,ETANOL,RIO BRANCO,3.96
SE,09/01/2023,DIESEL,VIBRA ENERGIA,6.35
SE,20/01/2023,GASOLINA,BRANCA,5.0
SE,20/01/2023,DIESEL,ALESAT,5.95
SE,19/01/2023,GNV,RAIZEN,4.59
SE,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.18
SE,26/01/2023,DIESEL S10,IPIRANGA,6.37
SE,26/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.17
SE,23/01/2023,GASOLINA ADITIVADA,BRANCA,4.93
SE,18/01/2023,GASOLINA,VIBRA ENERGIA,5.06
SE,17/01/2023,GASOLINA,VIBRA ENERGIA,5.1
SE,17/01/2023,GASOLINA,ALESAT,5.02
SE,18/01/2023,ETANOL,ALESAT,4.01
SE,24/01/2023,ETANOL,TOTALENERGIES,3.74
SE,03/01/2023,DIESEL,BRANCA,6.18
SE,19/01/2023,DIESEL S10,IPIRANGA,6.38
SE,17/01/2023,GNV,BRANCA,5.0
SE,03/01/2023,ETANOL,BRANCA,4.05
SE,10/01/2023,GASOLINA,RAIZEN,4.99
SE,23/01/2023,DIESEL,ALESAT,6.18
SE,19/01/2023,ETANOL,BRANCA,3.81
SE,20/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.02
SE,13/01/2023,DIESEL,BRANCA,6.06
SE,10/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,5.17
SE,18/01/2023,GNV,BRANCA,4.84
SE,19/01/2023,DIESEL S10,TOTALENERGIES,6.09
SE,23/01/2023,GASOLINA,RAIZEN,4.89
SE,10/01/2023,GNV,ALESAT,5.24
SE,23/01/2023,GASOLINA,IPIRANGA,4.96
SE,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.2
SE,13/01/2023,DIESEL S10,IPIRANGA,6.39
SE,17/01/2023,ETANOL,IPIRANGA,3.91
SE,23/01/2023,ETANOL,TOTALENERGIES,3.29
SE,03/01/2023,GASOLINA,CIAPETRO,4.88
SE,05/01/2023,ETANOL,TAURUS,4.07
SE,12/01/2023,GASOLINA,VIBRA ENERGIA,4.99
SE,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.32
SE,18/01/2023,GASOLINA ADITIVADA,ALESAT,5.17
SE,25/01/2023,GNV,VIBRA ENERGIA,5.08
SE,03/01/2023,GNV,VIBRA ENERGIA,5.08
SE,10/01/2023,GNV,BRANCA,4.98
SE,16/01/2023,ETANOL,ALESAT,3.89
SE,23/01/2023,DIESEL,IPIRANGA,6.4
SE,25/01/2023,DIESEL S10,RAIZEN,6.38
SE,16/01/2023,DIESEL S10,ALESAT,6.34
SE,23/01/2023,ETANOL,ATLÂNTICA,4.38
SE,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.95
SE,26/01/2023,DIESEL,ALESAT,6.23
SE,02/01/2023,GASOLINA,ATLÂNTICA,4.89
SE,05/01/2023,GASOLINA ADITIVADA,ALESAT,5.35
SE,09/01/2023,GNV,VIBRA ENERGIA,4.9
SE,10/01/2023,ETANOL,TOTALENERGIES,3.97
SE,19/01/2023,GNV,IPIRANGA,4.97
SE,05/01/2023,GASOLINA ADITIVADA,RIO BRANCO,5.15
SE,09/01/2023,GNV,IPIRANGA,4.9
SE,16/01/2023,ETANOL,IPIRANGA,3.98
SE,19/01/2023,DIESEL,RAIZEN,6.04
SE,16/01/2023,DIESEL,RIO BRANCO,6.18
SE,25/01/2023,GASOLINA,VIBRA ENERGIA,5.31
SE,24/01/2023,GASOLINA,CIAPETRO,4.58
SE,05/01/2023,GASOLINA,VIBRA ENERGIA,4.97
SE,02/01/2023,DIESEL S10,D`MAIS,6.19
SE,10/01/2023,DIESEL,ATLÂNTICA,5.89
SE,10/01/2023,GASOLINA,RIO BRANCO,5.15
SE,23/01/2023,GNV,BRANCA,4.83
SE,16/01/2023,DIESEL,RAIZEN,6.31
SE,04/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,5.05
SE,10/01/2023,GASOLINA,ALESAT,5.03
SE,20/01/2023,DIESEL S10,VIBRA ENERGIA,6.4
SE,19/01/2023,GNV,TOTALENERGIES,4.48
SE,24/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.49
SE,09/01/2023,DIESEL S10,VIBRA ENERGIA,6.5
