Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
AC,25/01/2023,ETANOL,VIBRA ENERGIA,4.36
AC,18/01/2023,ETANOL,BRANCA,4.48
AC,18/01/2023,DIESEL,IPIRANGA,7.35
AC,12/01/2023,DIESEL,BRANCA,7.33
AC,18/01/2023,ETANOL,VIBRA ENERGIA,4.36
AC,25/01/2023,DIESEL S10,IPIRANGA,7.18
AC,18/01/2023,DIESEL,BRANCA,7.33
AC,25/01/2023,ETANOL,IPIRANGA,4.19
AC,12/01/2023,DIESEL S10,IPIRANGA,7.28
AC,12/01/2023,ETANOL,VIBRA ENERGIA,4.44
AC,18/01/2023,DIESEL,SABBÁ,7.26
AC,12/01/2023,DIESEL S10,VIBRA ENERGIA,7.27
AC,19/01/2023,DIESEL,VIBRA ENERGIA,7.15
AC,19/01/2023,GASOLINA ADITIVADA,SABBÁ,5.49
AC,12/01/2023,GASOLINA ADITIVADA,BRANCA,5.58
AC,12/01/2023,GASOLINA,VIBRA ENERGIA,5.32
AC,19/01/2023,DIESEL,SABBÁ,7.75
AC,12/01/2023,DIESEL,VIBRA ENERGIA,7.18
AC,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.2
AC,18/01/2023,GASOLINA,BRANCA,5.38
AC,25/01/2023,GASOLINA,VIBRA ENERGIA,5.28
AC,25/01/2023,DIESEL S10,VIBRA ENERGIA,7.18
AC,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.34
AC,25/01/2023,GASOLINA,SABBÁ,5.18
AC,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.34
AC,18/01/2023,DIESEL,VIBRA ENERGIA,7.27
AC,19/01/2023,GASOLINA,VIBRA ENERGIA,5.19
AC,25/01/2023,GASOLINA,IPIRANGA,5.24
AC,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.32
AC,19/01/2023,DIESEL S10,SABBÁ,7.75
AC,12/01/2023,DIESEL S10,BRANCA,7.37
AC,19/01/2023,GASOLINA,SABBÁ,5.18
AC,18/01/2023,DIESEL S10,SABBÁ,7.28
AC,18/01/2023,GASOLINA,VIBRA ENERGIA,5.3
AC,12/01/2023,GASOLINA,IPIRANGA,5.34
AC,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
AC,25/01/2023,DIESEL,VIBRA ENERGIA,7.17
AC,25/01/2023,DIESEL,IPIRANGA,7.22
AC,18/01/2023,GASOLINA,SABBÁ,5.28
AC,18/01/2023,DIESEL S10,VIBRA ENERGIA,7.27
AC,19/01/2023,ETANOL,VIBRA ENERGIA,4.39
AC,18/01/2023,GASOLINA ADITIVADA,BRANCA,5.58
AC,12/01/2023,ETANOL,BRANCA,4.48
AC,12/01/2023,DIESEL,IPIRANGA,7.39
AC,12/01/2023,GASOLINA,BRANCA,5.38
AC,18/01/2023,GASOLINA,IPIRANGA,5.08
AC,19/01/2023,DIESEL S10,VIBRA ENERGIA,7.18
AC,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.4
AC,18/01/2023,GASOLINA ADITIVADA,SABBÁ,5.43
AC,01/02/2023,GASOLINA ADITIVADA,BRANCA,5.49
AC,08/02/2023,GASOLINA,BRANCA,5.29
AC,22/02/2023,GASOLINA,IPIRANGA,5.32
AC,01/02/2023,DIESEL S10,IPIRANGA,7.32
AC,01/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.46
AC,22/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.42
AC,08/02/2023,DIESEL S10,BRANCA,7.34
AC,24/02/2023,DIESEL,IPIRANGA,7.54
AC,22/02/2023,GASOLINA,BRANCA,5.29
AC,15/02/2023,GASOLINA,SABBÁ,5.19
AC,01/02/2023,DIESEL,IPIRANGA,7.37
AC,01/02/2023,DIESEL S10,VIBRA ENERGIA,7.18
AC,01/02/2023,DIESEL,SABBÁ,6.75
AC,22/02/2023,GASOLINA ADITIVADA,BRANCA,5.49
AC,22/02/2023,DIESEL,IPIRANGA,6.89
AC,01/02/2023,GASOLINA,BRANCA,5.29
AC,08/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.49
AC,22/02/2023,DIESEL S10,IPIRANGA,6.89
AC,13/02/2023,GASOLINA,IPIRANGA,6.43
AC,13/02/2023,GASOLINA ADITIVADA,IPIRANGA,6.43
AC,15/02/2023,DIESEL S10,SABBÁ,6.54
AC,25/01/2023,GASOLINA,BRANCA,5.19
AC,01/02/2023,DIESEL S10,BRANCA,7.34
AC,08/02/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.38
AC,08/02/2023,GASOLINA ADITIVADA,SABBÁ,5.18
AC,13/02/2023,DIESEL S10,VIBRA ENERGIA,7.56
AC,15/02/2023,DIESEL,SABBÁ,6.5
AC,15/02/2023,DIESEL,VIBRA ENERGIA,6.89
AC,22/02/2023,DIESEL S10,VIBRA ENERGIA,6.86
AC,22/02/2023,ETANOL,BRANCA,4.48
AC,22/02/2023,GASOLINA,SABBÁ,5.29
