Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,ETANOL,12/01/2023,4.44,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,DIESEL S10,12/01/2023,7.17,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,DIESEL,12/01/2023,7.15,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,GASOLINA ADITIVADA,12/01/2023,5.27,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,GASOLINA,12/01/2023,5.27,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,ETANOL,12/01/2023,4.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,DIESEL S10,12/01/2023,7.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,DIESEL,12/01/2023,7.15,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,GASOLINA ADITIVADA,12/01/2023,5.47,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,GASOLINA,12/01/2023,5.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,JOAFRA - AUTO POSTO EIRELI,07.466.381/0001-48,AVENIDA GOVERNADOR EDMUNDO PINTO,1502,,CONJUNTO RUI LINO,69919-850,DIESEL S10,12/01/2023,7.28,,R$ / litro,IPIRANGA,2023-11-21
N,AC,RIO BRANCO,JOAFRA - AUTO POSTO EIRELI,07.466.381/0001-48,AVENIDA GOVERNADOR EDMUNDO PINTO,1502,,CONJUNTO RUI LINO,69919-850,DIESEL,12/01/2023,7.39,,R$ / litro,IPIRANGA,2023-11-21
N,AC,RIO BRANCO,JOAFRA - AUTO POSTO EIRELI,07.466.381/0001-48,AVENIDA GOVERNADOR EDMUNDO PINTO,1502,,CONJUNTO RUI LINO,69919-850,GASOLINA ADITIVADA,12/01/2023,5.34,,R$ / litro,IPIRANGA,2023-11-21
N,AC,RIO BRANCO,JOAFRA - AUTO POSTO EIRELI,07.466.381/0001-48,AVENIDA GOVERNADOR EDMUNDO PINTO,1502,,CONJUNTO RUI LINO,69919-850,GASOLINA,12/01/2023,5.34,,R$ / litro,IPIRANGA,2023-11-21
N,AC,RIO BRANCO,POSTO DE COMBUSTIVEL PANORAMA EIRELI,34.211.824/0001-22,ESTRADA DO SAO FRANCISCO,1558,,VITORIA,69901-815,DIESEL S10,12/01/2023,7.44,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,POSTO DE COMBUSTIVEL PANORAMA EIRELI,34.211.824/0001-22,ESTRADA DO SAO FRANCISCO,1558,,VITORIA,69901-815,GASOLINA ADITIVADA,12/01/2023,5.46,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,POSTO DE COMBUSTIVEL PANORAMA EIRELI,34.211.824/0001-22,ESTRADA DO SAO FRANCISCO,1558,,VITORIA,69901-815,GASOLINA,12/01/2023,5.3,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,A. COSTA RODRIGUES - EIRELI,09.125.540/0001-76,ESTRADA DE PORTO ACRE,1321,,ALTO ALEGRE,69921-282,ETANOL,12/01/2023,4.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,A. COSTA RODRIGUES - EIRELI,09.125.540/0001-76,ESTRADA DE PORTO ACRE,1321,,ALTO ALEGRE,69921-282,DIESEL S10,12/01/2023,7.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,A. COSTA RODRIGUES - EIRELI,09.125.540/0001-76,ESTRADA DE PORTO ACRE,1321,,ALTO ALEGRE,69921-282,DIESEL,12/01/2023,7.25,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,A. COSTA RODRIGUES - EIRELI,09.125.540/0001-76,ESTRADA DE PORTO ACRE,1321,,ALTO ALEGRE,69921-282,GASOLINA ADITIVADA,12/01/2023,5.38,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,A. COSTA RODRIGUES - EIRELI,09.125.540/0001-76,ESTRADA DE PORTO ACRE,1321,,ALTO ALEGRE,69921-282,GASOLINA,12/01/2023,5.32,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,AC,RIO BRANCO,REDE BONS AMIGOS GETULIO VARGAS COM DE PETROLEO LTDA,44.526.555/0001-47,AVENIDA GETULIO VARGAS,3149,,VILA IVONETE,69918-578,ETANOL,12/01/2023,4.48,,R$ / litro,BRANCA,2023-11-21
N,AC,RIO BRANCO,REDE BONS AMIGOS GETULIO VARGAS COM DE PETROLEO LTDA,44.526.555/0001-47,AVENIDA GETULIO VARGAS,3149,,VILA IVONETE,69918-578,DIESEL S10,12/01/2023,7.37,,R$ / litro,BRANCA,2023-11-21
