Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
AM,09/01/2023,GASOLINA,SABBÁ,4.99
AM,02/01/2023,DIESEL,VIBRA ENERGIA,6.89
AM,02/01/2023,ETANOL,SABBÁ,3.99
AM,17/01/2023,DIESEL,IPIRANGA,6.61
AM,02/01/2023,DIESEL S10,EQUADOR,6.89
AM,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.99
AM,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.98
AM,12/01/2023,DIESEL S10,BRANCA,7.29
AM,10/01/2023,ETANOL,ATEM' S,3.91
AM,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.29
AM,10/01/2023,DIESEL,ATEM' S,6.65
AM,05/01/2023,GASOLINA ADITIVADA,BRANCA,5.99
AM,03/01/2023,GNV,ATEM' S,4.19
AM,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.13
AM,24/01/2023,ETANOL,IPIRANGA,3.9
AM,23/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
AM,25/01/2023,GASOLINA,EQUADOR,5.69
AM,09/01/2023,ETANOL,IPIRANGA,3.94
AM,02/01/2023,DIESEL,IPIRANGA,6.84
AM,17/01/2023,DIESEL,SABBÁ,6.59
AM,04/01/2023,ETANOL,SABBÁ,3.99
AM,04/01/2023,GASOLINA,BRANCA,5.49
AM,24/01/2023,DIESEL,IPIRANGA,6.42
AM,02/01/2023,GASOLINA ADITIVADA,EQUADOR,5.06
AM,16/01/2023,ETANOL,SABBÁ,3.89
AM,11/01/2023,GASOLINA,SABBÁ,4.99
AM,03/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
AM,18/01/2023,GASOLINA,IPIRANGA,4.99
AM,17/01/2023,ETANOL,SABBÁ,3.99
AM,23/01/2023,GASOLINA,ATEM' S,4.99
AM,12/01/2023,GASOLINA,BRANCA,5.89
AM,11/01/2023,DIESEL S10,IPIRANGA,6.58
AM,03/01/2023,GASOLINA,ATEM' S,4.99
AM,17/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
AM,24/01/2023,ETANOL,SABBÁ,3.79
AM,03/01/2023,DIESEL,ATEM' S,6.79
AM,10/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
AM,16/01/2023,GASOLINA,VIBRA ENERGIA,4.99
AM,10/01/2023,DIESEL S10,IPIRANGA,6.93
AM,11/01/2023,GASOLINA,VIBRA ENERGIA,4.99
AM,23/01/2023,GASOLINA,SABBÁ,4.99
AM,17/01/2023,GNV,ATEM' S,4.19
AM,17/01/2023,DIESEL,VIBRA ENERGIA,6.39
AM,04/01/2023,DIESEL,BRANCA,6.59
AM,26/01/2023,GASOLINA,IPIRANGA,5.99
AM,05/01/2023,DIESEL S10,IPIRANGA,7.5
AM,17/01/2023,ETANOL,ATEM' S,3.87
AM,17/01/2023,GASOLINA,EQUADOR,4.99
AM,25/01/2023,GASOLINA,IPIRANGA,5.49
AM,09/01/2023,GASOLINA,IPIRANGA,4.99
AM,17/01/2023,ETANOL,EQUADOR,3.99
AM,24/01/2023,DIESEL,ATEM' S,6.39
AM,25/01/2023,GASOLINA ADITIVADA,ATEM' S,6.0
AM,03/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
AM,09/01/2023,DIESEL,VIBRA ENERGIA,6.59
AM,10/01/2023,DIESEL S10,EQUADOR,6.89
AM,03/01/2023,GASOLINA,EQUADOR,4.99
AM,19/01/2023,DIESEL,IPIRANGA,7.29
AM,23/01/2023,DIESEL S10,SABBÁ,6.44
AM,03/01/2023,ETANOL,RAIZEN,3.99
AM,24/01/2023,DIESEL,BRANCA,6.36
AM,03/01/2023,ETANOL,IPIRANGA,3.98
AM,02/01/2023,ETANOL,BRANCA,3.97
AM,24/01/2023,GASOLINA,IPIRANGA,5.16
AM,25/01/2023,ETANOL,IPIRANGA,3.99
AM,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.06
AM,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.99
AM,17/01/2023,DIESEL S10,BRANCA,6.49
AM,03/01/2023,ETANOL,ATEM' S,3.96
AM,03/01/2023,GASOLINA,IPIRANGA,5.19
AM,10/01/2023,GASOLINA,BRANCA,5.24
AM,10/01/2023,ETANOL,BRANCA,3.99
AM,24/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
AM,10/01/2023,GASOLINA,ATEM' S,5.16
AM,09/01/2023,GASOLINA,BRANCA,4.97
AM,02/01/2023,GASOLINA,SABBÁ,4.99
AM,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.05
AM,09/01/2023,ETANOL,VIBRA ENERGIA,3.92
AM,10/01/2023,GASOLINA,EQUADOR,4.99
AM,16/01/2023,ETANOL,VIBRA ENERGIA,3.92
AM,16/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
AM,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.49
AM,10/01/2023,GASOLINA,IPIRANGA,5.16
AM,17/01/2023,DIESEL S10,ATEM' S,6.71
AM,16/01/2023,DIESEL,ATEM' S,6.59
AM,23/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
AM,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.34
AM,19/01/2023,GASOLINA,IPIRANGA,5.79
