Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
AP,18/01/2023,GASOLINA,IPIRANGA,4.59
AP,12/01/2023,DIESEL,VIBRA ENERGIA,6.36
AP,18/01/2023,DIESEL,IPIRANGA,6.48
AP,12/01/2023,GASOLINA,BRANCA,4.56
AP,12/01/2023,DIESEL,BRANCA,6.36
AP,03/01/2023,DIESEL,IPIRANGA,6.53
AP,03/01/2023,GASOLINA,BRANCA,4.51
AP,03/01/2023,GASOLINA ADITIVADA,BRANCA,4.77
AP,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.82
AP,24/01/2023,DIESEL S10,IPIRANGA,6.78
AP,13/01/2023,DIESEL,VIBRA ENERGIA,6.36
AP,18/01/2023,DIESEL,VIBRA ENERGIA,6.36
AP,24/01/2023,GASOLINA,VIBRA ENERGIA,4.53
AP,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.79
AP,17/01/2023,GASOLINA,IPIRANGA,4.72
AP,12/01/2023,DIESEL S10,IPIRANGA,6.89
AP,18/01/2023,DIESEL S10,BRANCA,6.63
AP,03/01/2023,DIESEL,VIBRA ENERGIA,7.33
AP,13/01/2023,GASOLINA,BRANCA,4.54
AP,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
AP,03/01/2023,DIESEL S10,BRANCA,6.53
AP,13/01/2023,GASOLINA,IPIRANGA,4.68
AP,03/01/2023,DIESEL,BRANCA,6.32
AP,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.64
AP,24/01/2023,ETANOL,IPIRANGA,5.25
AP,03/01/2023,DIESEL S10,IPIRANGA,6.81
AP,03/01/2023,DIESEL S10,VIBRA ENERGIA,7.59
AP,03/01/2023,ETANOL,BRANCA,4.8
AP,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.84
AP,18/01/2023,GASOLINA,BRANCA,4.58
AP,12/01/2023,DIESEL,IPIRANGA,6.36
AP,03/01/2023,GASOLINA,IPIRANGA,4.8
AP,12/01/2023,GASOLINA,VIBRA ENERGIA,4.54
AP,17/01/2023,GASOLINA,VIBRA ENERGIA,4.54
AP,18/01/2023,DIESEL S10,IPIRANGA,6.75
AP,18/01/2023,DIESEL,BRANCA,6.36
AP,17/01/2023,DIESEL,IPIRANGA,6.55
AP,24/01/2023,DIESEL,IPIRANGA,6.5
AP,24/01/2023,GASOLINA,IPIRANGA,4.64
AP,17/01/2023,ETANOL,IPIRANGA,5.32
AP,18/01/2023,GASOLINA,VIBRA ENERGIA,4.54
AP,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.99
AP,13/01/2023,DIESEL S10,IPIRANGA,6.71
AP,17/01/2023,DIESEL S10,IPIRANGA,6.82
AP,24/01/2023,DIESEL,VIBRA ENERGIA,6.58
AP,18/01/2023,GASOLINA ADITIVADA,BRANCA,4.77
AP,12/01/2023,GASOLINA,IPIRANGA,4.63
AP,24/01/2023,GASOLINA,BRANCA,4.49
AP,13/01/2023,DIESEL,IPIRANGA,6.2
AP,24/01/2023,DIESEL,BRANCA,6.29
AP,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.89
AP,17/01/2023,GASOLINA,BRANCA,4.54
AP,13/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.81
AP,13/01/2023,GASOLINA,VIBRA ENERGIA,4.54
AP,17/01/2023,DIESEL,BRANCA,6.36
AP,03/01/2023,GASOLINA,VIBRA ENERGIA,4.5
AP,23/02/2023,GASOLINA,VIBRA ENERGIA,4.73
AP,15/02/2023,DIESEL S10,BRANCA,6.35
AP,01/02/2023,DIESEL S10,VIBRA ENERGIA,7.15
AP,15/02/2023,GASOLINA,IPIRANGA,4.81
AP,01/02/2023,GASOLINA,VIBRA ENERGIA,4.77
AP,08/02/2023,GASOLINA,BRANCA,4.71
AP,01/02/2023,GASOLINA ADITIVADA,BRANCA,4.88
AP,23/02/2023,GASOLINA,IPIRANGA,4.8
AP,23/02/2023,DIESEL S10,IPIRANGA,6.51
AP,01/02/2023,ETANOL,IPIRANGA,5.25
AP,01/02/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.96
AP,15/02/2023,DIESEL S10,IPIRANGA,6.73
AP,08/02/2023,ETANOL,BRANCA,4.85
AP,23/02/2023,DIESEL S10,VIBRA ENERGIA,7.29
AP,01/02/2023,DIESEL S10,BRANCA,6.63
AP,08/02/2023,DIESEL,BRANCA,6.31
AP,01/02/2023,DIESEL,VIBRA ENERGIA,6.75
AP,15/02/2023,GASOLINA,BRANCA,4.7
AP,16/02/2023,GASOLINA,VIBRA ENERGIA,4.69
AP,01/02/2023,GASOLINA,BRANCA,4.64
AP,08/02/2023,GASOLINA,IPIRANGA,4.81
AP,15/02/2023,DIESEL,VIBRA ENERGIA,5.99
AP,08/02/2023,GASOLINA ADITIVADA,BRANCA,4.9
AP,08/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.06
AP,23/02/2023,GASOLINA,BRANCA,4.68
AP,16/02/2023,GASOLINA,BRANCA,4.69
AP,15/02/2023,GASOLINA,VIBRA ENERGIA,4.69
AP,01/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.03
AP,08/02/2023,DIESEL S10,IPIRANGA,6.84
AP,01/02/2023,DIESEL,BRANCA,6.25
AP,01/02/2023,DIESEL,IPIRANGA,6.49
AP,15/02/2023,DIESEL,IPIRANGA,6.59
AP,16/02/2023,DIESEL S10,BRANCA,6.34
AP,08/02/2023,DIESEL S10,VIBRA ENERGIA,7.59
AP,08/02/2023,DIESEL S10,BRANCA,6.67
AP,23/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.0
AP,23/02/2023,DIESEL,IPIRANGA,6.21
AP,01/02/2023,GASOLINA,IPIRANGA,4.85
AP,15/02/2023,GASOLINA ADITIVADA,IPIRANGA,5.06
AP,01/02/2023,DIESEL S10,IPIRANGA,6.77
AP,15/02/2023,GASOLINA ADITIVADA,BRANCA,4.86
AP,08/02/2023,GASOLINA,VIBRA ENERGIA,4.72
AP,15/02/2023,DIESEL,BRANCA,6.02
AP,08/02/2023,DIESEL,VIBRA ENERGIA,6.85
AP,16/02/2023,DIESEL,BRANCA,5.99
AP,23/02/2023,DIESEL,BRANCA,5.99
AP,16/03/2023,DIESEL,VIBRA ENERGIA,6.59
AP,03/03/2023,GASOLINA,BRANCA,5.13
AP,03/03/2023,DIESEL S10,BRANCA,5.99
AP,09/03/2023,DIESEL,VIBRA ENERGIA,6.59
AP,09/03/2023,GASOLINA ADITIVADA,IPIRANGA,5.49
AP,03/03/2023,DIESEL,IPIRANGA,6.15
AP,09/03/2023,DIESEL S10,IPIRANGA,6.44
AP,03/03/2023,GASOLINA,IPIRANGA,5.3
AP,03/03/2023,DIESEL S10,VIBRA ENERGIA,7.01
AP,16/03/2023,DIESEL S10,VIBRA ENERGIA,7.01
AP,16/03/2023,DIESEL S10,BRANCA,6.28
AP,09/03/2023,DIESEL,BRANCA,5.99
AP,03/03/2023,DIESEL S10,IPIRANGA,6.45
AP,16/03/2023,DIESEL,IPIRANGA,6.08
AP,16/03/2023,GASOLINA ADITIVADA,IPIRANGA,5.48
AP,03/03/2023,GASOLINA ADITIVADA,IPIRANGA,5.52
AP,16/03/2023,GASOLINA,VIBRA ENERGIA,5.21
AP,09/03/2023,GASOLINA,BRANCA,5.15
AP,16/03/2023,GASOLINA,BRANCA,5.18
AP,09/03/2023,DIESEL S10,BRANCA,6.11
AP,09/03/2023,GASOLINA,VIBRA ENERGIA,5.2
AP,16/03/2023,DIESEL S10,IPIRANGA,6.44
AP,16/03/2023,DIESEL,BRANCA,5.99
AP,03/03/2023,GASOLINA,VIBRA ENERGIA,5.2
AP,16/03/2023,GASOLINA ADITIVADA,BRANCA,5.34
AP,16/03/2023,GASOLINA,IPIRANGA,5.29
AP,16/03/2023,ETANOL,BRANCA,5.07
AP,09/03/2023,DIESEL S10,VIBRA ENERGIA,7.01
AP,09/03/2023,GASOLINA,IPIRANGA,5.28
AP,09/03/2023,DIESEL,IPIRANGA,6.1
AP,30/03/2023,DIESEL,IPIRANGA,5.87
AP,22/03/2023,GASOLINA ADITIVADA,BRANCA,5.53
AP,23/03/2023,GASOLINA,IPIRANGA,5.27
AP,06/04/2023,DIESEL S10,IPIRANGA,6.21
AP,22/03/2023,GASOLINA ADITIVADA,IPIRANGA,5.56
AP,13/04/2023,DIESEL,IPIRANGA,6.2
AP,06/04/2023,GASOLINA ADITIVADA,IPIRANGA,5.41
AP,30/03/2023,GASOLINA,VIBRA ENERGIA,5.14
