Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
BA,03/01/2023,DIESEL,IPIRANGA,6.97
BA,05/01/2023,GASOLINA,RAIZEN,5.54
BA,26/01/2023,DIESEL,VIBRA ENERGIA,6.45
BA,03/01/2023,DIESEL,BRANCA,6.71
BA,24/01/2023,ETANOL,RAIZEN,4.47
BA,05/01/2023,DIESEL,IPIRANGA,6.55
BA,19/01/2023,ETANOL,VIBRA ENERGIA,4.43
BA,12/01/2023,ETANOL,RAIZEN,4.77
BA,18/01/2023,GASOLINA,LARCO,5.34
BA,23/01/2023,DIESEL S10,IPIRANGA,6.68
BA,12/01/2023,DIESEL,RAIZEN,6.44
BA,17/01/2023,GASOLINA,ALESAT,5.39
BA,12/01/2023,DIESEL S10,VIBRA ENERGIA,6.71
BA,24/01/2023,ETANOL,BRANCA,4.42
BA,04/01/2023,DIESEL,IPIRANGA,6.46
BA,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.59
BA,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.79
BA,24/01/2023,GASOLINA,RAIZEN,5.52
BA,24/01/2023,GASOLINA,ALESAT,5.39
BA,25/01/2023,DIESEL,PETROBAHIA,5.89
BA,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.63
BA,12/01/2023,ETANOL,IPIRANGA,4.5
BA,10/01/2023,ETANOL,LARCO,4.44
BA,23/01/2023,DIESEL S10,BRANCA,6.46
BA,23/01/2023,DIESEL,IPIRANGA,6.38
BA,19/01/2023,GASOLINA ADITIVADA,BRANCA,5.48
BA,19/01/2023,GASOLINA ADITIVADA,RAIZEN,5.73
BA,23/01/2023,GASOLINA ADITIVADA,ALESAT,5.62
BA,05/01/2023,DIESEL,BRANCA,6.75
BA,04/01/2023,GASOLINA,BRANCA,5.6
BA,04/01/2023,DIESEL S10,IPIRANGA,6.55
BA,20/01/2023,DIESEL S10,BRANCA,6.9
BA,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.73
BA,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.51
BA,25/01/2023,ETANOL,BRANCA,4.32
BA,10/01/2023,ETANOL,BRANCA,4.44
BA,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.72
BA,18/01/2023,ETANOL,VIBRA ENERGIA,4.55
BA,24/01/2023,GASOLINA,BRANCA,5.46
BA,03/01/2023,GASOLINA,ALESAT,5.49
BA,12/01/2023,GASOLINA,PETROBAHIA,5.34
BA,04/01/2023,GASOLINA,IPIRANGA,5.66
BA,16/01/2023,ETANOL,RAIZEN,4.49
BA,24/01/2023,DIESEL,VIBRA ENERGIA,6.49
BA,24/01/2023,GASOLINA,VIBRA ENERGIA,5.5
BA,12/01/2023,GASOLINA,RAIZEN,5.81
BA,20/01/2023,ETANOL,BRANCA,4.34
BA,05/01/2023,GASOLINA ADITIVADA,RAIZEN,5.89
BA,12/01/2023,DIESEL S10,RAIZEN,6.57
BA,17/01/2023,GASOLINA,RAIZEN,5.43
BA,19/01/2023,GASOLINA,BRANCA,5.45
BA,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.74
BA,09/01/2023,GASOLINA,IPIRANGA,5.55
BA,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.83
BA,03/01/2023,DIESEL S10,BRANCA,6.83
BA,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.64
BA,10/01/2023,GNV,RAIZEN,4.17
BA,09/01/2023,DIESEL,RAIZEN,6.4
BA,25/01/2023,GNV,PETROBAHIA,4.29
BA,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.64
BA,23/01/2023,DIESEL S10,RAIZEN,6.66
BA,12/01/2023,GASOLINA ADITIVADA,RAIZEN,6.07
BA,17/01/2023,ETANOL,RAIZEN,4.44
BA,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.7
BA,20/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.69
BA,23/01/2023,ETANOL,VIBRA ENERGIA,4.35
BA,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.7
BA,11/01/2023,GASOLINA,RAIZEN,5.72
BA,12/01/2023,DIESEL S10,LARCO,6.33
BA,17/01/2023,GASOLINA,IPIRANGA,5.48
BA,18/01/2023,GASOLINA,IPIRANGA,5.57
BA,04/01/2023,ETANOL,VIBRA ENERGIA,4.64
BA,12/01/2023,DIESEL,VIBRA ENERGIA,6.48
BA,17/01/2023,GNV,VIBRA ENERGIA,4.51
BA,04/01/2023,DIESEL,RAIZEN,6.46
BA,20/01/2023,ETANOL,IPIRANGA,4.44
BA,25/01/2023,ETANOL,PETROBAHIA,4.19
BA,19/01/2023,DIESEL S10,VIBRA ENERGIA,6.6
BA,19/01/2023,DIESEL,ALESAT,6.17
BA,25/01/2023,GNV,VIBRA ENERGIA,4.24
BA,17/01/2023,GNV,PETROBAHIA,4.29
BA,12/01/2023,DIESEL,IPIRANGA,6.41
BA,25/01/2023,DIESEL,VIBRA ENERGIA,6.13
BA,03/01/2023,DIESEL S10,RAIZEN,7.19
BA,09/01/2023,GASOLINA,BRANCA,5.55
BA,10/01/2023,DIESEL S10,ALESAT,6.61
BA,23/01/2023,GASOLINA,VIBRA ENERGIA,5.39
BA,05/01/2023,GNV,RAIZEN,4.18
BA,17/01/2023,DIESEL,BRANCA,6.56
BA,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.5
BA,19/01/2023,DIESEL,VIBRA ENERGIA,6.49
BA,25/01/2023,GASOLINA,RAIZEN,5.26
BA,10/01/2023,GASOLINA,RAIZEN,5.54
BA,17/01/2023,DIESEL,ALESAT,6.9
BA,25/01/2023,ETANOL,VIBRA ENERGIA,4.38
BA,25/01/2023,DIESEL S10,PETROBAHIA,6.12
BA,05/01/2023,ETANOL,ALESAT,4.46
BA,25/01/2023,GASOLINA,BRANCA,5.33
BA,02/01/2023,DIESEL S10,BRANCA,6.74
BA,11/01/2023,DIESEL,IPIRANGA,6.75
BA,16/01/2023,GASOLINA,RAIZEN,5.49
BA,19/01/2023,ETANOL,ALESAT,4.4
BA,19/01/2023,GASOLINA ADITIVADA,ALESAT,5.4
BA,16/01/2023,ETANOL,BRANCA,4.35
BA,16/01/2023,GASOLINA,IPIRANGA,5.49
BA,26/01/2023,ETANOL,BRANCA,4.51
BA,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.79
BA,17/01/2023,DIESEL S10,IPIRANGA,6.67
BA,24/01/2023,DIESEL,IPIRANGA,6.36
BA,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.49
BA,20/01/2023,GASOLINA,BRANCA,5.34
BA,24/01/2023,GASOLINA,IPIRANGA,5.52
BA,05/01/2023,DIESEL,ALESAT,6.76
BA,10/01/2023,ETANOL,IPIRANGA,4.57
BA,17/01/2023,GASOLINA,BRANCA,5.48
BA,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.34
BA,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.66
BA,05/01/2023,GASOLINA,ALESAT,5.6
BA,10/01/2023,GASOLINA ADITIVADA,LARCO,5.44
BA,19/01/2023,ETANOL,RAIZEN,4.16
BA,16/01/2023,ETANOL,IPIRANGA,4.37
BA,02/01/2023,GASOLINA,BRANCA,5.84
BA,26/01/2023,GASOLINA,VIBRA ENERGIA,5.46
BA,04/01/2023,ETANOL,BRANCA,4.43
BA,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.94
BA,24/01/2023,DIESEL,RAIZEN,6.28
BA,12/01/2023,GNV,PETROBAHIA,4.29
BA,11/01/2023,DIESEL,RAIZEN,6.39
BA,24/01/2023,GASOLINA,PETROBAHIA,5.78
BA,03/01/2023,DIESEL,VIBRA ENERGIA,6.34
BA,05/01/2023,ETANOL,RAIZEN,4.53
BA,03/01/2023,GASOLINA,RAIZEN,5.99
BA,10/01/2023,ETANOL,VIBRA ENERGIA,4.48
BA,18/01/2023,DIESEL S10,IPIRANGA,6.55
BA,17/01/2023,ETANOL,ALESAT,4.32
BA,25/01/2023,DIESEL S10,RAIZEN,6.14
BA,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.8
BA,10/01/2023,DIESEL,VIBRA ENERGIA,6.41
BA,17/01/2023,DIESEL,IPIRANGA,6.38
BA,18/01/2023,ETANOL,ALESAT,4.59
BA,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.66
BA,05/01/2023,DIESEL S10,ALESAT,6.68
BA,19/01/2023,GASOLINA,ALESAT,5.34
BA,19/01/2023,GASOLINA,IPIRANGA,5.29
BA,10/01/2023,DIESEL,IPIRANGA,6.85
BA,12/01/2023,ETANOL,LARCO,4.36
BA,05/01/2023,DIESEL,VIBRA ENERGIA,6.6
BA,16/01/2023,DIESEL,IPIRANGA,6.19
BA,17/01/2023,DIESEL S10,ALESAT,6.45
BA,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.57
BA,23/01/2023,DIESEL,BRANCA,6.31
BA,09/01/2023,ETANOL,BRANCA,4.39
BA,12/01/2023,GASOLINA ADITIVADA,LARCO,5.36
BA,18/01/2023,ETANOL,LARCO,4.34
BA,05/01/2023,DIESEL S10,IPIRANGA,6.59
BA,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.58
BA,26/01/2023,DIESEL S10,BRANCA,6.6
BA,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.6
BA,10/01/2023,DIESEL S10,IPIRANGA,6.78
BA,24/01/2023,DIESEL,PETROBAHIA,6.16
BA,17/01/2023,ETANOL,VIBRA ENERGIA,4.43
BA,16/01/2023,GNV,RAIZEN,4.19
BA,16/01/2023,DIESEL,BRANCA,6.64
BA,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.58
BA,05/01/2023,GASOLINA,BRANCA,5.61
BA,26/01/2023,ETANOL,VIBRA ENERGIA,4.41
BA,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.51
BA,18/01/2023,DIESEL S10,ALESAT,6.47
BA,26/01/2023,DIESEL,IPIRANGA,6.63
BA,23/01/2023,ETANOL,RAIZEN,4.39
BA,17/01/2023,ETANOL,IPIRANGA,4.5
BA,12/01/2023,ETANOL,VIBRA ENERGIA,4.46
BA,24/01/2023,GNV,RAIZEN,4.14
BA,24/01/2023,ETANOL,PETROBAHIA,4.78
BA,19/01/2023,GASOLINA,VIBRA ENERGIA,5.49
BA,16/01/2023,DIESEL S10,BRANCA,6.58
BA,10/01/2023,DIESEL,ALESAT,6.7
BA,12/01/2023,DIESEL,LARCO,6.18
BA,17/01/2023,DIESEL S10,VIBRA ENERGIA,6.65
BA,18/01/2023,ETANOL,IPIRANGA,4.45
BA,16/01/2023,DIESEL S10,IPIRANGA,6.77
BA,04/01/2023,GASOLINA,RAIZEN,5.81
BA,11/01/2023,ETANOL,IPIRANGA,4.61
BA,20/01/2023,GASOLINA ADITIVADA,BRANCA,5.39
BA,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.59
BA,18/01/2023,ETANOL,BRANCA,4.63
BA,18/01/2023,ETANOL,RAIZEN,4.45
BA,25/01/2023,GASOLINA,LARCO,5.26
BA,26/01/2023,GNV,RAIZEN,4.16
BA,18/01/2023,DIESEL,BRANCA,6.43
BA,25/01/2023,GASOLINA,VIBRA ENERGIA,5.38
BA,23/01/2023,GASOLINA,RAIZEN,5.47
BA,03/01/2023,GASOLINA,VIBRA ENERGIA,5.73
BA,25/01/2023,DIESEL,LARCO,6.04
BA,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.69
BA,25/01/2023,DIESEL S10,IPIRANGA,6.31
BA,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.68
BA,02/01/2023,DIESEL,BRANCA,6.62
BA,09/01/2023,DIESEL S10,RAIZEN,6.47
BA,11/01/2023,DIESEL S10,IPIRANGA,6.82
BA,24/01/2023,ETANOL,ALESAT,4.36
BA,03/01/2023,DIESEL,ALESAT,6.45
