Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,BA,POCOES,AUTO POSTO APACHE LTDA PP,09.153.856/0001-71,AVENIDA JUCELINO KUBISTCHECK,737-A,LOJA  01,PITUBA,45260-000,ETANOL,21/02/2023,4.19,,R$ / litro,RAIZEN,2023-11-21
NE,BA,POCOES,AUTO POSTO APACHE LTDA PP,09.153.856/0001-71,AVENIDA JUCELINO KUBISTCHECK,737-A,LOJA  01,PITUBA,45260-000,DIESEL S10,21/02/2023,5.79,,R$ / litro,RAIZEN,2023-11-21
NE,BA,POCOES,AUTO POSTO APACHE LTDA PP,09.153.856/0001-71,AVENIDA JUCELINO KUBISTCHECK,737-A,LOJA  01,PITUBA,45260-000,DIESEL,21/02/2023,5.69,,R$ / litro,RAIZEN,2023-11-21
NE,BA,POCOES,AUTO POSTO APACHE LTDA PP,09.153.856/0001-71,AVENIDA JUCELINO KUBISTCHECK,737-A,LOJA  01,PITUBA,45260-000,GASOLINA,21/02/2023,5.39,,R$ / litro,RAIZEN,2023-11-21
NE,BA,JEQUIE,CIDADE NOVA COMERCIO DE DERIVADOS DE PETROLEO LTDA,10.298.695/0001-93,AVENIDA GOVERNADOR AURELIO RODRIGUES VIANA,80,,KENNEDY,45201-475,ETANOL,23/02/2023,4.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,JEQUIE,CIDADE NOVA COMERCIO DE DERIVADOS DE PETROLEO LTDA,10.298.695/0001-93,AVENIDA GOVERNADOR AURELIO RODRIGUES VIANA,80,,KENNEDY,45201-475,DIESEL S10,23/02/2023,6.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,JEQUIE,CIDADE NOVA COMERCIO DE DERIVADOS DE PETROLEO LTDA,10.298.695/0001-93,AVENIDA GOVERNADOR AURELIO RODRIGUES VIANA,80,,KENNEDY,45201-475,DIESEL,23/02/2023,5.94,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,JEQUIE,CIDADE NOVA COMERCIO DE DERIVADOS DE PETROLEO LTDA,10.298.695/0001-93,AVENIDA GOVERNADOR AURELIO RODRIGUES VIANA,80,,KENNEDY,45201-475,GASOLINA ADITIVADA,23/02/2023,5.87,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,JEQUIE,CIDADE NOVA COMERCIO DE DERIVADOS DE PETROLEO LTDA,10.298.695/0001-93,AVENIDA GOVERNADOR AURELIO RODRIGUES VIANA,80,,KENNEDY,45201-475,GASOLINA,23/02/2023,5.57,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,BA,JEQUIE,CAROL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,09.087.519/0001-23,AVENIDA GOVERNADOR LOMANTO JUNIOR - LOTEAMENTO SANTA LUZ,S/N,QUADRA1,JOAQUIM ROMAO,45200-970,ETANOL,23/02/2023,4.39,,R$ / litro,BRANCA,2023-11-21
NE,BA,JEQUIE,CAROL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,09.087.519/0001-23,AVENIDA GOVERNADOR LOMANTO JUNIOR - LOTEAMENTO SANTA LUZ,S/N,QUADRA1,JOAQUIM ROMAO,45200-970,GASOLINA ADITIVADA,23/02/2023,5.57,,R$ / litro,BRANCA,2023-11-21
NE,BA,JEQUIE,CAROL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,09.087.519/0001-23,AVENIDA GOVERNADOR LOMANTO JUNIOR - LOTEAMENTO SANTA LUZ,S/N,QUADRA1,JOAQUIM ROMAO,45200-970,GASOLINA,23/02/2023,5.57,,R$ / litro,BRANCA,2023-11-21
NE,BA,BARREIRAS,POSTO TURBINAS LTDA,09.263.502/0001-80,RUA PAULO AFONSO,1511,,BARREIRINHAS,47810-608,ETANOL,22/02/2023,4.19,,R$ / litro,ALESAT,2023-11-21
NE,BA,BARREIRAS,POSTO TURBINAS LTDA,09.263.502/0001-80,RUA PAULO AFONSO,1511,,BARREIRINHAS,47810-608,DIESEL S10,22/02/2023,6.49,,R$ / litro,ALESAT,2023-11-21
