Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
CE,04/01/2023,ETANOL,ALESAT,4.29
CE,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.66
CE,05/01/2023,GNV,BRANCA,4.49
CE,16/01/2023,ETANOL,VIBRA ENERGIA,4.52
CE,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.69
CE,25/01/2023,GASOLINA,BRANCA,5.58
CE,06/01/2023,GASOLINA,VIBRA ENERGIA,5.58
CE,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.72
CE,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.69
CE,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.51
CE,24/01/2023,GASOLINA ADITIVADA,SP,5.65
CE,11/01/2023,GNV,IPIRANGA,4.37
CE,18/01/2023,ETANOL,RAIZEN,4.7
CE,26/01/2023,DIESEL,VIBRA ENERGIA,6.77
CE,11/01/2023,GASOLINA,BRANCA,5.49
CE,23/01/2023,DIESEL S10,IPIRANGA,6.69
CE,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.6
CE,02/01/2023,DIESEL S10,IPIRANGA,6.79
CE,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.57
CE,17/01/2023,ETANOL,SP,4.64
CE,17/01/2023,GASOLINA,SP,5.52
CE,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.53
CE,24/01/2023,DIESEL S10,RAIZEN,6.63
CE,04/01/2023,DIESEL,VIBRA ENERGIA,6.89
CE,10/01/2023,DIESEL S10,ALESAT,6.69
CE,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.64
CE,19/01/2023,ETANOL,BRANCA,6.07
CE,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.77
CE,26/01/2023,DIESEL S10,RAIZEN,6.83
CE,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.7
CE,09/01/2023,DIESEL S10,BRANCA,6.77
CE,17/01/2023,GASOLINA,IPIRANGA,5.39
CE,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.22
CE,03/01/2023,GASOLINA,BRANCA,5.59
CE,10/01/2023,DIESEL S10,SP,6.94
CE,19/01/2023,DIESEL S10,ALESAT,6.99
CE,25/01/2023,DIESEL S10,SP,6.66
CE,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.42
CE,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.75
CE,26/01/2023,GNV,BRANCA,4.59
CE,25/01/2023,ETANOL,IPIRANGA,4.59
CE,19/01/2023,DIESEL,BRANCA,6.99
CE,17/01/2023,GASOLINA,VIBRA ENERGIA,5.59
CE,05/01/2023,GASOLINA,BRANCA,5.5
CE,09/01/2023,ETANOL,SP,4.29
CE,10/01/2023,DIESEL,RAIZEN,6.79
CE,18/01/2023,GNV,VIBRA ENERGIA,4.46
CE,16/01/2023,ETANOL,ALESAT,4.59
CE,24/01/2023,DIESEL S10,BRANCA,6.67
CE,18/01/2023,GASOLINA,BRANCA,5.44
CE,16/01/2023,GASOLINA ADITIVADA,SP,5.68
CE,23/01/2023,GASOLINA,VIBRA ENERGIA,5.12
CE,05/01/2023,GASOLINA,RAIZEN,5.58
CE,05/01/2023,ETANOL,SP,4.99
CE,05/01/2023,GASOLINA ADITIVADA,SP,5.59
CE,18/01/2023,DIESEL,BRANCA,6.46
CE,11/01/2023,GASOLINA,RAIZEN,5.5
CE,17/01/2023,GASOLINA ADITIVADA,SP,5.64
CE,19/01/2023,GASOLINA,IPIRANGA,5.59
CE,26/01/2023,GASOLINA ADITIVADA,RAIZEN,5.78
CE,03/01/2023,GASOLINA,IPIRANGA,5.48
CE,04/01/2023,GNV,VIBRA ENERGIA,4.49
CE,18/01/2023,GASOLINA ADITIVADA,BRANCA,5.53
CE,18/01/2023,GNV,ALESAT,4.39
CE,03/01/2023,ETANOL,ALESAT,4.59
CE,17/01/2023,DIESEL S10,BRANCA,6.8
CE,04/01/2023,DIESEL S10,IPIRANGA,6.77
CE,02/01/2023,ETANOL,RAIZEN,4.59
CE,11/01/2023,GASOLINA,ALESAT,5.33
CE,09/01/2023,GASOLINA,SP,5.56
CE,10/01/2023,GASOLINA,ALESAT,5.59
CE,24/01/2023,GASOLINA,IPIRANGA,5.38
CE,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.48
CE,18/01/2023,GASOLINA,VIBRA ENERGIA,5.54
CE,25/01/2023,GASOLINA,IPIRANGA,5.59
CE,11/01/2023,DIESEL,IPIRANGA,6.59
CE,03/01/2023,GASOLINA,ALESAT,5.59
CE,10/01/2023,DIESEL S10,BRANCA,6.71
CE,09/01/2023,GASOLINA ADITIVADA,SP,5.69
CE,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.7
CE,05/01/2023,ETANOL,IPIRANGA,4.58
CE,11/01/2023,ETANOL,IPIRANGA,4.62
CE,18/01/2023,ETANOL,ALESAT,4.44
CE,24/01/2023,GASOLINA,BRANCA,5.48
CE,09/01/2023,DIESEL S10,RAIZEN,6.97
CE,10/01/2023,ETANOL,RAIZEN,4.63
CE,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.89
CE,09/01/2023,DIESEL,IPIRANGA,6.89
CE,11/01/2023,DIESEL S10,IPIRANGA,6.59
CE,05/01/2023,DIESEL S10,SP,6.89
CE,04/01/2023,GASOLINA ADITIVADA,ALESAT,5.4
CE,11/01/2023,DIESEL S10,RAIZEN,6.6
CE,16/01/2023,ETANOL,SP,4.49
CE,18/01/2023,DIESEL S10,ALESAT,6.57
CE,25/01/2023,DIESEL S10,RAIZEN,6.43
CE,05/01/2023,GASOLINA ADITIVADA,ALESAT,5.49
CE,05/01/2023,GASOLINA,ALESAT,5.09
CE,25/01/2023,ETANOL,RAIZEN,4.54
CE,05/01/2023,GNV,VIBRA ENERGIA,4.99
CE,17/01/2023,ETANOL,VIBRA ENERGIA,4.61
CE,02/01/2023,ETANOL,IPIRANGA,4.59
CE,17/01/2023,DIESEL S10,RAIZEN,7.14
CE,26/01/2023,GASOLINA,BRANCA,5.48
CE,26/01/2023,GNV,VIBRA ENERGIA,4.49
CE,19/01/2023,ETANOL,ALESAT,4.29
CE,04/01/2023,ETANOL,BRANCA,4.41
CE,26/01/2023,ETANOL,VIBRA ENERGIA,4.56
CE,19/01/2023,ETANOL,VIBRA ENERGIA,4.36
CE,03/01/2023,ETANOL,RAIZEN,4.7
CE,16/01/2023,DIESEL,RAIZEN,6.49
CE,24/01/2023,ETANOL,IPIRANGA,4.73
CE,26/01/2023,DIESEL S10,ALESAT,6.53
CE,05/01/2023,DIESEL S10,IPIRANGA,6.45
CE,26/01/2023,ETANOL,BRANCA,4.38
CE,10/01/2023,GNV,ALESAT,4.39
CE,09/01/2023,GNV,RAIZEN,4.39
CE,03/01/2023,DIESEL,BRANCA,6.64
CE,17/01/2023,GASOLINA ADITIVADA,BRANCA,5.58
CE,17/01/2023,GASOLINA,RAIZEN,5.49
CE,16/01/2023,GASOLINA,SP,5.59
CE,02/01/2023,GASOLINA,IPIRANGA,5.59
CE,05/01/2023,GNV,RAIZEN,4.99
CE,03/01/2023,GASOLINA ADITIVADA,SP,5.64
CE,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.67
CE,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.72
CE,09/01/2023,DIESEL,BRANCA,6.67
CE,03/01/2023,DIESEL S10,SP,6.75
CE,11/01/2023,ETANOL,BRANCA,4.4
CE,10/01/2023,ETANOL,BRANCA,4.56
CE,25/01/2023,DIESEL,BRANCA,6.64
CE,11/01/2023,DIESEL,BRANCA,6.43
CE,25/01/2023,DIESEL S10,IPIRANGA,6.44
CE,03/01/2023,ETANOL,VIBRA ENERGIA,4.58
CE,04/01/2023,ETANOL,VIBRA ENERGIA,4.57
CE,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.75
CE,04/01/2023,ETANOL,RAIZEN,4.64
CE,11/01/2023,GNV,VIBRA ENERGIA,4.42
CE,17/01/2023,DIESEL,BRANCA,6.69
CE,23/01/2023,ETANOL,VIBRA ENERGIA,4.69
CE,23/01/2023,DIESEL S10,BRANCA,6.84
CE,16/01/2023,GNV,BRANCA,4.39
CE,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.82
CE,04/01/2023,GASOLINA,IPIRANGA,5.51
CE,25/01/2023,GASOLINA,ALESAT,5.59
CE,03/01/2023,ETANOL,IPIRANGA,4.71
CE,26/01/2023,DIESEL,BRANCA,6.43
CE,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.6
CE,17/01/2023,GNV,RAIZEN,4.39
CE,24/01/2023,GASOLINA ADITIVADA,ALESAT,5.58
CE,11/01/2023,GASOLINA,SP,5.59
CE,26/01/2023,DIESEL S10,SP,6.63
CE,09/01/2023,ETANOL,RAIZEN,4.63
CE,09/01/2023,DIESEL S10,SP,6.79
CE,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.92
CE,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.67
CE,11/01/2023,DIESEL S10,SP,7.29
CE,03/01/2023,DIESEL S10,BRANCA,6.83
CE,02/01/2023,GASOLINA,VIBRA ENERGIA,5.58
CE,26/01/2023,GASOLINA ADITIVADA,BRANCA,5.5
CE,04/01/2023,GASOLINA,SP,5.59
CE,16/01/2023,GASOLINA,VIBRA ENERGIA,5.59
CE,04/01/2023,DIESEL,IPIRANGA,6.99
CE,24/01/2023,DIESEL,BRANCA,6.79
CE,10/01/2023,ETANOL,SP,4.79
CE,24/01/2023,DIESEL S10,IPIRANGA,6.9
CE,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.63
CE,09/01/2023,GASOLINA,BRANCA,5.56
CE,19/01/2023,GASOLINA,VIBRA ENERGIA,5.57
CE,04/01/2023,GNV,RAIZEN,4.97
CE,10/01/2023,GASOLINA ADITIVADA,SP,5.64
CE,26/01/2023,GASOLINA,RAIZEN,5.6
CE,05/01/2023,ETANOL,RAIZEN,4.51
CE,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.78
CE,16/01/2023,DIESEL S10,SP,6.58
CE,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.34
CE,04/01/2023,GNV,IPIRANGA,4.97
