Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
DF,10/01/2023,GASOLINA ADITIVADA,RAIZEN,4.99
DF,10/01/2023,GASOLINA,IPIRANGA,4.99
DF,05/01/2023,ETANOL,VIBRA ENERGIA,4.11
DF,11/01/2023,DIESEL,RAIZEN,6.5
DF,11/01/2023,GASOLINA,IPIRANGA,4.77
DF,10/01/2023,ETANOL,RAIZEN,3.99
DF,10/01/2023,ETANOL,BRANCA,3.96
DF,05/01/2023,GASOLINA,RAIZEN,5.3
DF,17/01/2023,DIESEL S10,RAIZEN,6.99
DF,17/01/2023,DIESEL,BRANCA,6.36
DF,11/01/2023,ETANOL,VIBRA ENERGIA,4.14
DF,09/01/2023,DIESEL,BRANCA,6.55
DF,19/01/2023,GASOLINA,BRANCA,4.69
DF,09/01/2023,GASOLINA,IPIRANGA,5.2
DF,25/01/2023,GASOLINA,IPIRANGA,4.93
DF,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.02
DF,10/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
DF,19/01/2023,GASOLINA ADITIVADA,BRANCA,4.69
DF,23/01/2023,ETANOL,VIBRA ENERGIA,3.89
DF,05/01/2023,DIESEL,RAIZEN,6.19
DF,09/01/2023,ETANOL,IPIRANGA,4.08
DF,24/01/2023,DIESEL S10,IPIRANGA,6.59
DF,12/01/2023,ETANOL,BRANCA,3.99
DF,17/01/2023,GASOLINA ADITIVADA,BRANCA,4.8
DF,24/01/2023,DIESEL S10,RAIZEN,6.62
DF,18/01/2023,ETANOL,BRANCA,3.87
DF,04/01/2023,DIESEL S10,BRANCA,6.49
DF,11/01/2023,DIESEL S10,IPIRANGA,6.61
DF,04/01/2023,ETANOL,RAIZEN,3.99
DF,10/01/2023,ETANOL,IPIRANGA,4.09
DF,19/01/2023,ETANOL,VIBRA ENERGIA,3.99
DF,11/01/2023,ETANOL,RAIZEN,4.14
DF,05/01/2023,DIESEL,VIBRA ENERGIA,6.19
DF,24/01/2023,DIESEL S10,BRANCA,6.42
DF,10/01/2023,DIESEL,BRANCA,6.29
DF,18/01/2023,DIESEL S10,BRANCA,6.41
DF,18/01/2023,DIESEL,BRANCA,6.24
DF,11/01/2023,ETANOL,BRANCA,3.98
DF,24/01/2023,DIESEL,IPIRANGA,6.69
DF,05/01/2023,GASOLINA,VIBRA ENERGIA,5.25
DF,09/01/2023,DIESEL S10,IPIRANGA,6.95
DF,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.64
DF,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.22
DF,04/01/2023,GASOLINA,IPIRANGA,5.29
DF,25/01/2023,DIESEL S10,BRANCA,6.17
DF,19/01/2023,ETANOL,BRANCA,3.84
DF,23/01/2023,GASOLINA ADITIVADA,RAIZEN,4.79
DF,04/01/2023,DIESEL S10,IPIRANGA,6.94
DF,18/01/2023,DIESEL,IPIRANGA,6.61
DF,24/01/2023,GASOLINA,RAIZEN,4.8
DF,11/01/2023,GASOLINA,VIBRA ENERGIA,4.97
DF,19/01/2023,GASOLINA ADITIVADA,RAIZEN,5.29
DF,05/01/2023,DIESEL,IPIRANGA,6.78
DF,17/01/2023,ETANOL,BRANCA,3.91
DF,04/01/2023,GASOLINA,RAIZEN,5.25
DF,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.32
DF,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
DF,05/01/2023,DIESEL S10,RAIZEN,6.94
DF,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.2
DF,05/01/2023,ETANOL,RAIZEN,4.13
DF,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.14
DF,09/01/2023,DIESEL S10,VIBRA ENERGIA,6.69
DF,23/01/2023,GASOLINA,BRANCA,4.72
DF,05/01/2023,DIESEL S10,BRANCA,6.4
DF,17/01/2023,GASOLINA,RAIZEN,4.63
DF,23/01/2023,GASOLINA,RAIZEN,4.65
DF,05/01/2023,ETANOL,IPIRANGA,4.21
DF,17/01/2023,GASOLINA,VIBRA ENERGIA,4.89
DF,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.99
DF,16/01/2023,GASOLINA,IPIRANGA,4.99
DF,25/01/2023,GASOLINA ADITIVADA,BRANCA,4.81
DF,24/01/2023,DIESEL,RAIZEN,6.39
DF,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.01
DF,12/01/2023,GASOLINA ADITIVADA,BRANCA,5.15
DF,23/01/2023,ETANOL,BRANCA,3.91
DF,25/01/2023,GASOLINA,BRANCA,4.81
DF,10/01/2023,GASOLINA,RAIZEN,4.99
DF,23/01/2023,GASOLINA,IPIRANGA,4.81
DF,18/01/2023,GASOLINA,RAIZEN,4.99
DF,11/01/2023,GASOLINA,RAIZEN,4.86
DF,24/01/2023,ETANOL,IPIRANGA,3.93
DF,25/01/2023,DIESEL S10,IPIRANGA,6.53
DF,05/01/2023,GASOLINA,BRANCA,5.24
DF,24/01/2023,GASOLINA,BRANCA,4.61
DF,19/01/2023,DIESEL,BRANCA,6.43
DF,10/01/2023,DIESEL S10,IPIRANGA,6.93
DF,09/01/2023,ETANOL,VIBRA ENERGIA,4.05
DF,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.55
DF,17/01/2023,ETANOL,RAIZEN,4.14
DF,23/01/2023,DIESEL S10,IPIRANGA,6.59
DF,12/01/2023,GASOLINA,BRANCA,5.15
DF,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.59
DF,19/01/2023,GASOLINA,RAIZEN,4.67
DF,05/01/2023,DIESEL S10,IPIRANGA,6.78
DF,17/01/2023,DIESEL S10,IPIRANGA,6.78
DF,17/01/2023,DIESEL S10,BRANCA,6.35
DF,25/01/2023,ETANOL,BRANCA,3.77
DF,17/01/2023,ETANOL,VIBRA ENERGIA,4.15
DF,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.06
DF,24/01/2023,GASOLINA,VIBRA ENERGIA,4.75
DF,04/01/2023,ETANOL,IPIRANGA,4.2
DF,05/01/2023,GASOLINA ADITIVADA,BRANCA,5.26
DF,11/01/2023,DIESEL,IPIRANGA,6.55
DF,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.78
DF,04/01/2023,DIESEL,BRANCA,6.29
DF,18/01/2023,GASOLINA,BRANCA,4.97
DF,23/01/2023,GASOLINA ADITIVADA,BRANCA,4.72
DF,17/01/2023,GASOLINA,IPIRANGA,4.83
DF,05/01/2023,ETANOL,BRANCA,3.94
DF,23/01/2023,GASOLINA,VIBRA ENERGIA,4.78
DF,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.02
DF,09/01/2023,GASOLINA,BRANCA,5.24
DF,16/01/2023,DIESEL S10,IPIRANGA,6.95
DF,24/01/2023,ETANOL,BRANCA,3.91
DF,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.29
DF,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.62
DF,17/01/2023,DIESEL S10,VIBRA ENERGIA,6.59
DF,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.85
DF,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.17
DF,19/01/2023,DIESEL,RAIZEN,6.95
DF,17/01/2023,DIESEL,IPIRANGA,6.62
DF,18/01/2023,ETANOL,VIBRA ENERGIA,4.09
DF,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.27
DF,11/01/2023,DIESEL S10,RAIZEN,6.59
DF,23/01/2023,DIESEL S10,BRANCA,6.39
DF,18/01/2023,GASOLINA ADITIVADA,BRANCA,4.97
DF,04/01/2023,DIESEL,IPIRANGA,6.77
DF,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.39
DF,11/01/2023,DIESEL S10,BRANCA,6.42
DF,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.16
DF,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
DF,04/01/2023,GASOLINA,BRANCA,5.22
DF,12/01/2023,DIESEL S10,BRANCA,6.35
DF,05/01/2023,GASOLINA,IPIRANGA,5.28
DF,24/01/2023,ETANOL,RAIZEN,3.86
DF,11/01/2023,ETANOL,IPIRANGA,4.03
DF,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.24
DF,19/01/2023,ETANOL,RAIZEN,4.59
DF,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.81
DF,18/01/2023,GASOLINA,VIBRA ENERGIA,4.95
DF,18/01/2023,ETANOL,RAIZEN,3.83
DF,24/01/2023,GASOLINA,IPIRANGA,4.76
DF,04/01/2023,ETANOL,BRANCA,4.0
DF,10/01/2023,DIESEL S10,BRANCA,6.49
DF,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.69
DF,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.0
DF,23/01/2023,DIESEL,BRANCA,6.42
DF,19/01/2023,GASOLINA,VIBRA ENERGIA,4.99
DF,24/01/2023,ETANOL,VIBRA ENERGIA,3.78
DF,25/01/2023,GASOLINA,VIBRA ENERGIA,4.93
DF,11/01/2023,GASOLINA ADITIVADA,RAIZEN,5.22
DF,23/01/2023,ETANOL,RAIZEN,3.99
DF,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.22
DF,25/01/2023,ETANOL,IPIRANGA,3.93
DF,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.99
DF,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.69
DF,09/01/2023,ETANOL,BRANCA,3.99
DF,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.59
DF,05/01/2023,DIESEL,BRANCA,6.27
DF,11/01/2023,DIESEL,BRANCA,6.31
DF,17/01/2023,ETANOL,IPIRANGA,4.09
DF,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.88
DF,25/01/2023,DIESEL,IPIRANGA,6.49
DF,04/01/2023,GASOLINA,VIBRA ENERGIA,5.27
