Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
ES,09/01/2023,GASOLINA,BRANCA,5.09
ES,18/01/2023,GASOLINA,BRANCA,5.33
ES,24/01/2023,GASOLINA,BRANCA,5.46
ES,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.39
ES,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.51
ES,03/01/2023,DIESEL S10,RAIZEN,6.19
ES,11/01/2023,DIESEL S10,BRANCA,6.13
ES,18/01/2023,ETANOL,VIBRA ENERGIA,4.79
ES,23/01/2023,GASOLINA,VIBRA ENERGIA,4.98
ES,04/01/2023,ETANOL,VIBRA ENERGIA,4.79
ES,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.27
ES,19/01/2023,DIESEL S10,VIBRA ENERGIA,6.12
ES,03/01/2023,GASOLINA,ATLÂNTICA,4.84
ES,10/01/2023,DIESEL S10,IPIRANGA,6.26
ES,03/01/2023,DIESEL,RAIZEN,6.34
ES,12/01/2023,ETANOL,ATLÂNTICA,4.6
ES,18/01/2023,GNV,ALESAT,4.6
ES,04/01/2023,DIESEL S10,BRANCA,6.49
ES,23/01/2023,DIESEL,IPIRANGA,6.06
ES,04/01/2023,GASOLINA,ALESAT,5.27
ES,11/01/2023,DIESEL,VIBRA ENERGIA,6.29
ES,09/01/2023,GASOLINA,RAIZEN,5.15
ES,10/01/2023,GASOLINA ADITIVADA,RAIZEN,5.27
ES,03/01/2023,GNV,IPIRANGA,4.89
ES,09/01/2023,DIESEL S10,ALESAT,6.49
ES,19/01/2023,ETANOL,VIBRA ENERGIA,4.56
ES,11/01/2023,DIESEL S10,ATLÂNTICA,6.09
ES,12/01/2023,DIESEL S10,VIBRA ENERGIA,6.09
ES,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.16
ES,20/01/2023,DIESEL S10,VIBRA ENERGIA,6.66
ES,18/01/2023,DIESEL S10,BRANCA,6.06
ES,03/01/2023,DIESEL,ALESAT,6.09
ES,11/01/2023,GNV,VIBRA ENERGIA,4.79
ES,18/01/2023,GASOLINA ADITIVADA,BRANCA,5.37
ES,02/01/2023,ETANOL,VIBRA ENERGIA,4.46
ES,10/01/2023,GNV,VIBRA ENERGIA,4.99
ES,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.07
ES,26/01/2023,GASOLINA,IPIRANGA,5.03
ES,23/01/2023,ETANOL,ATLÂNTICA,4.38
ES,02/01/2023,GASOLINA,ATLÂNTICA,4.89
ES,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.21
ES,04/01/2023,ETANOL,ALESAT,4.49
ES,04/01/2023,GASOLINA,IPIRANGA,5.49
ES,02/01/2023,ETANOL,ATLÂNTICA,4.25
ES,26/01/2023,DIESEL,IPIRANGA,5.84
ES,23/01/2023,ETANOL,BRANCA,4.19
ES,23/01/2023,GASOLINA,RAIZEN,4.98
ES,03/01/2023,ETANOL,BRANCA,4.22
ES,09/01/2023,DIESEL S10,IPIRANGA,6.22
ES,02/01/2023,GASOLINA ADITIVADA,ALESAT,5.29
ES,26/01/2023,DIESEL,VIBRA ENERGIA,5.99
ES,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.54
ES,10/01/2023,GASOLINA ADITIVADA,BRANCA,4.94
ES,16/01/2023,GASOLINA,ALESAT,5.25
ES,18/01/2023,DIESEL,RAIZEN,6.09
ES,18/01/2023,ETANOL,BRANCA,4.28
ES,26/01/2023,ETANOL,IPIRANGA,4.29
ES,09/01/2023,GASOLINA ADITIVADA,RAIZEN,5.38
ES,12/01/2023,ETANOL,ALESAT,4.19
ES,10/01/2023,GNV,IPIRANGA,4.79
ES,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.23
ES,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.22
ES,16/01/2023,GASOLINA,VIBRA ENERGIA,4.98
ES,25/01/2023,GASOLINA,RAIZEN,5.27
ES,11/01/2023,ETANOL,IPIRANGA,4.66
ES,10/01/2023,DIESEL,ATLÂNTICA,5.89
ES,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.53
ES,26/01/2023,ETANOL,BRANCA,4.28
ES,02/01/2023,ETANOL,ALESAT,4.38
ES,03/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,4.85
ES,10/01/2023,DIESEL,IPIRANGA,6.21
ES,09/01/2023,ETANOL,ALESAT,4.49
ES,11/01/2023,GASOLINA,IPIRANGA,5.33
ES,25/01/2023,GNV,BRANCA,4.93
ES,16/01/2023,DIESEL,VIBRA ENERGIA,6.31
ES,12/01/2023,DIESEL S10,BRANCA,6.05
ES,19/01/2023,DIESEL S10,IPIRANGA,5.94
ES,09/01/2023,DIESEL S10,RAIZEN,6.14
ES,09/01/2023,DIESEL,RAIZEN,6.34
ES,03/01/2023,GASOLINA ADITIVADA,ALESAT,5.11
ES,11/01/2023,DIESEL,IPIRANGA,5.99
ES,23/01/2023,ETANOL,IPIRANGA,4.33
ES,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.39
ES,10/01/2023,ETANOL,RAIZEN,4.31
ES,12/01/2023,DIESEL S10,ALESAT,6.49
ES,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.24
ES,11/01/2023,GASOLINA ADITIVADA,ALESAT,5.69
ES,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.38
ES,25/01/2023,ETANOL,RAIZEN,4.82
ES,12/01/2023,GASOLINA,VIBRA ENERGIA,5.52
ES,19/01/2023,DIESEL,IPIRANGA,5.84
ES,09/01/2023,DIESEL,IPIRANGA,6.13
ES,04/01/2023,DIESEL S10,RAIZEN,6.09
ES,23/01/2023,ETANOL,VIBRA ENERGIA,4.4
ES,19/01/2023,DIESEL,BRANCA,6.15
ES,02/01/2023,GASOLINA,IPIRANGA,5.06
ES,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.72
ES,23/01/2023,DIESEL S10,IPIRANGA,6.15
ES,02/01/2023,DIESEL S10,IPIRANGA,6.19
ES,10/01/2023,ETANOL,VIBRA ENERGIA,4.54
ES,23/01/2023,DIESEL,VIBRA ENERGIA,6.62
ES,23/01/2023,GNV,VIBRA ENERGIA,4.84
ES,11/01/2023,DIESEL S10,IPIRANGA,6.09
ES,19/01/2023,GNV,VIBRA ENERGIA,4.79
ES,19/01/2023,GASOLINA,IPIRANGA,4.78
ES,24/01/2023,ETANOL,BRANCA,4.39
ES,12/01/2023,DIESEL S10,RAIZEN,5.99
ES,09/01/2023,DIESEL,VIBRA ENERGIA,7.15
ES,26/01/2023,ETANOL,VIBRA ENERGIA,4.59
ES,12/01/2023,GASOLINA ADITIVADA,BRANCA,5.27
ES,16/01/2023,GNV,IPIRANGA,4.84
ES,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.29
ES,25/01/2023,GASOLINA,ATLÂNTICA,4.95
ES,12/01/2023,ETANOL,BRANCA,4.29
ES,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.19
ES,18/01/2023,GASOLINA,ALESAT,4.89
ES,03/01/2023,GNV,BRANCA,4.89
ES,12/01/2023,GASOLINA,ALESAT,4.89
ES,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.4
ES,04/01/2023,ETANOL,BRANCA,4.37
ES,03/01/2023,DIESEL S10,ATLÂNTICA,5.99
ES,16/01/2023,DIESEL,IPIRANGA,6.06
ES,26/01/2023,GASOLINA ADITIVADA,RAIZEN,5.09
ES,23/01/2023,DIESEL S10,ALESAT,6.49
ES,12/01/2023,DIESEL,IPIRANGA,6.54
ES,16/01/2023,GNV,RAIZEN,4.79
ES,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.22
ES,12/01/2023,DIESEL,BRANCA,6.59
ES,25/01/2023,GNV,VIBRA ENERGIA,4.99
ES,11/01/2023,DIESEL S10,RAIZEN,6.22
ES,25/01/2023,ETANOL,BRANCA,4.17
ES,16/01/2023,DIESEL S10,IPIRANGA,6.17
ES,16/01/2023,DIESEL,BRANCA,5.92
ES,26/01/2023,DIESEL S10,IPIRANGA,5.94
ES,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.21
ES,18/01/2023,GASOLINA,VIBRA ENERGIA,5.34
ES,16/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.06
ES,20/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.69
ES,12/01/2023,GASOLINA,IPIRANGA,5.07
ES,16/01/2023,GASOLINA,RAIZEN,5.08
ES,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.44
ES,04/01/2023,GNV,VIBRA ENERGIA,4.99
ES,10/01/2023,DIESEL,VIBRA ENERGIA,5.99
ES,18/01/2023,DIESEL S10,ATLÂNTICA,6.73
ES,10/01/2023,GASOLINA,IPIRANGA,5.14
ES,04/01/2023,GASOLINA,VIBRA ENERGIA,5.44
ES,09/01/2023,GASOLINA,IPIRANGA,5.03
ES,11/01/2023,GASOLINA ADITIVADA,ATLÂNTICA,5.49
ES,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.09
ES,18/01/2023,DIESEL S10,IPIRANGA,5.99
ES,23/01/2023,DIESEL S10,ATLÂNTICA,6.46
ES,19/01/2023,DIESEL S10,RAIZEN,6.14
ES,16/01/2023,DIESEL S10,RAIZEN,6.13
ES,23/01/2023,DIESEL S10,RAIZEN,6.06
ES,03/01/2023,DIESEL S10,ALESAT,6.34
ES,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.43
ES,02/01/2023,GASOLINA,VIBRA ENERGIA,5.09
ES,18/01/2023,DIESEL S10,RAIZEN,6.32
ES,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.6
ES,02/01/2023,DIESEL S10,RAIZEN,6.09
ES,11/01/2023,ETANOL,VIBRA ENERGIA,4.67
ES,19/01/2023,GASOLINA,BRANCA,4.85
ES,25/01/2023,DIESEL,ATLÂNTICA,5.88
ES,04/01/2023,GNV,RAIZEN,4.79
ES,12/01/2023,GASOLINA ADITIVADA,ALESAT,4.99
ES,19/01/2023,GASOLINA,RAIZEN,4.95
ES,16/01/2023,ETANOL,VIBRA ENERGIA,4.59
ES,03/01/2023,DIESEL S10,BRANCA,6.05
ES,04/01/2023,GASOLINA,BRANCA,5.28
ES,10/01/2023,GASOLINA,ATLÂNTICA,4.89
ES,11/01/2023,GASOLINA,VIBRA ENERGIA,5.04
ES,26/01/2023,ETANOL,RAIZEN,4.59
ES,24/01/2023,DIESEL S10,ATLÂNTICA,6.03
ES,03/01/2023,GNV,ALESAT,4.72
ES,24/01/2023,GASOLINA,RAIZEN,5.37
ES,02/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
ES,02/01/2023,ETANOL,RAIZEN,4.14
ES,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.13
ES,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.66
ES,03/01/2023,ETANOL,VIBRA ENERGIA,4.57
ES,02/01/2023,GASOLINA,RAIZEN,4.94
ES,10/01/2023,DIESEL,RAIZEN,5.99
ES,24/01/2023,GASOLINA,VIBRA ENERGIA,5.52
ES,04/01/2023,ETANOL,ATLÂNTICA,4.39
ES,03/01/2023,ETANOL,ALESAT,4.32
ES,18/01/2023,ETANOL,ATLÂNTICA,4.6
ES,24/01/2023,DIESEL,ATLÂNTICA,5.87
ES,03/01/2023,GASOLINA ADITIVADA,RAIZEN,5.4
ES,10/01/2023,ETANOL,ATLÂNTICA,4.32
ES,19/01/2023,GNV,BRANCA,4.79
ES,03/01/2023,GNV,VIBRA ENERGIA,4.89
ES,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.07
ES,23/01/2023,GASOLINA,IPIRANGA,4.96
ES,23/01/2023,GNV,IPIRANGA,4.79
ES,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.54
ES,25/01/2023,GNV,IPIRANGA,4.89
ES,11/01/2023,ETANOL,BRANCA,4.27
ES,20/01/2023,GNV,VIBRA ENERGIA,5.27
ES,18/01/2023,GNV,ATLÂNTICA,5.27
ES,25/01/2023,ETANOL,IPIRANGA,4.28
ES,02/01/2023,GASOLINA,ALESAT,4.98
ES,11/01/2023,GASOLINA,ATLÂNTICA,5.49
ES,16/01/2023,ETANOL,ALESAT,4.49
ES,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.22
ES,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.44
ES,20/01/2023,GASOLINA,VIBRA ENERGIA,5.49
ES,04/01/2023,GASOLINA ADITIVADA,ALESAT,5.4
ES,03/01/2023,ETANOL,ATLÂNTICA,3.89
ES,16/01/2023,GNV,BRANCA,4.89
ES,23/01/2023,DIESEL,BRANCA,6.09
ES,03/01/2023,DIESEL,BRANCA,5.92
ES,11/01/2023,GASOLINA,BRANCA,5.06
ES,26/01/2023,GASOLINA,BRANCA,5.07
ES,20/01/2023,ETANOL,VIBRA ENERGIA,4.99
ES,26/01/2023,GASOLINA,VIBRA ENERGIA,5.24
ES,09/01/2023,GASOLINA,ALESAT,5.25
ES,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.86
ES,25/01/2023,DIESEL,RAIZEN,5.79
ES,18/01/2023,DIESEL,IPIRANGA,5.92
ES,23/01/2023,DIESEL,RAIZEN,6.21
ES,09/01/2023,ETANOL,VIBRA ENERGIA,4.61
ES,10/01/2023,GASOLINA,BRANCA,5.09
ES,18/01/2023,DIESEL,BRANCA,5.89
ES,04/01/2023,GASOLINA,RAIZEN,5.0
ES,09/01/2023,ETANOL,IPIRANGA,4.36
ES,11/01/2023,GNV,BRANCA,4.79
ES,18/01/2023,DIESEL S10,ALESAT,6.34
ES,18/01/2023,GNV,BRANCA,4.89
ES,03/01/2023,DIESEL S10,IPIRANGA,6.21
ES,10/01/2023,GASOLINA,VIBRA ENERGIA,5.07
ES,03/01/2023,DIESEL,IPIRANGA,6.01
ES,03/01/2023,GASOLINA,IPIRANGA,4.96
ES,09/01/2023,DIESEL S10,VIBRA ENERGIA,6.36
ES,11/01/2023,GASOLINA,ALESAT,5.47
ES,11/01/2023,DIESEL,RAIZEN,6.12
ES,12/01/2023,DIESEL,RAIZEN,6.04
ES,04/01/2023,DIESEL,IPIRANGA,6.19
ES,03/01/2023,DIESEL,ATLÂNTICA,5.89
