Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
GO,23/01/2023,ETANOL,BRANCA,3.72
GO,23/01/2023,DIESEL S10,BRANCA,6.42
GO,17/01/2023,DIESEL S10,IPIRANGA,6.44
GO,18/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.16
GO,16/01/2023,GASOLINA ADITIVADA,RAIZEN,4.97
GO,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.49
GO,17/01/2023,DIESEL,IPIRANGA,6.24
GO,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.76
GO,16/01/2023,DIESEL S10,RAIZEN,6.58
GO,03/01/2023,DIESEL,BRANCA,6.23
GO,12/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,4.99
GO,19/01/2023,GASOLINA ADITIVADA,ALESAT,4.65
GO,11/01/2023,DIESEL S10,BRANCA,6.33
GO,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.07
GO,19/01/2023,GASOLINA,RAIZEN,4.68
GO,05/01/2023,DIESEL S10,ALESAT,6.1
GO,10/01/2023,DIESEL S10,RAIZEN,6.46
GO,12/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.85
GO,18/01/2023,GASOLINA ADITIVADA,RAIZEN,4.97
GO,06/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
GO,19/01/2023,ETANOL,RAIZEN,3.51
GO,16/01/2023,DIESEL,VIBRA ENERGIA,6.5
GO,17/01/2023,ETANOL,RAIZEN,3.8
GO,04/01/2023,ETANOL,RAIZEN,4.19
GO,12/01/2023,DIESEL S10,IPIRANGA,6.54
GO,19/01/2023,DIESEL S10,RIO BRANCO,6.09
GO,26/01/2023,DIESEL,RAIZEN,6.02
GO,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.05
GO,02/01/2023,ETANOL,BRANCA,4.62
GO,11/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,5.15
GO,03/01/2023,GASOLINA,VIBRA ENERGIA,5.29
GO,04/01/2023,GASOLINA,VIBRA ENERGIA,4.97
GO,12/01/2023,GASOLINA ADITIVADA,RAIZEN,5.17
GO,17/01/2023,DIESEL,VIBRA ENERGIA,6.47
GO,11/01/2023,ETANOL,VIBRA ENERGIA,4.04
GO,18/01/2023,DIESEL S10,BRANCA,6.28
GO,18/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.87
GO,16/01/2023,DIESEL S10,IPIRANGA,6.52
GO,11/01/2023,GASOLINA,IPIRANGA,5.11
GO,09/01/2023,ETANOL,BRANCA,3.92
GO,26/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.65
GO,05/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.33
GO,19/01/2023,GASOLINA ADITIVADA,RAIZEN,4.98
GO,25/01/2023,ETANOL,IPIRANGA,3.64
