Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
CO,GO,MINEIROS,POSTO COQUEIROS LTDA,12.295.090/0001-74,AVENIDA INO REZENDE,S/N,QUADRA04                  LOTE  01 A 08 E 19 E 20,COHACOL TRES,75830-002,DIESEL,01/05/2023,5.69,,R$ / litro,BRANCA,2023-11-21
CO,GO,MINEIROS,POSTO COQUEIROS LTDA,12.295.090/0001-74,AVENIDA INO REZENDE,S/N,QUADRA04                  LOTE  01 A 08 E 19 E 20,COHACOL TRES,75830-002,GASOLINA ADITIVADA,01/05/2023,5.59,,R$ / litro,BRANCA,2023-11-21
CO,GO,AGUAS LINDAS DE GOIAS,AUTO POSTO GUAIRA EIRELI,12.560.575/0001-48,RODOVIA BR 070 QUADRA 28,S/N,LOTE  16/17,JARDIM GUAIRA II,72910-000,ETANOL,02/05/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,AGUAS LINDAS DE GOIAS,AUTO POSTO GUAIRA EIRELI,12.560.575/0001-48,RODOVIA BR 070 QUADRA 28,S/N,LOTE  16/17,JARDIM GUAIRA II,72910-000,DIESEL S10,02/05/2023,5.89,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,AGUAS LINDAS DE GOIAS,AUTO POSTO GUAIRA EIRELI,12.560.575/0001-48,RODOVIA BR 070 QUADRA 28,S/N,LOTE  16/17,JARDIM GUAIRA II,72910-000,GASOLINA,02/05/2023,5.69,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,JATAI,AUTO POSTO RV LTDA,12.689.130/0001-62,RUA PROFESSOR  SAMUEL GRAHAN,S/N,"QUADRA 12 LOTE 03, 04 E 05",SETOR PLANALTO,75805-109,ETANOL,02/05/2023,4.39,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,JATAI,AUTO POSTO RV LTDA,12.689.130/0001-62,RUA PROFESSOR  SAMUEL GRAHAN,S/N,"QUADRA 12 LOTE 03, 04 E 05",SETOR PLANALTO,75805-109,DIESEL S10,02/05/2023,5.69,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,JATAI,AUTO POSTO RV LTDA,12.689.130/0001-62,RUA PROFESSOR  SAMUEL GRAHAN,S/N,"QUADRA 12 LOTE 03, 04 E 05",SETOR PLANALTO,75805-109,GASOLINA ADITIVADA,02/05/2023,5.69,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,JATAI,AUTO POSTO RV LTDA,12.689.130/0001-62,RUA PROFESSOR  SAMUEL GRAHAN,S/N,"QUADRA 12 LOTE 03, 04 E 05",SETOR PLANALTO,75805-109,GASOLINA,02/05/2023,5.59,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,FORMOSA,PARANA DO MEIO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,13.140.612/0001-21,AVENIDA CALIFORNIA,150,,CENTRO,73801-160,ETANOL,02/05/2023,4.19,,R$ / litro,BRANCA,2023-11-21
CO,GO,FORMOSA,PARANA DO MEIO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,13.140.612/0001-21,AVENIDA CALIFORNIA,150,,CENTRO,73801-160,GASOLINA ADITIVADA,02/05/2023,5.79,,R$ / litro,BRANCA,2023-11-21
CO,GO,FORMOSA,PARANA DO MEIO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,13.140.612/0001-21,AVENIDA CALIFORNIA,150,,CENTRO,73801-160,GASOLINA,02/05/2023,5.69,,R$ / litro,BRANCA,2023-11-21
CO,GO,GOIANIA,POSTO ZE CARIOCA II LTDA,05.568.003/0001-40,AVENIDA ANHANGUERA,10475,QUADRA02                  LOTE  14E,RODOVIARIO,74430-030,ETANOL,05/05/2023,4.19,,R$ / litro,RAIZEN,2023-11-21
CO,GO,GOIANIA,POSTO ZE CARIOCA II LTDA,05.568.003/0001-40,AVENIDA ANHANGUERA,10475,QUADRA02                  LOTE  14E,RODOVIARIO,74430-030,DIESEL,05/05/2023,5.69,,R$ / litro,RAIZEN,2023-11-21
CO,GO,GOIANIA,POSTO ZE CARIOCA II LTDA,05.568.003/0001-40,AVENIDA ANHANGUERA,10475,QUADRA02                  LOTE  14E,RODOVIARIO,74430-030,GASOLINA ADITIVADA,05/05/2023,5.69,,R$ / litro,RAIZEN,2023-11-21
CO,GO,GOIANIA,POSTO ZE CARIOCA II LTDA,05.568.003/0001-40,AVENIDA ANHANGUERA,10475,QUADRA02                  LOTE  14E,RODOVIARIO,74430-030,GASOLINA,05/05/2023,5.69,,R$ / litro,RAIZEN,2023-11-21
CO,GO,AGUAS LINDAS DE GOIAS,AUTO POSTO DF 180 LTDA,07.347.238/0002-18,QUADRA 08,S/N,"LOTES 16, 17 E 18",JARDIM QUERENCIA,72910-001,ETANOL,02/05/2023,3.85,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,AGUAS LINDAS DE GOIAS,AUTO POSTO DF 180 LTDA,07.347.238/0002-18,QUADRA 08,S/N,"LOTES 16, 17 E 18",JARDIM QUERENCIA,72910-001,GASOLINA ADITIVADA,02/05/2023,5.39,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,AGUAS LINDAS DE GOIAS,AUTO POSTO DF 180 LTDA,07.347.238/0002-18,QUADRA 08,S/N,"LOTES 16, 17 E 18",JARDIM QUERENCIA,72910-001,GASOLINA,02/05/2023,5.39,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,VALPARAISO DE GOIAS,GANVAL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,14.116.654/0001-90,QUADRA 117 LOTE,2,,JARDIM CEU AZUL,72871-001,ETANOL,02/05/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,VALPARAISO DE GOIAS,GANVAL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,14.116.654/0001-90,QUADRA 117 LOTE,2,,JARDIM CEU AZUL,72871-001,DIESEL,02/05/2023,5.59,,R$ / litro,IPIRANGA,2023-11-21
CO,GO,VALPARAISO DE GOIAS,GANVAL COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,14.116.654/0001-90,QUADRA 117 LOTE,2,,JARDIM CEU AZUL,72871-001,GASOLINA,02/05/2023,5.59,,R$ / litro,IPIRANGA,2023-11-21
