Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
MA,25/01/2023,DIESEL S10,ALESAT,6.29
MA,03/01/2023,GASOLINA,BRANCA,4.83
MA,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.58
MA,25/01/2023,GASOLINA,SABBÁ,4.87
MA,03/01/2023,DIESEL S10,BRANCA,6.46
MA,04/01/2023,GASOLINA,ALESAT,4.7
MA,04/01/2023,GASOLINA,BRANCA,5.48
MA,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.1
MA,11/01/2023,GASOLINA,IPIRANGA,4.9
MA,16/01/2023,ETANOL,BRANCA,4.35
MA,03/01/2023,GASOLINA,SABBÁ,4.84
MA,11/01/2023,ETANOL,VIBRA ENERGIA,4.46
MA,05/01/2023,DIESEL S10,ALESAT,6.89
MA,04/01/2023,ETANOL,SABBÁ,4.45
MA,17/01/2023,GASOLINA ADITIVADA,BRANCA,4.91
MA,04/01/2023,GASOLINA,IPIRANGA,5.14
MA,04/01/2023,GASOLINA ADITIVADA,SABBÁ,5.01
MA,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.69
MA,19/01/2023,GASOLINA,BRANCA,5.11
MA,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.49
MA,10/01/2023,DIESEL,SP,6.25
MA,25/01/2023,ETANOL,BRANCA,4.47
MA,03/01/2023,ETANOL,VIBRA ENERGIA,4.49
MA,17/01/2023,GASOLINA,BRANCA,4.85
MA,19/01/2023,DIESEL S10,BRANCA,6.97
MA,10/01/2023,ETANOL,IPIRANGA,4.53
MA,19/01/2023,DIESEL S10,SABBÁ,6.39
MA,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.0
MA,25/01/2023,GASOLINA ADITIVADA,ALESAT,4.94
MA,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.28
MA,17/01/2023,DIESEL S10,SP,6.19
MA,19/01/2023,DIESEL,IPIRANGA,6.16
MA,25/01/2023,GASOLINA,VIBRA ENERGIA,5.11
MA,26/01/2023,DIESEL,IPIRANGA,5.95
MA,18/01/2023,ETANOL,BRANCA,4.79
MA,25/01/2023,DIESEL,BRANCA,5.99
MA,24/01/2023,DIESEL S10,BRANCA,6.18
MA,23/01/2023,ETANOL,VIBRA ENERGIA,4.28
MA,24/01/2023,GASOLINA,ALESAT,4.48
MA,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.74
MA,10/01/2023,DIESEL S10,IPIRANGA,6.8
MA,10/01/2023,GASOLINA,IPIRANGA,4.9
MA,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.98
MA,17/01/2023,ETANOL,SP,4.59
MA,11/01/2023,DIESEL S10,SABBÁ,6.4
MA,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.18
MA,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
MA,03/01/2023,ETANOL,IPIRANGA,4.61
MA,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.22
MA,17/01/2023,ETANOL,SABBÁ,4.4
MA,18/01/2023,DIESEL S10,SABBÁ,6.29
MA,04/01/2023,DIESEL,VIBRA ENERGIA,6.57
MA,24/01/2023,DIESEL,VIBRA ENERGIA,6.42
MA,24/01/2023,ETANOL,RAIZEN,4.49
MA,19/01/2023,ETANOL,IPIRANGA,4.56
MA,26/01/2023,GASOLINA,IPIRANGA,4.75
MA,10/01/2023,GASOLINA,VIBRA ENERGIA,4.87
MA,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.01
MA,23/01/2023,DIESEL S10,IPIRANGA,6.09
