Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
MG,09/01/2023,DIESEL S10,ALESAT,6.36
MG,13/01/2023,ETANOL,RAIZEN,4.13
MG,16/01/2023,ETANOL,RAIZEN,3.97
MG,24/01/2023,DIESEL,IPIRANGA,6.12
MG,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.0
MG,23/01/2023,DIESEL,ALESAT,6.18
MG,09/01/2023,DIESEL,ALESAT,6.22
MG,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.14
MG,11/01/2023,ETANOL,RAIZEN,3.83
MG,17/01/2023,GASOLINA,ALESAT,4.93
MG,20/01/2023,ETANOL,VIBRA ENERGIA,3.99
MG,02/01/2023,GASOLINA,BRANCA,5.16
MG,03/01/2023,DIESEL S10,CIAPETRO,6.47
MG,10/01/2023,GNV,VIBRA ENERGIA,5.04
MG,13/01/2023,DIESEL,IPIRANGA,6.39
MG,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.01
MG,16/01/2023,DIESEL S10,IPIRANGA,6.32
MG,16/01/2023,DIESEL,RIO BRANCO,6.18
MG,05/01/2023,ETANOL,VIBRA ENERGIA,3.94
MG,03/01/2023,GASOLINA,TOTALENERGIES,4.97
MG,11/01/2023,GASOLINA,VIBRA ENERGIA,4.93
MG,12/01/2023,DIESEL,RAIZEN,6.24
MG,02/01/2023,DIESEL,BRANCA,6.11
MG,11/01/2023,GNV,VIBRA ENERGIA,5.19
MG,24/01/2023,DIESEL,VIBRA ENERGIA,6.2
MG,12/01/2023,DIESEL,CIAPETRO,5.84
MG,24/01/2023,GNV,RAIZEN,4.85
MG,26/01/2023,DIESEL S10,BRANCA,6.17
MG,25/01/2023,GASOLINA ADITIVADA,BRANCA,4.98
MG,26/01/2023,GASOLINA ADITIVADA,RAIZEN,5.44
MG,24/01/2023,DIESEL,RAIZEN,6.1
MG,25/01/2023,GASOLINA,CIAPETRO,4.68
MG,16/01/2023,GASOLINA,VIBRA ENERGIA,4.92
MG,19/01/2023,DIESEL,VIBRA ENERGIA,6.13
MG,09/01/2023,GNV,VIBRA ENERGIA,4.94
MG,17/01/2023,DIESEL S10,IPIRANGA,6.25
MG,18/01/2023,DIESEL,VIBRA ENERGIA,6.13
MG,16/01/2023,DIESEL,TOTALENERGIES,6.25
MG,12/01/2023,GASOLINA,BRANCA,4.85
MG,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.12
MG,20/01/2023,ETANOL,IPIRANGA,3.92
MG,24/01/2023,GNV,VIBRA ENERGIA,5.04
MG,25/01/2023,DIESEL S10,TOTALENERGIES,6.2
MG,10/01/2023,DIESEL,VIBRA ENERGIA,6.36
MG,11/01/2023,DIESEL,IPIRANGA,6.46
MG,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.13
MG,24/01/2023,ETANOL,IPIRANGA,3.76
MG,23/01/2023,DIESEL,IPIRANGA,6.25
MG,11/01/2023,GASOLINA,ALESAT,5.02
MG,13/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.15
MG,04/01/2023,DIESEL S10,IPIRANGA,6.46
MG,12/01/2023,DIESEL S10,CIAPETRO,5.84
MG,13/01/2023,GASOLINA,RAIZEN,5.05
