Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,MG,JUIZ DE FORA,GRAMA COMERCIO DE COMBUSTIVEIS EIRELI,13.369.817/0001-83,AVENIDA JUIZ DE FORA,3700,,GRAMA,36048-001,ETANOL,02/05/2023,4.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,JUIZ DE FORA,GRAMA COMERCIO DE COMBUSTIVEIS EIRELI,13.369.817/0001-83,AVENIDA JUIZ DE FORA,3700,,GRAMA,36048-001,DIESEL S10,02/05/2023,5.68,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,JUIZ DE FORA,GRAMA COMERCIO DE COMBUSTIVEIS EIRELI,13.369.817/0001-83,AVENIDA JUIZ DE FORA,3700,,GRAMA,36048-001,DIESEL,02/05/2023,5.58,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,JUIZ DE FORA,GRAMA COMERCIO DE COMBUSTIVEIS EIRELI,13.369.817/0001-83,AVENIDA JUIZ DE FORA,3700,,GRAMA,36048-001,GASOLINA ADITIVADA,02/05/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,JUIZ DE FORA,GRAMA COMERCIO DE COMBUSTIVEIS EIRELI,13.369.817/0001-83,AVENIDA JUIZ DE FORA,3700,,GRAMA,36048-001,GASOLINA,02/05/2023,5.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,MG,VICOSA,POSTO AVENIDA CASTELO BRANCO LTDA. - ME,13.475.285/0001-69,AV. PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,1020,,CENTRO,36570-000,ETANOL,01/05/2023,4.14,,R$ / litro,BRANCA,2023-11-21
SE,MG,VICOSA,POSTO AVENIDA CASTELO BRANCO LTDA. - ME,13.475.285/0001-69,AV. PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,1020,,CENTRO,36570-000,GASOLINA,01/05/2023,5.55,,R$ / litro,BRANCA,2023-11-21
SE,MG,PARACATU,BRAZ-PETRO COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,13.210.937/0001-33,RUA JOSE RABELO DE SOUZA,537,,ALTO DO CORREGO,38600-001,ETANOL,04/05/2023,4,,R$ / litro,BRANCA,2023-11-21
SE,MG,PARACATU,BRAZ-PETRO COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,13.210.937/0001-33,RUA JOSE RABELO DE SOUZA,537,,ALTO DO CORREGO,38600-001,GASOLINA ADITIVADA,04/05/2023,5.45,,R$ / litro,BRANCA,2023-11-21
SE,MG,PARACATU,BRAZ-PETRO COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,13.210.937/0001-33,RUA JOSE RABELO DE SOUZA,537,,ALTO DO CORREGO,38600-001,GASOLINA,04/05/2023,5.45,,R$ / litro,BRANCA,2023-11-21
