Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
MS,12/01/2023,ETANOL,IPIRANGA,3.87
MS,11/01/2023,GASOLINA,BRANCA,4.99
MS,02/01/2023,ETANOL,IPIRANGA,4.14
MS,26/01/2023,DIESEL,BRANCA,6.13
MS,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.99
MS,09/01/2023,DIESEL S10,TAURUS,6.52
MS,26/01/2023,DIESEL,RAIZEN,6.45
MS,26/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.16
MS,03/01/2023,ETANOL,RAIZEN,3.78
MS,03/01/2023,DIESEL,BRANCA,6.12
MS,02/01/2023,GASOLINA,TAURUS,5.19
MS,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
MS,03/01/2023,ETANOL,VIBRA ENERGIA,3.92
MS,25/01/2023,ETANOL,VIBRA ENERGIA,3.69
MS,03/01/2023,DIESEL,RAIZEN,6.29
MS,16/01/2023,DIESEL,TAURUS,6.1
MS,09/01/2023,ETANOL,VIBRA ENERGIA,4.08
MS,05/01/2023,DIESEL S10,IPIRANGA,6.59
MS,17/01/2023,DIESEL S10,IPIRANGA,6.66
MS,23/01/2023,DIESEL,VIBRA ENERGIA,6.8
MS,05/01/2023,GASOLINA,VIBRA ENERGIA,4.8
MS,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.49
MS,17/01/2023,DIESEL,RAIZEN,7.14
MS,25/01/2023,DIESEL,VIBRA ENERGIA,6.49
MS,12/01/2023,GASOLINA ADITIVADA,BRANCA,4.66
MS,18/01/2023,DIESEL,RAIZEN,6.69
MS,18/01/2023,DIESEL,BRANCA,6.52
MS,09/01/2023,DIESEL S10,VIBRA ENERGIA,7.09
MS,16/01/2023,DIESEL S10,BRANCA,6.17
MS,24/01/2023,DIESEL S10,BRANCA,6.52
MS,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.18
MS,26/01/2023,GASOLINA,TAURUS,4.89
MS,05/01/2023,DIESEL,IPIRANGA,6.49
MS,16/01/2023,ETANOL,IPIRANGA,3.94
MS,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.4
MS,11/01/2023,DIESEL,BRANCA,6.68
MS,11/01/2023,ETANOL,TAURUS,3.99
MS,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.86
MS,17/01/2023,ETANOL,IPIRANGA,3.97
MS,26/01/2023,DIESEL S10,BRANCA,6.31
MS,09/01/2023,DIESEL,IPIRANGA,6.59
MS,23/01/2023,GASOLINA ADITIVADA,TAURUS,5.14
MS,12/01/2023,DIESEL S10,SIMARELLI,6.45
MS,09/01/2023,DIESEL S10,IPIRANGA,6.76
MS,16/01/2023,GASOLINA,VIBRA ENERGIA,4.83
MS,09/01/2023,GASOLINA ADITIVADA,TAURUS,4.92
MS,23/01/2023,DIESEL,TAURUS,6.4
MS,16/01/2023,GASOLINA,TAURUS,4.7
MS,03/01/2023,GNV,VIBRA ENERGIA,4.99
MS,09/01/2023,DIESEL,BRANCA,6.0
