Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
CO,MS,CAMPO GRANDE,AUTO POSTO AERO RANCHO LTDA,03.866.429/0003-16,AVENIDA CALOGERAS,1673,,CENTRO,79002-000,ETANOL,21/02/2023,3.69,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CAMPO GRANDE,AUTO POSTO AERO RANCHO LTDA,03.866.429/0003-16,AVENIDA CALOGERAS,1673,,CENTRO,79002-000,DIESEL S10,21/02/2023,6.29,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CAMPO GRANDE,AUTO POSTO AERO RANCHO LTDA,03.866.429/0003-16,AVENIDA CALOGERAS,1673,,CENTRO,79002-000,GASOLINA ADITIVADA,21/02/2023,5.09,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CAMPO GRANDE,AUTO POSTO AERO RANCHO LTDA,03.866.429/0003-16,AVENIDA CALOGERAS,1673,,CENTRO,79002-000,GASOLINA,21/02/2023,4.79,,R$ / litro,IPIRANGA,2023-11-21
CO,MS,CORUMBA,COMERCIAL MIGUEIS DE DERIVADOS DE PETROLEO LTDA,26.824.433/0007-40,RUA COLOMBO,1019,,CENTRO,79300-080,GASOLINA,21/02/2023,5.68,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,MS,CAMPO GRANDE,ALBATROZ COMERCIAL DE PETROLEO LTDA,05.383.103/0001-00,AVENIDA COSTA E SILVA,831,SALAO 01,VILA PROGRESSO,79050-010,ETANOL,21/02/2023,3.69,,R$ / litro,TAURUS,2023-11-21
CO,MS,CAMPO GRANDE,ALBATROZ COMERCIAL DE PETROLEO LTDA,05.383.103/0001-00,AVENIDA COSTA E SILVA,831,SALAO 01,VILA PROGRESSO,79050-010,DIESEL S10,21/02/2023,6.39,,R$ / litro,TAURUS,2023-11-21
CO,MS,CAMPO GRANDE,ALBATROZ COMERCIAL DE PETROLEO LTDA,05.383.103/0001-00,AVENIDA COSTA E SILVA,831,SALAO 01,VILA PROGRESSO,79050-010,DIESEL,21/02/2023,6.29,,R$ / litro,TAURUS,2023-11-21
CO,MS,CAMPO GRANDE,ALBATROZ COMERCIAL DE PETROLEO LTDA,05.383.103/0001-00,AVENIDA COSTA E SILVA,831,SALAO 01,VILA PROGRESSO,79050-010,GASOLINA,21/02/2023,4.79,,R$ / litro,TAURUS,2023-11-21
CO,MS,CAMPO GRANDE,ALBATROZ COMERCIAL DE PETROLEO LTDA,05.383.103/0001-00,AVENIDA COSTA E SILVA,831,SALAO 01,VILA PROGRESSO,79050-010,GNV,21/02/2023,4.69,,R$ / m³,TAURUS,2023-11-21
CO,MS,NOVA ANDRADINA,NASCIMENTO E OLIVEIRA COMÉRCIO DE COMBUSTIVEIS E DERIVADOS LTDA,16.640.691/0001-28,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,2201,,CENTRO,79750-000,ETANOL,22/02/2023,4.35,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,MS,NOVA ANDRADINA,NASCIMENTO E OLIVEIRA COMÉRCIO DE COMBUSTIVEIS E DERIVADOS LTDA,16.640.691/0001-28,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,2201,,CENTRO,79750-000,DIESEL S10,22/02/2023,6.46,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,MS,NOVA ANDRADINA,NASCIMENTO E OLIVEIRA COMÉRCIO DE COMBUSTIVEIS E DERIVADOS LTDA,16.640.691/0001-28,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,2201,,CENTRO,79750-000,DIESEL,22/02/2023,6.36,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,MS,NOVA ANDRADINA,NASCIMENTO E OLIVEIRA COMÉRCIO DE COMBUSTIVEIS E DERIVADOS LTDA,16.640.691/0001-28,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,2201,,CENTRO,79750-000,GASOLINA,22/02/2023,4.35,,R$ / litro,VIBRA ENERGIA,2023-11-21
CO,MS,TRES LAGOAS,CAMPO VERDE COMERCIO DE COMBUSTIVEIS LTDA,14.886.193/0001-34,AVENIDA CAPITAO OLINTO MANCINI,3270,,JARDIM ALVORADA,79601-970,ETANOL,20/02/2023,4.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
