Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
MT,16/01/2023,DIESEL S10,BRANCA,6.6
MT,16/01/2023,DIESEL,BRANCA,6.55
MT,26/01/2023,ETANOL,IPIRANGA,3.49
MT,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.2
MT,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.79
MT,17/01/2023,GASOLINA,IPIRANGA,4.98
MT,03/01/2023,DIESEL,RAIZEN,6.42
MT,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.07
MT,17/01/2023,ETANOL,RAIZEN,3.51
MT,09/01/2023,DIESEL,RAIZEN,6.55
MT,25/01/2023,ETANOL,IPIRANGA,3.15
MT,12/01/2023,DIESEL S10,RAIZEN,6.99
MT,24/01/2023,DIESEL,VIBRA ENERGIA,6.49
MT,11/01/2023,DIESEL S10,IPIRANGA,6.47
MT,23/01/2023,DIESEL,BRANCA,6.35
MT,25/01/2023,ETANOL,RAIZEN,3.3
MT,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.76
MT,09/01/2023,GASOLINA,VIBRA ENERGIA,5.16
MT,24/01/2023,GASOLINA,IPIRANGA,4.89
MT,18/01/2023,DIESEL S10,RAIZEN,6.55
MT,18/01/2023,GASOLINA,RAIZEN,4.99
MT,16/01/2023,DIESEL S10,IPIRANGA,7.13
MT,24/01/2023,DIESEL S10,BRANCA,6.27
MT,04/01/2023,DIESEL S10,BRANCA,6.69
MT,02/01/2023,DIESEL,RAIZEN,6.35
MT,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
MT,11/01/2023,DIESEL,BRANCA,6.32
MT,24/01/2023,ETANOL,BRANCA,3.28
MT,03/01/2023,ETANOL,IPIRANGA,3.69
MT,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.11
MT,18/01/2023,ETANOL,RAIZEN,3.49
MT,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.0
MT,03/01/2023,DIESEL,BRANCA,6.5
MT,03/01/2023,DIESEL S10,RAIZEN,6.49
MT,11/01/2023,GASOLINA,VIBRA ENERGIA,4.96
MT,24/01/2023,GASOLINA,RAIZEN,4.99
MT,25/01/2023,GASOLINA,RAIZEN,4.97
MT,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.18
MT,11/01/2023,GASOLINA,BRANCA,4.88
MT,16/01/2023,ETANOL,IPIRANGA,3.85
MT,25/01/2023,GASOLINA ADITIVADA,BRANCA,4.83
MT,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.21
MT,24/01/2023,DIESEL,IPIRANGA,6.48
MT,04/01/2023,DIESEL S10,IPIRANGA,6.78
MT,16/01/2023,DIESEL,RAIZEN,6.39
MT,25/01/2023,GNV,BRANCA,3.54
MT,04/01/2023,GASOLINA,BRANCA,5.09
MT,24/01/2023,DIESEL S10,IPIRANGA,6.59
MT,23/01/2023,DIESEL,IPIRANGA,6.56
MT,09/01/2023,ETANOL,IPIRANGA,3.7
MT,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.76
MT,18/01/2023,DIESEL,VIBRA ENERGIA,6.49
MT,16/01/2023,DIESEL S10,RAIZEN,6.46
MT,03/01/2023,DIESEL S10,BRANCA,6.62
MT,24/01/2023,GASOLINA,BRANCA,4.69
MT,02/01/2023,ETANOL,IPIRANGA,3.65
MT,09/01/2023,DIESEL,BRANCA,6.29
MT,11/01/2023,DIESEL S10,BRANCA,6.48
MT,24/01/2023,DIESEL,RAIZEN,6.35
MT,17/01/2023,DIESEL S10,IPIRANGA,6.58
MT,23/01/2023,DIESEL,RAIZEN,6.7
MT,26/01/2023,DIESEL S10,IPIRANGA,6.68
MT,11/01/2023,GNV,BRANCA,3.54
MT,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.42
MT,17/01/2023,ETANOL,IPIRANGA,3.53
MT,17/01/2023,GASOLINA,VIBRA ENERGIA,4.87
MT,03/01/2023,ETANOL,VIBRA ENERGIA,3.7
MT,12/01/2023,GASOLINA,BRANCA,5.13
MT,10/01/2023,GASOLINA,VIBRA ENERGIA,5.15
MT,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.25
MT,03/01/2023,GASOLINA ADITIVADA,RAIZEN,5.34
MT,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.0
MT,11/01/2023,DIESEL,VIBRA ENERGIA,6.38
MT,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.69
MT,04/01/2023,ETANOL,VIBRA ENERGIA,3.74
MT,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.66
MT,11/01/2023,DIESEL,IPIRANGA,6.37
MT,18/01/2023,GASOLINA,BRANCA,4.79
MT,11/01/2023,DIESEL,RAIZEN,6.37
MT,23/01/2023,ETANOL,VIBRA ENERGIA,3.39
MT,04/01/2023,DIESEL S10,RAIZEN,6.77
MT,11/01/2023,ETANOL,RAIZEN,3.5
MT,17/01/2023,GASOLINA,BRANCA,4.89
MT,23/01/2023,GASOLINA,BRANCA,4.89
MT,17/01/2023,ETANOL,VIBRA ENERGIA,3.44
MT,12/01/2023,DIESEL,BRANCA,6.79
MT,25/01/2023,DIESEL S10,RAIZEN,6.37
MT,03/01/2023,GNV,BRANCA,3.54
MT,17/01/2023,DIESEL S10,RAIZEN,6.56
MT,18/01/2023,ETANOL,VIBRA ENERGIA,3.5
MT,26/01/2023,GASOLINA,IPIRANGA,4.88
MT,26/01/2023,GASOLINA ADITIVADA,BRANCA,4.82
MT,25/01/2023,DIESEL,IPIRANGA,6.37
MT,09/01/2023,GASOLINA ADITIVADA,BRANCA,4.93
MT,17/01/2023,DIESEL,BRANCA,6.32
MT,18/01/2023,GASOLINA,IPIRANGA,4.88
MT,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.36
MT,02/01/2023,GNV,BRANCA,3.19
MT,11/01/2023,GASOLINA,IPIRANGA,4.87
