Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
CO,MT,CACERES,COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA,03.927.792/0001-32,AVENIDA SAO LUIZ,100,,JD SAO LUIZ,78200-000,ETANOL,21/03/2023,3.64,,R$ / litro,RAIZEN,2023-11-21
CO,MT,CACERES,COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA,03.927.792/0001-32,AVENIDA SAO LUIZ,100,,JD SAO LUIZ,78200-000,DIESEL S10,21/03/2023,6.15,,R$ / litro,RAIZEN,2023-11-21
CO,MT,CACERES,COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA,03.927.792/0001-32,AVENIDA SAO LUIZ,100,,JD SAO LUIZ,78200-000,DIESEL,21/03/2023,6.05,,R$ / litro,RAIZEN,2023-11-21
CO,MT,CACERES,COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA,03.927.792/0001-32,AVENIDA SAO LUIZ,100,,JD SAO LUIZ,78200-000,GASOLINA ADITIVADA,21/03/2023,5.64,,R$ / litro,RAIZEN,2023-11-21
CO,MT,CACERES,COMLUC - COMERCIO DE LUBRIFICANTES E COMBUSTIVEIS LTDA,03.927.792/0001-32,AVENIDA SAO LUIZ,100,,JD SAO LUIZ,78200-000,GASOLINA,21/03/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
CO,MT,CACERES,PETROLUZ CACERES AUTO POSTO LTDA,03.578.055/0001-71,RODOVIA BR-070,1126,,JARDIM PARAISO,78200-001,ETANOL,21/03/2023,3.6,,R$ / litro,BRANCA,2023-11-21
CO,MT,CACERES,PETROLUZ CACERES AUTO POSTO LTDA,03.578.055/0001-71,RODOVIA BR-070,1126,,JARDIM PARAISO,78200-001,DIESEL S10,21/03/2023,6.15,,R$ / litro,BRANCA,2023-11-21
CO,MT,CACERES,PETROLUZ CACERES AUTO POSTO LTDA,03.578.055/0001-71,RODOVIA BR-070,1126,,JARDIM PARAISO,78200-001,DIESEL,21/03/2023,6.05,,R$ / litro,BRANCA,2023-11-21
CO,MT,CACERES,PETROLUZ CACERES AUTO POSTO LTDA,03.578.055/0001-71,RODOVIA BR-070,1126,,JARDIM PARAISO,78200-001,GASOLINA,21/03/2023,5.45,,R$ / litro,BRANCA,2023-11-21
CO,MT,CUIABA,BOSQUE DA SAUDE COMERCIO DE COMBUSTIVEIS LTDA,02.823.845/0001-02,AVENIDA HISTORIADOR RUBENS DE MENDONCA,1784,,BOSQUE DA SAUDE,78050-000,ETANOL,20/03/2023,3.67,,R$ / litro,VIBRA ENERGIA,2023-11-21
