Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
PA,10/01/2023,GASOLINA ADITIVADA,SABBÁ,5.15
PA,16/01/2023,GASOLINA,VIBRA ENERGIA,4.76
PA,09/01/2023,ETANOL,SABBÁ,4.74
PA,24/01/2023,DIESEL,BRANCA,5.98
PA,09/01/2023,DIESEL S10,BRANCA,6.82
PA,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.99
PA,12/01/2023,DIESEL S10,IPIRANGA,6.84
PA,19/01/2023,ETANOL,BRANCA,4.68
PA,26/01/2023,ETANOL,BRANCA,4.68
PA,25/01/2023,DIESEL S10,IPIRANGA,6.89
PA,10/01/2023,GASOLINA ADITIVADA,ATEM' S,4.89
PA,16/01/2023,DIESEL S10,BRANCA,6.57
PA,17/01/2023,DIESEL,VIBRA ENERGIA,6.92
PA,19/01/2023,ETANOL,SABBÁ,4.39
PA,03/01/2023,DIESEL,VIBRA ENERGIA,7.05
PA,09/01/2023,DIESEL S10,IPIRANGA,7.21
PA,12/01/2023,GASOLINA,IPIRANGA,4.88
PA,23/01/2023,GASOLINA,VIBRA ENERGIA,5.11
PA,03/01/2023,GASOLINA,BRANCA,5.52
PA,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.53
PA,03/01/2023,DIESEL,IPIRANGA,7.01
PA,09/01/2023,DIESEL,SABBÁ,7.39
PA,24/01/2023,ETANOL,BRANCA,4.05
PA,23/01/2023,DIESEL,SABBÁ,6.81
PA,02/01/2023,ETANOL,IPIRANGA,4.79
PA,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.47
PA,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.48
PA,12/01/2023,DIESEL S10,BRANCA,6.31
PA,04/01/2023,GASOLINA,VIBRA ENERGIA,4.99
PA,05/01/2023,GASOLINA ADITIVADA,BRANCA,4.95
PA,03/01/2023,DIESEL S10,BRANCA,7.08
PA,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.54
PA,17/01/2023,GASOLINA,RAIZEN,4.85
PA,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.8
PA,24/01/2023,DIESEL S10,SABBÁ,6.75
PA,05/01/2023,GASOLINA,SABBÁ,4.88
PA,04/01/2023,DIESEL S10,BRANCA,7.06
PA,05/01/2023,GASOLINA,IPIRANGA,4.82
PA,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.08
PA,02/01/2023,GASOLINA ADITIVADA,BRANCA,4.98
PA,23/01/2023,GASOLINA ADITIVADA,SABBÁ,5.23
PA,04/01/2023,ETANOL,IPIRANGA,4.69
PA,12/01/2023,GASOLINA ADITIVADA,SABBÁ,5.04
PA,04/01/2023,DIESEL,IPIRANGA,6.8
PA,17/01/2023,GASOLINA,ATEM' S,4.69
