Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,PA,CONCEICAO DO ARAGUAIA,AUTO POSTO GOIANAO COMERCIO E DERIVADOS DE COMBUSTIVEL EIRELI,31.607.763/0001-29,AVENIDA GOVERNADOR FERNANDO GUILHON,2741A,QUADRA188A                LOTE  01/7A/22A/24,EMERENCIO,68540-000,DIESEL S10,25/01/2023,7.1,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,CONCEICAO DO ARAGUAIA,AUTO POSTO GOIANAO COMERCIO E DERIVADOS DE COMBUSTIVEL EIRELI,31.607.763/0001-29,AVENIDA GOVERNADOR FERNANDO GUILHON,2741A,QUADRA188A                LOTE  01/7A/22A/24,EMERENCIO,68540-000,GASOLINA,25/01/2023,5.68,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,AZEVEDO COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA,28.782.251/0001-94,AVENIDA ALACID NUNES,2900,,JARDIM UIRAPURU,68372-095,DIESEL S10,25/01/2023,6.79,,R$ / litro,BRANCA,2023-11-21
N,PA,ALTAMIRA,AZEVEDO COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA,28.782.251/0001-94,AVENIDA ALACID NUNES,2900,,JARDIM UIRAPURU,68372-095,GASOLINA,25/01/2023,5.75,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,POSTO EXEMPLO COMERCIO LTDA,06.164.013/0004-25,RODOVIA BR 316,4800,KM    5,CENTRO,67033-000,ETANOL,24/01/2023,4.19,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,POSTO EXEMPLO COMERCIO LTDA,06.164.013/0004-25,RODOVIA BR 316,4800,KM    5,CENTRO,67033-000,GASOLINA ADITIVADA,24/01/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,POSTO EXEMPLO COMERCIO LTDA,06.164.013/0004-25,RODOVIA BR 316,4800,KM    5,CENTRO,67033-000,GASOLINA,24/01/2023,4.59,,R$ / litro,IPIRANGA,2023-11-21
N,PA,CASTANHAL,POSTO ICCAR LTDA,02.280.133/0069-82,AVENIDA BARAO DO RIO BRANCO,SN,,NOVA OLINDA,68742-000,DIESEL S10,24/01/2023,6.12,,R$ / litro,BRANCA,2023-11-21
N,PA,CASTANHAL,POSTO ICCAR LTDA,02.280.133/0069-82,AVENIDA BARAO DO RIO BRANCO,SN,,NOVA OLINDA,68742-000,GASOLINA,24/01/2023,4.67,,R$ / litro,BRANCA,2023-11-21
N,PA,MARABA,AUTO POSTO FLIP LTDA,41.276.094/0001-03,RUA MIGUEL DAVI,339,QUADRAA 04,NOVO HORIZONTE,68503-000,DIESEL S10,24/01/2023,6.49,,R$ / litro,BRANCA,2023-11-21
N,PA,MARABA,AUTO POSTO FLIP LTDA,41.276.094/0001-03,RUA MIGUEL DAVI,339,QUADRAA 04,NOVO HORIZONTE,68503-000,GASOLINA ADITIVADA,24/01/2023,4.95,,R$ / litro,BRANCA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0008-03,TRAVESSA PEDRO GOMES,S/N,,CENTRO,68371-150,DIESEL S10,30/01/2023,6.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0008-03,TRAVESSA PEDRO GOMES,S/N,,CENTRO,68371-150,DIESEL,30/01/2023,6.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0008-03,TRAVESSA PEDRO GOMES,S/N,,CENTRO,68371-150,GASOLINA ADITIVADA,30/01/2023,5.76,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0008-03,TRAVESSA PEDRO GOMES,S/N,,CENTRO,68371-150,GASOLINA,30/01/2023,5.76,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,COMERCIAL VITORIA LTDA,05.374.277/0001-06,RUA CORONEL JOSE PORFIRIO,1247,0,CENTRO,68372-040,DIESEL S10,30/01/2023,7.03,,R$ / litro,BRANCA,2023-11-21
N,PA,ALTAMIRA,COMERCIAL VITORIA LTDA,05.374.277/0001-06,RUA CORONEL JOSE PORFIRIO,1247,0,CENTRO,68372-040,DIESEL,30/01/2023,6.92,,R$ / litro,BRANCA,2023-11-21
N,PA,ALTAMIRA,COMERCIAL VITORIA LTDA,05.374.277/0001-06,RUA CORONEL JOSE PORFIRIO,1247,0,CENTRO,68372-040,GASOLINA,30/01/2023,5.29,,R$ / litro,BRANCA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0002-00,AVENIDA ALACID NUNES,S/N,,JARDIM ORIENTE,68379-200,ETANOL,30/01/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0002-00,AVENIDA ALACID NUNES,S/N,,JARDIM ORIENTE,68379-200,DIESEL,30/01/2023,6.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0002-00,AVENIDA ALACID NUNES,S/N,,JARDIM ORIENTE,68379-200,GASOLINA ADITIVADA,30/01/2023,5.76,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0002-00,AVENIDA ALACID NUNES,S/N,,JARDIM ORIENTE,68379-200,GASOLINA,30/01/2023,5.76,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0004-71,RUA PRIMEIRO DE JANEIRO,1569,POSTO CIDADE,CENTRO,68371-020,ETANOL,30/01/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0004-71,RUA PRIMEIRO DE JANEIRO,1569,POSTO CIDADE,CENTRO,68371-020,GASOLINA ADITIVADA,30/01/2023,5.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ALTAMIRA,GONCALVES & DIAS LTDA,07.868.912/0004-71,RUA PRIMEIRO DE JANEIRO,1569,POSTO CIDADE,CENTRO,68371-020,GASOLINA,30/01/2023,5.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ANANINDEUA,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,06.266.344/0002-04,RODOVIA DOS TRABALHADORES,194,QUADRA 168,JARDIM NOVA ESPERANÇA,67120-000,ETANOL,31/01/2023,4.09,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,06.266.344/0002-04,RODOVIA DOS TRABALHADORES,194,QUADRA 168,JARDIM NOVA ESPERANÇA,67120-000,DIESEL S10,31/01/2023,5.98,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,06.266.344/0002-04,RODOVIA DOS TRABALHADORES,194,QUADRA 168,JARDIM NOVA ESPERANÇA,67120-000,GASOLINA,31/01/2023,4.82,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,06.266.344/0003-95,RUA CLAUDIO SANDERS,1400,ESTRADA DO MAGUARY,CENTRO,67030-160,ETANOL,31/01/2023,4.08,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,06.266.344/0003-95,RUA CLAUDIO SANDERS,1400,ESTRADA DO MAGUARY,CENTRO,67030-160,DIESEL S10,31/01/2023,5.95,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,06.266.344/0003-95,RUA CLAUDIO SANDERS,1400,ESTRADA DO MAGUARY,CENTRO,67030-160,GASOLINA,31/01/2023,4.69,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,GP PETROLEO COMERCIO DE COMBUSTIVEIS LTDA,06.945.995/0001-40,RODOVIA BR 316,S/Nº,KM 04,COQUEIRO,67110-000,DIESEL S10,31/01/2023,6.09,,R$ / litro,SABBÁ,2023-11-21
N,PA,ANANINDEUA,GP PETROLEO COMERCIO DE COMBUSTIVEIS LTDA,06.945.995/0001-40,RODOVIA BR 316,S/Nº,KM 04,COQUEIRO,67110-000,GASOLINA ADITIVADA,31/01/2023,5.19,,R$ / litro,SABBÁ,2023-11-21
N,PA,ANANINDEUA,GP PETROLEO COMERCIO DE COMBUSTIVEIS LTDA,06.945.995/0001-40,RODOVIA BR 316,S/Nº,KM 04,COQUEIRO,67110-000,GASOLINA,31/01/2023,4.79,,R$ / litro,SABBÁ,2023-11-21
N,PA,ANANINDEUA,POSTO DE COMBUSTIVEL TRES CORAÇOES LTDA,06.077.060/0001-99,TRAVESSA WE 8 B,"0,083333333",CONJ. CIDADE NOVA I,COQUEIRO,67130-250,DIESEL S10,31/01/2023,5.99,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,POSTO DE COMBUSTIVEL TRES CORAÇOES LTDA,06.077.060/0001-99,TRAVESSA WE 8 B,"0,083333333",CONJ. CIDADE NOVA I,COQUEIRO,67130-250,GASOLINA ADITIVADA,31/01/2023,4.89,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,POSTO DE COMBUSTIVEL TRES CORAÇOES LTDA,06.077.060/0001-99,TRAVESSA WE 8 B,"0,083333333",CONJ. CIDADE NOVA I,COQUEIRO,67130-250,GASOLINA,31/01/2023,4.79,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,POSTO UBN LTDA,03.577.000/0002-28,RODOVIA BR 316,S/N,KM 05,GUANABARA,67000-000,ETANOL,31/01/2023,3.95,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,POSTO UBN LTDA,03.577.000/0002-28,RODOVIA BR 316,S/N,KM 05,GUANABARA,67000-000,GASOLINA,31/01/2023,4.64,,R$ / litro,BRANCA,2023-11-21
N,PA,ANANINDEUA,RIBEIRO DERIVADOS DE PETROLEO LTDA,04.111.209/0001-83,RODOVIA BR 316,S/N,KM    06,LEVILANDIA,67015-760,DIESEL S10,31/01/2023,6.19,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,RIBEIRO DERIVADOS DE PETROLEO LTDA,04.111.209/0001-83,RODOVIA BR 316,S/N,KM    06,LEVILANDIA,67015-760,GASOLINA ADITIVADA,31/01/2023,4.99,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,GONCALVES & DIAS LTDA,07.868.912/0001-29,RODOVIA BR 316,S/N,KM 08,AGUA BRANCA,67033-070,ETANOL,31/01/2023,4.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ANANINDEUA,GONCALVES & DIAS LTDA,07.868.912/0001-29,RODOVIA BR 316,S/N,KM 08,AGUA BRANCA,67033-070,DIESEL S10,31/01/2023,7.68,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ANANINDEUA,GONCALVES & DIAS LTDA,07.868.912/0001-29,RODOVIA BR 316,S/N,KM 08,AGUA BRANCA,67033-070,GASOLINA ADITIVADA,31/01/2023,5.98,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ANANINDEUA,GONCALVES & DIAS LTDA,07.868.912/0001-29,RODOVIA BR 316,S/N,KM 08,AGUA BRANCA,67033-070,GASOLINA,31/01/2023,4.79,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,ANANINDEUA,FORMOSA POSTOS LTDA,02.328.689/0001-03,"\" TV SN 17 \"\" B \"\"\"",S/N,CONJ CID NOVA IV,COQUEIRO,67133-000,ETANOL,31/01/2023,4.29,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,FORMOSA POSTOS LTDA,02.328.689/0001-03,"\" TV SN 17 \"\" B \"\"\"",S/N,CONJ CID NOVA IV,COQUEIRO,67133-000,GASOLINA ADITIVADA,31/01/2023,5.09,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ANANINDEUA,FORMOSA POSTOS LTDA,02.328.689/0001-03,"\" TV SN 17 \"\" B \"\"\"",S/N,CONJ CID NOVA IV,COQUEIRO,67133-000,GASOLINA,31/01/2023,4.79,,R$ / litro,IPIRANGA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0029-95,ESTRADA MARACACUERA ( ANGULO COM A ESTRADA DO OUTEIRO ),S/N,"LOTE 1 , 3 E 5",ICOARACI,66815-140,DIESEL,30/01/2023,6.18,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0029-95,ESTRADA MARACACUERA ( ANGULO COM A ESTRADA DO OUTEIRO ),S/N,"LOTE 1 , 3 E 5",ICOARACI,66815-140,GASOLINA,30/01/2023,4.84,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0028-04,AVENIDA PEDRO ALVARES CABRAL,"1,734",,TELGRAFO,66050-400,DIESEL,30/01/2023,5.89,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0028-04,AVENIDA PEDRO ALVARES CABRAL,"1,734",,TELGRAFO,66050-400,GASOLINA,30/01/2023,4.62,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0026-42,RODOVIA AUGUSTO MONTENEGRO,7988,KM 08,ICOARACY,66823-010,DIESEL,30/01/2023,6.18,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0026-42,RODOVIA AUGUSTO MONTENEGRO,7988,KM 08,ICOARACY,66823-010,GASOLINA,30/01/2023,4.84,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0024-80,RUA ANTONIO EVERDOSA,1174,,PEDREIRA,66080-190,DIESEL S10,30/01/2023,6.18,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0024-80,RUA ANTONIO EVERDOSA,1174,,PEDREIRA,66080-190,GASOLINA,30/01/2023,4.84,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0022-19,RODOVIA MARIO COVAS,52,LOT 49 A 52,COQUEIRO,66650-000,DIESEL,30/01/2023,5.89,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,POSTO ICCAR LTDA,02.280.133/0022-19,RODOVIA MARIO COVAS,52,LOT 49 A 52,COQUEIRO,66650-000,GASOLINA,30/01/2023,4.62,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,AUTO POSTO ACAI LTDA,01.497.008/0001-78,TRAVESSA PADRE EUTIQUIO,3276,,CONDOR,66065-050,DIESEL S10,30/01/2023,6.99,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,AUTO POSTO ACAI LTDA,01.497.008/0001-78,TRAVESSA PADRE EUTIQUIO,3276,,CONDOR,66065-050,GASOLINA,30/01/2023,4.62,,R$ / litro,BRANCA,2023-11-21
N,PA,BELEM,SUPER POSTO TRIANGULO LTDA,03.160.149/0001-26,AVENIDA JOAO PAULO II,262,A,MARCO,66630-505,ETANOL,30/01/2023,4.38,,R$ / litro,IPIRANGA,2023-11-21
N,PA,BELEM,SUPER POSTO TRIANGULO LTDA,03.160.149/0001-26,AVENIDA JOAO PAULO II,262,A,MARCO,66630-505,DIESEL S10,30/01/2023,6.85,,R$ / litro,IPIRANGA,2023-11-21
