Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,PA,PARAGOMINAS,A M F COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.905.695/0001-08,RODOVIA PA 125 KM 01,S/N,,PARQUE DAS AMERICAS,68625-970,DIESEL,11/04/2023,6.43,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,PARAGOMINAS,A M F COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.905.695/0001-08,RODOVIA PA 125 KM 01,S/N,,PARQUE DAS AMERICAS,68625-970,GASOLINA ADITIVADA,11/04/2023,6.25,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,PARAGOMINAS,A M F COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.905.695/0001-08,RODOVIA PA 125 KM 01,S/N,,PARQUE DAS AMERICAS,68625-970,GASOLINA,11/04/2023,6.17,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,PA,PARAGOMINAS,POSTO PIER 21 LTDA,06.180.484/0001-84,RUA ESTADO DE SERGIPE,72,,CENTRO,68625-970,DIESEL S10,11/04/2023,6.64,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,POSTO PIER 21 LTDA,06.180.484/0001-84,RUA ESTADO DE SERGIPE,72,,CENTRO,68625-970,DIESEL,11/04/2023,6.59,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,POSTO PIER 21 LTDA,06.180.484/0001-84,RUA ESTADO DE SERGIPE,72,,CENTRO,68625-970,GASOLINA ADITIVADA,11/04/2023,6.22,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,POSTO PIER 21 LTDA,06.180.484/0001-84,RUA ESTADO DE SERGIPE,72,,CENTRO,68625-970,GASOLINA,11/04/2023,6.16,,R$ / litro,IPIRANGA,2023-11-21
N,PA,ITAITUBA,L C ALMEIDA GOMES FREIRE EIRELI,05.925.849/0001-90,TRAVESSA VICTOR CAMPOS,66,,CENTRO,68180-070,DIESEL S10,10/04/2023,5.89,,R$ / litro,BRANCA,2023-11-21
N,PA,ITAITUBA,L C ALMEIDA GOMES FREIRE EIRELI,05.925.849/0001-90,TRAVESSA VICTOR CAMPOS,66,,CENTRO,68180-070,DIESEL,10/04/2023,5.83,,R$ / litro,BRANCA,2023-11-21
N,PA,ITAITUBA,L C ALMEIDA GOMES FREIRE EIRELI,05.925.849/0001-90,TRAVESSA VICTOR CAMPOS,66,,CENTRO,68180-070,GASOLINA,10/04/2023,5.45,,R$ / litro,BRANCA,2023-11-21
N,PA,SANTAREM,POSTO FLORESTA LTDA,05.610.038/0001-08,AVENIDA MOACARA,742,,FLORESTA,68025-740,DIESEL,11/04/2023,6.39,,R$ / litro,SABBÁ,2023-11-21
N,PA,SANTAREM,POSTO FLORESTA LTDA,05.610.038/0001-08,AVENIDA MOACARA,742,,FLORESTA,68025-740,GASOLINA ADITIVADA,11/04/2023,5.61,,R$ / litro,SABBÁ,2023-11-21
N,PA,SANTAREM,POSTO FLORESTA LTDA,05.610.038/0001-08,AVENIDA MOACARA,742,,FLORESTA,68025-740,GASOLINA,11/04/2023,5.49,,R$ / litro,SABBÁ,2023-11-21
N,PA,SANTAREM,AUTO POSTO LIDER DA AMAZONIA LTDA,83.907.279/0001-19,AVENIDA SERGIO HENN,435,,DIAMANTINO,68020-000,DIESEL S10,11/04/2023,6.45,,R$ / litro,IPIRANGA,2023-11-21
N,PA,SANTAREM,AUTO POSTO LIDER DA AMAZONIA LTDA,83.907.279/0001-19,AVENIDA SERGIO HENN,435,,DIAMANTINO,68020-000,DIESEL,11/04/2023,6.39,,R$ / litro,IPIRANGA,2023-11-21
N,PA,SANTAREM,AUTO POSTO LIDER DA AMAZONIA LTDA,83.907.279/0001-19,AVENIDA SERGIO HENN,435,,DIAMANTINO,68020-000,GASOLINA ADITIVADA,11/04/2023,5.59,,R$ / litro,IPIRANGA,2023-11-21
N,PA,SANTAREM,AUTO POSTO LIDER DA AMAZONIA LTDA,83.907.279/0001-19,AVENIDA SERGIO HENN,435,,DIAMANTINO,68020-000,GASOLINA,11/04/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,DIESEL S10,11/04/2023,6.01,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,DIESEL,11/04/2023,6,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,GASOLINA ADITIVADA,11/04/2023,5.49,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,GASOLINA,11/04/2023,5.39,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,DERIVADOS DE PETROLEO MACHADO LTDA,10.252.971/0001-82,AVENIDA TAPAJOS,2061,,ALDEIA,68040-000,ETANOL,12/04/2023,4.89,,R$ / litro,BRANCA,2023-11-21
N,PA,SANTAREM,DERIVADOS DE PETROLEO MACHADO LTDA,10.252.971/0001-82,AVENIDA TAPAJOS,2061,,ALDEIA,68040-000,DIESEL S10,12/04/2023,6.09,,R$ / litro,BRANCA,2023-11-21
N,PA,SANTAREM,DERIVADOS DE PETROLEO MACHADO LTDA,10.252.971/0001-82,AVENIDA TAPAJOS,2061,,ALDEIA,68040-000,DIESEL,12/04/2023,6.05,,R$ / litro,BRANCA,2023-11-21
N,PA,SANTAREM,DERIVADOS DE PETROLEO MACHADO LTDA,10.252.971/0001-82,AVENIDA TAPAJOS,2061,,ALDEIA,68040-000,GASOLINA ADITIVADA,12/04/2023,5.49,,R$ / litro,BRANCA,2023-11-21
N,PA,SANTAREM,DERIVADOS DE PETROLEO MACHADO LTDA,10.252.971/0001-82,AVENIDA TAPAJOS,2061,,ALDEIA,68040-000,GASOLINA,12/04/2023,5.39,,R$ / litro,BRANCA,2023-11-21
N,PA,SANTAREM,VINHOTE & ALBARADO LTDA,03.996.110/0001-43,AVENIDA CURUA UNA,2488,,DIAMANTINO,68010-000,DIESEL,11/04/2023,6.39,,R$ / litro,SABBÁ,2023-11-21
N,PA,SANTAREM,VINHOTE & ALBARADO LTDA,03.996.110/0001-43,AVENIDA CURUA UNA,2488,,DIAMANTINO,68010-000,GASOLINA ADITIVADA,11/04/2023,5.79,,R$ / litro,SABBÁ,2023-11-21
N,PA,SANTAREM,VINHOTE & ALBARADO LTDA,03.996.110/0001-43,AVENIDA CURUA UNA,2488,,DIAMANTINO,68010-000,GASOLINA,11/04/2023,5.49,,R$ / litro,SABBÁ,2023-11-21
N,PA,CAMETA,J. E. G. BATISTA,08.003.016/0001-60,RUA CORONEL RAIMUNDO LEAO,1253,ESQ. C/ TRAV. SANTA CRUZ,BRASILIA,68400-000,DIESEL S10,11/04/2023,6.64,,R$ / litro,ALESAT,2023-11-21
N,PA,CAMETA,J. E. G. BATISTA,08.003.016/0001-60,RUA CORONEL RAIMUNDO LEAO,1253,ESQ. C/ TRAV. SANTA CRUZ,BRASILIA,68400-000,GASOLINA,11/04/2023,5.8,,R$ / litro,ALESAT,2023-11-21
N,PA,CAMETA,M & M MEDEIROS LTDA,10.243.691/0001-08,RUA 23 DE NOVEMBRO,SN,,CENTRO,68400-000,DIESEL S10,10/04/2023,6.36,,R$ / litro,SABBÁ,2023-11-21
N,PA,CAMETA,M & M MEDEIROS LTDA,10.243.691/0001-08,RUA 23 DE NOVEMBRO,SN,,CENTRO,68400-000,DIESEL,10/04/2023,6.3,,R$ / litro,SABBÁ,2023-11-21
N,PA,CAMETA,M & M MEDEIROS LTDA,10.243.691/0001-08,RUA 23 DE NOVEMBRO,SN,,CENTRO,68400-000,GASOLINA ADITIVADA,10/04/2023,5.83,,R$ / litro,SABBÁ,2023-11-21
N,PA,CAMETA,M & M MEDEIROS LTDA,10.243.691/0001-08,RUA 23 DE NOVEMBRO,SN,,CENTRO,68400-000,GASOLINA,10/04/2023,5.63,,R$ / litro,SABBÁ,2023-11-21
N,PA,PARAGOMINAS,AUTO POSTO CIDADE NOVA LTDA,09.490.334/0001-65,AVENIDA TERESINA,22,,CIDADE NOVA,68625-440,DIESEL S10,11/04/2023,6.49,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,AUTO POSTO CIDADE NOVA LTDA,09.490.334/0001-65,AVENIDA TERESINA,22,,CIDADE NOVA,68625-440,DIESEL,11/04/2023,6.44,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,AUTO POSTO CIDADE NOVA LTDA,09.490.334/0001-65,AVENIDA TERESINA,22,,CIDADE NOVA,68625-440,GASOLINA ADITIVADA,11/04/2023,6.24,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,AUTO POSTO CIDADE NOVA LTDA,09.490.334/0001-65,AVENIDA TERESINA,22,,CIDADE NOVA,68625-440,GASOLINA,11/04/2023,6.18,,R$ / litro,IPIRANGA,2023-11-21
N,PA,PARAGOMINAS,TAUARI COMERCIO DE COMBUSTIVEIS LTDA,10.266.958/0001-82,AVENIDA BELO HORIZONTE,S/N,"LOTES 01, 02, 03, 04      QUADRA 05, BLOCO 04",MODULO II,68626-290,ETANOL,11/04/2023,4.39,,R$ / litro,BRANCA,2023-11-21
N,PA,PARAGOMINAS,TAUARI COMERCIO DE COMBUSTIVEIS LTDA,10.266.958/0001-82,AVENIDA BELO HORIZONTE,S/N,"LOTES 01, 02, 03, 04      QUADRA 05, BLOCO 04",MODULO II,68626-290,DIESEL S10,11/04/2023,5.99,,R$ / litro,BRANCA,2023-11-21
N,PA,PARAGOMINAS,TAUARI COMERCIO DE COMBUSTIVEIS LTDA,10.266.958/0001-82,AVENIDA BELO HORIZONTE,S/N,"LOTES 01, 02, 03, 04      QUADRA 05, BLOCO 04",MODULO II,68626-290,GASOLINA,11/04/2023,5.7,,R$ / litro,BRANCA,2023-11-21
N,PA,MARABA,ARAUJO COMERCIO DE COMBUSTIVEIS LTDA,10.456.740/0001-90,AVENIDA SAO FRANCISCO,2668,,CIDADE NOVA,68501-690,DIESEL S10,13/04/2023,6.79,,R$ / litro,BRANCA,2023-11-21
N,PA,MARABA,ARAUJO COMERCIO DE COMBUSTIVEIS LTDA,10.456.740/0001-90,AVENIDA SAO FRANCISCO,2668,,CIDADE NOVA,68501-690,GASOLINA,13/04/2023,5.59,,R$ / litro,BRANCA,2023-11-21
