Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
PB,11/01/2023,DIESEL,BRANCA,6.14
PB,16/01/2023,DIESEL,BRANCA,6.06
PB,24/01/2023,DIESEL,BRANCA,6.09
PB,09/01/2023,DIESEL,ALESAT,6.95
PB,17/01/2023,GASOLINA ADITIVADA,FAN,4.98
PB,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.95
PB,09/01/2023,GASOLINA,IPIRANGA,4.82
PB,18/01/2023,ETANOL,IPIRANGA,3.99
PB,11/01/2023,GASOLINA,RAIZEN,4.74
PB,03/01/2023,GASOLINA,BRANCA,4.74
PB,18/01/2023,DIESEL S10,IPIRANGA,6.57
PB,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.95
PB,16/01/2023,ETANOL,VIBRA ENERGIA,3.89
PB,24/01/2023,DIESEL S10,RAIZEN,6.17
PB,11/01/2023,GASOLINA ADITIVADA,BRANCA,4.89
PB,10/01/2023,ETANOL,IPIRANGA,3.59
PB,17/01/2023,ETANOL,BRANCA,3.78
PB,24/01/2023,GASOLINA,BRANCA,4.77
PB,17/01/2023,GNV,RAIZEN,4.44
PB,02/01/2023,GASOLINA,VIBRA ENERGIA,4.79
PB,02/01/2023,ETANOL,IPIRANGA,3.61
PB,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.05
PB,10/01/2023,GASOLINA,RAIZEN,4.74
PB,17/01/2023,DIESEL,FAN,6.27
PB,17/01/2023,DIESEL,BRANCA,6.21
PB,02/01/2023,GASOLINA ADITIVADA,BRANCA,4.76
PB,04/01/2023,ETANOL,DISLUB,3.99
PB,09/01/2023,ETANOL,FAN,4.11
PB,23/01/2023,ETANOL,VIBRA ENERGIA,3.78
PB,23/01/2023,GASOLINA ADITIVADA,ALESAT,4.99
PB,04/01/2023,GASOLINA,RAIZEN,4.74
PB,02/01/2023,DIESEL S10,IPIRANGA,6.39
PB,17/01/2023,ETANOL,RAIZEN,3.58
PB,17/01/2023,DIESEL S10,RAIZEN,6.17
PB,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.95
PB,23/01/2023,DIESEL,RAIZEN,6.09
PB,09/01/2023,GNV,BRANCA,4.44
PB,24/01/2023,GASOLINA,VIBRA ENERGIA,4.76
PB,11/01/2023,ETANOL,IPIRANGA,3.83
PB,16/01/2023,GASOLINA ADITIVADA,BRANCA,4.74
PB,25/01/2023,GNV,VIBRA ENERGIA,4.44
PB,23/01/2023,GASOLINA ADITIVADA,FAN,4.98
PB,11/01/2023,GASOLINA ADITIVADA,ALESAT,4.99
PB,17/01/2023,GASOLINA ADITIVADA,FEDERAL ENERGIA,4.65
PB,16/01/2023,ETANOL,IPIRANGA,3.66
PB,24/01/2023,ETANOL,VIBRA ENERGIA,3.82
PB,03/01/2023,ETANOL,ALESAT,3.68
PB,03/01/2023,GASOLINA ADITIVADA,BRANCA,4.84
PB,11/01/2023,GASOLINA,ALESAT,4.67
PB,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.91
PB,17/01/2023,DIESEL,IPIRANGA,6.17
PB,23/01/2023,GNV,IPIRANGA,4.69
PB,24/01/2023,DIESEL S10,BRANCA,6.28
PB,17/01/2023,GASOLINA,IPIRANGA,4.72
PB,17/01/2023,ETANOL,ALESAT,3.78
PB,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.74
PB,17/01/2023,GNV,VIBRA ENERGIA,4.44
PB,17/01/2023,DIESEL,ALESAT,6.95
PB,23/01/2023,ETANOL,RAIZEN,3.64
PB,23/01/2023,GASOLINA,FAN,4.98
PB,16/01/2023,GNV,BRANCA,4.44
PB,16/01/2023,ETANOL,RAIZEN,3.64
PB,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.94
PB,04/01/2023,DIESEL,BRANCA,6.54
PB,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.92
PB,18/01/2023,DIESEL,IPIRANGA,6.45
PB,18/01/2023,DIESEL S10,RAIZEN,6.49
PB,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.02
PB,04/01/2023,GASOLINA,IPIRANGA,4.89
PB,09/01/2023,GNV,ALESAT,4.44
PB,17/01/2023,GASOLINA,VIBRA ENERGIA,4.76
PB,23/01/2023,DIESEL S10,ALESAT,6.62
PB,11/01/2023,DIESEL S10,ALESAT,6.44
PB,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.44
PB,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.94
PB,09/01/2023,GASOLINA,FAN,4.89
PB,10/01/2023,ETANOL,BRANCA,3.82
PB,11/01/2023,GASOLINA,VIBRA ENERGIA,4.72
PB,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.0
PB,04/01/2023,GNV,VIBRA ENERGIA,4.64
PB,04/01/2023,GASOLINA ADITIVADA,DISLUB,4.88
PB,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.05
PB,23/01/2023,ETANOL,ALESAT,3.77
PB,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.92
PB,09/01/2023,ETANOL,BRANCA,3.7
PB,11/01/2023,GASOLINA,IPIRANGA,4.74
PB,17/01/2023,GASOLINA,BRANCA,4.76
PB,09/01/2023,DIESEL,RAIZEN,6.09
PB,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.09
PB,09/01/2023,DIESEL S10,FAN,6.39
PB,23/01/2023,ETANOL,BRANCA,3.76
PB,10/01/2023,ETANOL,DISLUB,3.99
PB,17/01/2023,DIESEL,FEDERAL ENERGIA,6.09
PB,03/01/2023,ETANOL,VIBRA ENERGIA,3.99
PB,18/01/2023,GASOLINA,VIBRA ENERGIA,4.75
PB,18/01/2023,GASOLINA,RAIZEN,4.74
PB,25/01/2023,GASOLINA,BRANCA,4.79
PB,23/01/2023,GASOLINA ADITIVADA,RAIZEN,4.99
PB,16/01/2023,DIESEL S10,RAIZEN,6.34
PB,17/01/2023,ETANOL,VIBRA ENERGIA,3.77
PB,16/01/2023,DIESEL S10,ALESAT,6.29
PB,25/01/2023,DIESEL,BRANCA,6.44
PB,02/01/2023,ETANOL,VIBRA ENERGIA,3.76
PB,02/01/2023,DIESEL,VIBRA ENERGIA,6.69
PB,17/01/2023,ETANOL,IPIRANGA,3.76
PB,16/01/2023,DIESEL S10,BRANCA,6.34
PB,09/01/2023,DIESEL S10,VIBRA ENERGIA,6.56
PB,16/01/2023,DIESEL,VIBRA ENERGIA,6.44
PB,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.92
PB,03/01/2023,GASOLINA,FAN,4.89
PB,25/01/2023,ETANOL,VIBRA ENERGIA,3.79
PB,25/01/2023,GASOLINA,IPIRANGA,4.79
PB,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.66
PB,25/01/2023,DIESEL S10,IPIRANGA,6.48
PB,03/01/2023,GNV,IPIRANGA,4.89
PB,02/01/2023,DIESEL S10,BRANCA,6.37
PB,04/01/2023,DIESEL S10,IPIRANGA,6.52
PB,17/01/2023,GNV,IPIRANGA,4.69
PB,25/01/2023,DIESEL,IPIRANGA,6.32
PB,02/01/2023,DIESEL S10,RAIZEN,6.33
PB,03/01/2023,DIESEL S10,ALESAT,6.64
PB,10/01/2023,GASOLINA,DISLUB,4.99
PB,16/01/2023,GASOLINA,ALESAT,4.65
PB,10/01/2023,GNV,VIBRA ENERGIA,4.44
PB,25/01/2023,GASOLINA,VIBRA ENERGIA,4.78
PB,03/01/2023,DIESEL,FAN,6.72
PB,17/01/2023,DIESEL S10,ALESAT,6.64
PB,03/01/2023,ETANOL,BRANCA,3.79
PB,18/01/2023,ETANOL,BRANCA,3.95
PB,04/01/2023,ETANOL,BRANCA,3.89
PB,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.84
PB,23/01/2023,GASOLINA,VIBRA ENERGIA,4.78
PB,24/01/2023,DIESEL,RAIZEN,6.07
PB,24/01/2023,ETANOL,BRANCA,3.73
PB,23/01/2023,GASOLINA,ALESAT,4.77
PB,10/01/2023,DIESEL S10,RAIZEN,6.17
PB,23/01/2023,GASOLINA,RAIZEN,4.74
PB,02/01/2023,DIESEL,RAIZEN,6.08
PB,17/01/2023,GASOLINA,FAN,4.98
PB,23/01/2023,GNV,VIBRA ENERGIA,4.44
PB,02/01/2023,DIESEL,IPIRANGA,6.49
PB,03/01/2023,GNV,BRANCA,4.89
PB,03/01/2023,GASOLINA,VIBRA ENERGIA,4.89
PB,17/01/2023,GNV,BRANCA,5.44
PB,16/01/2023,GASOLINA,IPIRANGA,4.75
PB,04/01/2023,DIESEL S10,RAIZEN,6.49
PB,11/01/2023,ETANOL,RAIZEN,3.59
PB,09/01/2023,ETANOL,IPIRANGA,3.65
PB,23/01/2023,DIESEL,VIBRA ENERGIA,6.39
PB,09/01/2023,ETANOL,RAIZEN,3.61
PB,17/01/2023,GASOLINA ADITIVADA,BRANCA,4.83
PB,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.92
PB,04/01/2023,ETANOL,IPIRANGA,3.99
PB,02/01/2023,GNV,VIBRA ENERGIA,4.64
PB,23/01/2023,DIESEL,ALESAT,6.72
PB,23/01/2023,DIESEL,FAN,6.37
PB,09/01/2023,GASOLINA,ALESAT,4.78
PB,17/01/2023,DIESEL S10,FEDERAL ENERGIA,6.19
PB,11/01/2023,GNV,BRANCA,4.69
PB,10/01/2023,GASOLINA,VIBRA ENERGIA,4.76
PB,19/01/2023,ETANOL,VIBRA ENERGIA,3.74
PB,24/01/2023,GASOLINA,IPIRANGA,4.74
PB,09/01/2023,GASOLINA ADITIVADA,FAN,4.89
PB,24/01/2023,GNV,BRANCA,5.44
PB,11/01/2023,ETANOL,ALESAT,3.79
PB,11/01/2023,DIESEL,IPIRANGA,6.3
PB,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.96
PB,02/01/2023,GASOLINA,RAIZEN,4.75
PB,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.86
PB,16/01/2023,ETANOL,ALESAT,3.74
PB,23/01/2023,DIESEL S10,RAIZEN,6.19
PB,09/01/2023,ETANOL,VIBRA ENERGIA,3.78
PB,17/01/2023,DIESEL S10,BRANCA,6.39
PB,25/01/2023,ETANOL,IPIRANGA,3.89
PB,04/01/2023,ETANOL,VIBRA ENERGIA,3.69
PB,02/01/2023,GASOLINA ADITIVADA,RAIZEN,5.0
PB,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.95
PB,11/01/2023,DIESEL S10,IPIRANGA,6.44
PB,11/01/2023,GNV,VIBRA ENERGIA,4.44
PB,10/01/2023,GNV,BRANCA,5.44
PB,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.52
PB,10/01/2023,GASOLINA ADITIVADA,DISLUB,4.99
PB,17/01/2023,DIESEL,RAIZEN,6.07
PB,23/01/2023,GNV,BRANCA,4.57
PB,23/01/2023,GASOLINA,IPIRANGA,4.71
PB,03/01/2023,DIESEL S10,FAN,6.62
PB,24/01/2023,ETANOL,DISLUB,4.09
PB,16/01/2023,DIESEL S10,IPIRANGA,6.49
PB,09/01/2023,DIESEL S10,RAIZEN,6.29
PB,10/01/2023,GASOLINA,IPIRANGA,4.74
PB,09/01/2023,DIESEL,FAN,6.72
PB,25/01/2023,ETANOL,BRANCA,3.91
PB,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
PB,11/01/2023,DIESEL,ALESAT,6.49
PB,17/01/2023,GASOLINA ADITIVADA,DISLUB,4.99
PB,18/01/2023,ETANOL,VIBRA ENERGIA,3.69
PB,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.09
PB,02/01/2023,GASOLINA,BRANCA,4.75
PB,23/01/2023,DIESEL,IPIRANGA,6.28
PB,04/01/2023,DIESEL S10,BRANCA,6.72
PB,04/01/2023,GASOLINA,DISLUB,4.88
PB,09/01/2023,DIESEL S10,BRANCA,6.22
PB,23/01/2023,DIESEL S10,BRANCA,6.5
PB,23/01/2023,ETANOL,IPIRANGA,3.78
PB,17/01/2023,DIESEL S10,FAN,6.37
PB,24/01/2023,GASOLINA,DISLUB,4.88
PB,23/01/2023,GASOLINA ADITIVADA,BRANCA,4.88
PB,24/01/2023,GASOLINA,RAIZEN,4.74
PB,10/01/2023,DIESEL S10,IPIRANGA,6.49
PB,09/01/2023,DIESEL,BRANCA,6.16
PB,18/01/2023,GASOLINA,BRANCA,4.99
PB,23/01/2023,DIESEL S10,IPIRANGA,6.38
PB,03/01/2023,GASOLINA,IPIRANGA,4.7
PB,16/01/2023,GASOLINA,VIBRA ENERGIA,4.81
PB,17/01/2023,GASOLINA,DISLUB,4.99
PB,25/01/2023,GNV,BRANCA,4.69
PB,24/01/2023,GASOLINA ADITIVADA,DISLUB,4.88
PB,09/01/2023,GNV,VIBRA ENERGIA,4.44
PB,25/01/2023,GASOLINA ADITIVADA,BRANCA,4.84
PB,23/01/2023,GNV,ALESAT,4.44
PB,03/01/2023,ETANOL,IPIRANGA,3.69
PB,03/01/2023,DIESEL,BRANCA,6.14
PB,11/01/2023,GNV,IPIRANGA,4.69
PB,16/01/2023,ETANOL,BRANCA,3.69
PB,17/01/2023,GASOLINA,ALESAT,4.81
PB,03/01/2023,DIESEL S10,BRANCA,6.34
PB,04/01/2023,GASOLINA,BRANCA,5.0
PB,16/01/2023,GASOLINA ADITIVADA,RAIZEN,4.97
PB,25/01/2023,GASOLINA,RAIZEN,4.74
PB,02/01/2023,GNV,BRANCA,4.64
PB,10/01/2023,DIESEL S10,BRANCA,6.67
PB,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.96
PB,03/01/2023,DIESEL,ALESAT,6.95
PB,17/01/2023,ETANOL,DISLUB,3.99
PB,02/01/2023,ETANOL,BRANCA,3.68
PB,10/01/2023,DIESEL,BRANCA,6.46
PB,23/01/2023,DIESEL,BRANCA,6.22
PB,09/01/2023,GASOLINA,BRANCA,4.74
PB,02/01/2023,ETANOL,RAIZEN,3.59
PB,09/01/2023,ETANOL,ALESAT,3.74
PB,18/01/2023,GNV,VIBRA ENERGIA,4.44
PB,10/01/2023,ETANOL,VIBRA ENERGIA,3.82
PB,03/01/2023,ETANOL,FAN,4.11
PB,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.29
PB,18/01/2023,DIESEL S10,BRANCA,6.79
PB,25/01/2023,DIESEL S10,BRANCA,6.29
PB,23/01/2023,DIESEL S10,FAN,6.37
PB,18/01/2023,GASOLINA,IPIRANGA,4.89
PB,03/01/2023,GASOLINA ADITIVADA,FAN,4.89
PB,17/01/2023,GASOLINA,RAIZEN,4.74
PB,16/01/2023,GASOLINA,RAIZEN,4.75
PB,24/01/2023,ETANOL,IPIRANGA,3.69
PB,10/01/2023,ETANOL,RAIZEN,3.56
PB,09/01/2023,GASOLINA ADITIVADA,BRANCA,4.75
PB,19/01/2023,GASOLINA,VIBRA ENERGIA,4.7
PB,03/01/2023,DIESEL S10,IPIRANGA,6.39
PB,02/01/2023,GASOLINA,IPIRANGA,4.73
PB,16/01/2023,GASOLINA,BRANCA,4.73
PB,17/01/2023,ETANOL,FAN,4.11
PB,09/01/2023,GASOLINA ADITIVADA,RAIZEN,4.99
PB,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.49
PB,02/01/2023,DIESEL,BRANCA,6.22
PB,04/01/2023,GASOLINA ADITIVADA,BRANCA,4.95
PB,11/01/2023,DIESEL S10,BRANCA,6.47
PB,03/01/2023,GASOLINA,ALESAT,4.89
PB,09/01/2023,GASOLINA,VIBRA ENERGIA,4.79
PB,18/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.04
PB,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.56
PB,09/01/2023,DIESEL,VIBRA ENERGIA,6.44
PB,24/01/2023,GNV,RAIZEN,4.44
