Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
PE,09/01/2023,GASOLINA,DISLUB,4.89
PE,12/01/2023,GASOLINA,IPIRANGA,5.49
PE,03/01/2023,GASOLINA ADITIVADA,DISLUB,5.09
PE,04/01/2023,DIESEL S10,RAIZEN,6.49
PE,09/01/2023,DIESEL S10,BRANCA,6.1
PE,24/01/2023,GASOLINA ADITIVADA,FEDERAL ENERGIA,4.59
PE,17/01/2023,DIESEL,VIBRA ENERGIA,6.44
PE,12/01/2023,GASOLINA ADITIVADA,RAIZEN,5.61
PE,09/01/2023,ETANOL,BRANCA,4.03
PE,10/01/2023,DIESEL S10,VIBRA ENERGIA,6.27
PE,24/01/2023,DIESEL S10,ALESAT,6.3
PE,24/01/2023,DIESEL S10,IPIRANGA,6.29
PE,18/01/2023,GASOLINA,TDC DISTRIBUIDORA,4.81
PE,25/01/2023,ETANOL,ALESAT,4.18
PE,23/01/2023,GASOLINA ADITIVADA,TDC DISTRIBUIDORA,4.74
PE,03/01/2023,DIESEL S10,RAIZEN,6.28
PE,17/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.99
PE,19/01/2023,DIESEL S10,VIBRA ENERGIA,6.14
PE,02/01/2023,GNV,VIBRA ENERGIA,3.99
PE,04/01/2023,GASOLINA,BRANCA,5.04
PE,03/01/2023,GNV,BRANCA,3.99
PE,11/01/2023,GASOLINA,VIBRA ENERGIA,4.96
PE,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.1
PE,17/01/2023,ETANOL,DISLUB,4.28
PE,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.01
PE,03/01/2023,ETANOL,SETTA DISTRIBUIDORA,3.89
PE,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.02
PE,03/01/2023,GASOLINA ADITIVADA,ALESAT,5.39
PE,11/01/2023,GNV,RAIZEN,3.99
PE,16/01/2023,GNV,DISLUB,3.99
PE,23/01/2023,DIESEL,BRANCA,6.39
PE,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.85
PE,18/01/2023,GASOLINA,RAIZEN,4.79
PE,03/01/2023,DIESEL,VIBRA ENERGIA,6.79
PE,03/01/2023,GASOLINA,SETTA DISTRIBUIDORA,4.82
PE,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.29
PE,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.45
PE,11/01/2023,GASOLINA,ALESAT,5.34
PE,17/01/2023,GASOLINA ADITIVADA,BRANCA,5.06
PE,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.21
PE,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.12
