Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
PI,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.58
PI,26/01/2023,DIESEL,IPIRANGA,6.47
PI,03/01/2023,DIESEL S10,BRANCA,6.73
PI,09/01/2023,DIESEL S10,VIBRA ENERGIA,7.59
PI,18/01/2023,DIESEL,SABBÁ,6.6
PI,09/01/2023,GASOLINA,BRANCA,5.17
PI,23/01/2023,GASOLINA,VIBRA ENERGIA,4.94
PI,10/01/2023,ETANOL,SABBÁ,4.22
PI,16/01/2023,DIESEL S10,IPIRANGA,6.72
PI,23/01/2023,DIESEL S10,BRANCA,6.49
PI,02/01/2023,ETANOL,SABBÁ,4.3
PI,11/01/2023,DIESEL S10,BRANCA,6.62
PI,02/01/2023,GASOLINA ADITIVADA,SABBÁ,5.52
PI,18/01/2023,GASOLINA,BRANCA,5.16
PI,25/01/2023,DIESEL,VIBRA ENERGIA,6.99
PI,11/01/2023,ETANOL,SABBÁ,4.49
PI,03/01/2023,GASOLINA,SABBÁ,5.4
PI,04/01/2023,DIESEL,IPIRANGA,6.71
PI,26/01/2023,DIESEL,VIBRA ENERGIA,6.63
PI,03/01/2023,DIESEL S10,IPIRANGA,6.74
PI,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.4
PI,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.24
PI,25/01/2023,GASOLINA ADITIVADA,SABBÁ,5.24
PI,10/01/2023,DIESEL,VIBRA ENERGIA,6.6
PI,11/01/2023,DIESEL,ALESAT,6.54
PI,23/01/2023,ETANOL,IPIRANGA,4.04
PI,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.27
PI,11/01/2023,DIESEL S10,IPIRANGA,6.59
PI,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.52
PI,17/01/2023,GASOLINA,VIBRA ENERGIA,5.04
PI,26/01/2023,DIESEL S10,IPIRANGA,6.57
PI,10/01/2023,DIESEL,BRANCA,6.52
PI,02/01/2023,DIESEL S10,SABBÁ,6.74
PI,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.87
PI,10/01/2023,ETANOL,VIBRA ENERGIA,4.26
PI,10/01/2023,DIESEL S10,SABBÁ,6.64
PI,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.52
PI,26/01/2023,GASOLINA ADITIVADA,BRANCA,5.18
PI,09/01/2023,GASOLINA,VIBRA ENERGIA,5.59
PI,17/01/2023,ETANOL,IPIRANGA,4.19
PI,17/01/2023,DIESEL,IPIRANGA,6.67
PI,09/01/2023,DIESEL S10,IPIRANGA,6.72
PI,16/01/2023,GASOLINA,BRANCA,5.07
PI,02/01/2023,DIESEL,IPIRANGA,6.91
PI,26/01/2023,ETANOL,VIBRA ENERGIA,4.71
PI,03/01/2023,GASOLINA,BRANCA,5.4
PI,10/01/2023,GASOLINA,BRANCA,5.28
PI,11/01/2023,GASOLINA,ALESAT,5.19
PI,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.29
PI,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.97
PI,17/01/2023,DIESEL S10,IPIRANGA,6.69
PI,03/01/2023,GASOLINA ADITIVADA,SABBÁ,5.48
PI,02/01/2023,DIESEL,VIBRA ENERGIA,7.16
PI,25/01/2023,DIESEL,IPIRANGA,6.63
PI,26/01/2023,ETANOL,IPIRANGA,4.19
PI,03/01/2023,ETANOL,VIBRA ENERGIA,4.45
PI,25/01/2023,DIESEL S10,SABBÁ,6.38
PI,03/01/2023,ETANOL,BRANCA,4.32
PI,02/01/2023,DIESEL,BRANCA,6.65
PI,11/01/2023,GASOLINA ADITIVADA,ALESAT,5.39
PI,23/01/2023,DIESEL S10,IPIRANGA,6.6
PI,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.41
PI,18/01/2023,ETANOL,BRANCA,4.18
PI,17/01/2023,ETANOL,VIBRA ENERGIA,4.1
PI,10/01/2023,GASOLINA,VIBRA ENERGIA,5.18
PI,09/01/2023,DIESEL,IPIRANGA,6.67
PI,04/01/2023,ETANOL,VIBRA ENERGIA,4.58
PI,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.79
PI,18/01/2023,DIESEL S10,SABBÁ,6.61
PI,17/01/2023,ETANOL,ALESAT,4.17
PI,04/01/2023,DIESEL S10,SABBÁ,6.84
PI,11/01/2023,GASOLINA,IPIRANGA,5.15
PI,02/01/2023,ETANOL,BRANCA,4.4
PI,25/01/2023,ETANOL,VIBRA ENERGIA,4.16
PI,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.79
PI,04/01/2023,ETANOL,IPIRANGA,4.48
PI,11/01/2023,GASOLINA,BRANCA,5.15
PI,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.32
PI,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.79
PI,17/01/2023,DIESEL,ALESAT,6.34
PI,25/01/2023,ETANOL,SABBÁ,3.97
PI,25/01/2023,DIESEL S10,BRANCA,6.61
PI,03/01/2023,GASOLINA,VIBRA ENERGIA,5.39
PI,16/01/2023,ETANOL,VIBRA ENERGIA,4.23
