Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,PI,PARNAIBA,HELIO CORREIA LIMA,05.809.869/0001-03,AVENIDA DEPUTADO PINHEIRO MACHADO,1505,,PIAUI,64208-335,ETANOL,12/04/2023,4.09,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,HELIO CORREIA LIMA,05.809.869/0001-03,AVENIDA DEPUTADO PINHEIRO MACHADO,1505,,PIAUI,64208-335,DIESEL,12/04/2023,5.79,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,HELIO CORREIA LIMA,05.809.869/0001-03,AVENIDA DEPUTADO PINHEIRO MACHADO,1505,,PIAUI,64208-335,GASOLINA ADITIVADA,12/04/2023,5.49,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,HELIO CORREIA LIMA,05.809.869/0001-03,AVENIDA DEPUTADO PINHEIRO MACHADO,1505,,PIAUI,64208-335,GASOLINA,12/04/2023,5.49,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0007-18,AVENIDA PINHEIRO MACHADO,1852,,RODOVIARIA,64212-120,ETANOL,12/04/2023,4.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0007-18,AVENIDA PINHEIRO MACHADO,1852,,RODOVIARIA,64212-120,DIESEL S10,12/04/2023,6.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0007-18,AVENIDA PINHEIRO MACHADO,1852,,RODOVIARIA,64212-120,GASOLINA ADITIVADA,12/04/2023,6.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0007-18,AVENIDA PINHEIRO MACHADO,1852,,RODOVIARIA,64212-120,GASOLINA,12/04/2023,5.75,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO LUCAS LTDA,07.072.209/0001-00,AVENIDA PRINCEZA IZABEL,720,,SAO FRANCISCO,64218-750,ETANOL,12/04/2023,4.09,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO LUCAS LTDA,07.072.209/0001-00,AVENIDA PRINCEZA IZABEL,720,,SAO FRANCISCO,64218-750,DIESEL S10,12/04/2023,5.89,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO LUCAS LTDA,07.072.209/0001-00,AVENIDA PRINCEZA IZABEL,720,,SAO FRANCISCO,64218-750,DIESEL,12/04/2023,5.79,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO LUCAS LTDA,07.072.209/0001-00,AVENIDA PRINCEZA IZABEL,720,,SAO FRANCISCO,64218-750,GASOLINA ADITIVADA,12/04/2023,5.75,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO LUCAS LTDA,07.072.209/0001-00,AVENIDA PRINCEZA IZABEL,720,,SAO FRANCISCO,64218-750,GASOLINA,12/04/2023,5.45,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0001-60,AVENIDA PRINCESA ISABEL,864,,NOVA PARNAIBA,64218-750,ETANOL,12/04/2023,4.19,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0001-60,AVENIDA PRINCESA ISABEL,864,,NOVA PARNAIBA,64218-750,DIESEL,12/04/2023,5.79,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0001-60,AVENIDA PRINCESA ISABEL,864,,NOVA PARNAIBA,64218-750,GASOLINA ADITIVADA,12/04/2023,5.45,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0001-60,AVENIDA PRINCESA ISABEL,864,,NOVA PARNAIBA,64218-750,GASOLINA,12/04/2023,5.45,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0002-40,AVENIDA CAPITAO CLARO,18,,CENTRO,64200-500,ETANOL,12/04/2023,4.19,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0002-40,AVENIDA CAPITAO CLARO,18,,CENTRO,64200-500,DIESEL S10,12/04/2023,5.79,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0002-40,AVENIDA CAPITAO CLARO,18,,CENTRO,64200-500,GASOLINA ADITIVADA,12/04/2023,5.45,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,COMERCIO DE PETROLEO SAO RAIMUNDO LTDA,12.317.590/0002-40,AVENIDA CAPITAO CLARO,18,,CENTRO,64200-500,GASOLINA,12/04/2023,5.45,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0006-37,AVENIDA SAO SEBASTIAO,2000,,REIS VELOSO,64202-020,ETANOL,12/04/2023,4.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0006-37,AVENIDA SAO SEBASTIAO,2000,,REIS VELOSO,64202-020,DIESEL S10,12/04/2023,6.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0006-37,AVENIDA SAO SEBASTIAO,2000,,REIS VELOSO,64202-020,DIESEL,12/04/2023,6.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0006-37,AVENIDA SAO SEBASTIAO,2000,,REIS VELOSO,64202-020,GASOLINA ADITIVADA,12/04/2023,6.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0006-37,AVENIDA SAO SEBASTIAO,2000,,REIS VELOSO,64202-020,GASOLINA,12/04/2023,5.75,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0005-56,AVENIDA PINHEIRO MACHADO,3630,,SABIAZAL,64215-890,ETANOL,12/04/2023,4.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0005-56,AVENIDA PINHEIRO MACHADO,3630,,SABIAZAL,64215-890,DIESEL,12/04/2023,6.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,SANTOS IND E COM LTDA,23.523.384/0005-56,AVENIDA PINHEIRO MACHADO,3630,,SABIAZAL,64215-890,GASOLINA ADITIVADA,12/04/2023,5.75,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,COMERCIAL DE PETROLEO ESTACAO LTDA,03.663.819/0001-27,RUA PADRE RAIMUNDO VIEIRA,60,,FATIMA,64202-340,ETANOL,12/04/2023,4.19,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIAL DE PETROLEO ESTACAO LTDA,03.663.819/0001-27,RUA PADRE RAIMUNDO VIEIRA,60,,FATIMA,64202-340,DIESEL S10,12/04/2023,6.49,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIAL DE PETROLEO ESTACAO LTDA,03.663.819/0001-27,RUA PADRE RAIMUNDO VIEIRA,60,,FATIMA,64202-340,DIESEL,12/04/2023,6.39,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,COMERCIAL DE PETROLEO ESTACAO LTDA,03.663.819/0001-27,RUA PADRE RAIMUNDO VIEIRA,60,,FATIMA,64202-340,GASOLINA,12/04/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PICOS,",ANTONIO ROBERTO BATISTA",09.483.486/0001-30,AVENIDA SENADOR HELVIDIO NUNES,4416,,JUNCA,64600-000,DIESEL S10,10/04/2023,6.09,,R$ / litro,BRANCA,2023-11-21
NE,PI,PICOS,",ANTONIO ROBERTO BATISTA",09.483.486/0001-30,AVENIDA SENADOR HELVIDIO NUNES,4416,,JUNCA,64600-000,DIESEL,10/04/2023,6.05,,R$ / litro,BRANCA,2023-11-21
NE,PI,PICOS,",ANTONIO ROBERTO BATISTA",09.483.486/0001-30,AVENIDA SENADOR HELVIDIO NUNES,4416,,JUNCA,64600-000,GASOLINA ADITIVADA,10/04/2023,5.59,,R$ / litro,BRANCA,2023-11-21
NE,PI,PICOS,",ANTONIO ROBERTO BATISTA",09.483.486/0001-30,AVENIDA SENADOR HELVIDIO NUNES,4416,,JUNCA,64600-000,GASOLINA,10/04/2023,5.57,,R$ / litro,BRANCA,2023-11-21
NE,PI,TERESINA,FCN.X CARVALHO COMBUSTIVEL LTDA,09.641.208/0001-64,AVENIDA HOMERO CASTELO BRANCO,630,SALA  C,SAO CRISTOVAO,64048-400,ETANOL,12/04/2023,4.98,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FCN.X CARVALHO COMBUSTIVEL LTDA,09.641.208/0001-64,AVENIDA HOMERO CASTELO BRANCO,630,SALA  C,SAO CRISTOVAO,64048-400,DIESEL S10,12/04/2023,6.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FCN.X CARVALHO COMBUSTIVEL LTDA,09.641.208/0001-64,AVENIDA HOMERO CASTELO BRANCO,630,SALA  C,SAO CRISTOVAO,64048-400,GASOLINA ADITIVADA,12/04/2023,6.27,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FCN.X CARVALHO COMBUSTIVEL LTDA,09.641.208/0001-64,AVENIDA HOMERO CASTELO BRANCO,630,SALA  C,SAO CRISTOVAO,64048-400,GASOLINA,12/04/2023,5.87,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PARNAIBA,BARBARA NUNES BARBOSA SANTOS LTDA,02.705.744/0002-18,RUA TABAJARA,551,,SAO FRANCISCO,64215-210,DIESEL S10,12/04/2023,6.29,,R$ / litro,ALESAT,2023-11-21
NE,PI,PARNAIBA,BARBARA NUNES BARBOSA SANTOS LTDA,02.705.744/0002-18,RUA TABAJARA,551,,SAO FRANCISCO,64215-210,DIESEL,12/04/2023,6.25,,R$ / litro,ALESAT,2023-11-21
NE,PI,PARNAIBA,BARBARA NUNES BARBOSA SANTOS LTDA,02.705.744/0002-18,RUA TABAJARA,551,,SAO FRANCISCO,64215-210,GASOLINA ADITIVADA,12/04/2023,5.75,,R$ / litro,ALESAT,2023-11-21
NE,PI,PARNAIBA,BARBARA NUNES BARBOSA SANTOS LTDA,02.705.744/0002-18,RUA TABAJARA,551,,SAO FRANCISCO,64215-210,GASOLINA,12/04/2023,5.75,,R$ / litro,ALESAT,2023-11-21
NE,PI,TERESINA,CACIQUE PETROLEO LTDA,06.656.656/0018-91,RUA OLAVO BILAC,989,SUL,CENTRO,64001-280,ETANOL,11/04/2023,4.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,CACIQUE PETROLEO LTDA,06.656.656/0018-91,RUA OLAVO BILAC,989,SUL,CENTRO,64001-280,GASOLINA ADITIVADA,11/04/2023,6.19,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,CACIQUE PETROLEO LTDA,06.656.656/0018-91,RUA OLAVO BILAC,989,SUL,CENTRO,64001-280,GASOLINA,11/04/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,G. & S. PETROLEO LTDA,10.919.164/0002-51,RUA HONORIO PARENTE,2016,,ININGA,64048-425,ETANOL,12/04/2023,4.19,,R$ / litro,BRANCA,2023-11-21
NE,PI,TERESINA,G. & S. PETROLEO LTDA,10.919.164/0002-51,RUA HONORIO PARENTE,2016,,ININGA,64048-425,DIESEL S10,12/04/2023,5.99,,R$ / litro,BRANCA,2023-11-21
NE,PI,TERESINA,G. & S. PETROLEO LTDA,10.919.164/0002-51,RUA HONORIO PARENTE,2016,,ININGA,64048-425,GASOLINA ADITIVADA,12/04/2023,5.86,,R$ / litro,BRANCA,2023-11-21
NE,PI,TERESINA,G. & S. PETROLEO LTDA,10.919.164/0002-51,RUA HONORIO PARENTE,2016,,ININGA,64048-425,GASOLINA,12/04/2023,5.86,,R$ / litro,BRANCA,2023-11-21
NE,PI,PARNAIBA,POSTO MAIS PARNAIBA AEROPORTO LTDA,12.504.332/0001-92,RODOVIA BR 343,SN,"KM    8,14",SAO JUDAS TADEU,64206-260,ETANOL,12/04/2023,4.09,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,POSTO MAIS PARNAIBA AEROPORTO LTDA,12.504.332/0001-92,RODOVIA BR 343,SN,"KM    8,14",SAO JUDAS TADEU,64206-260,DIESEL S10,12/04/2023,5.79,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,POSTO MAIS PARNAIBA AEROPORTO LTDA,12.504.332/0001-92,RODOVIA BR 343,SN,"KM    8,14",SAO JUDAS TADEU,64206-260,GASOLINA ADITIVADA,12/04/2023,5.79,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PARNAIBA,POSTO MAIS PARNAIBA AEROPORTO LTDA,12.504.332/0001-92,RODOVIA BR 343,SN,"KM    8,14",SAO JUDAS TADEU,64206-260,GASOLINA,12/04/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
NE,PI,PIRIPIRI,PETROLEO PIRIPIRIENSE LTDA,14.770.310/0001-08,AVENIDA RIO DOS MATOS,520,,GERMANO,64260-000,DIESEL,12/04/2023,6.39,,R$ / litro,BRANCA,2023-11-21
NE,PI,PIRIPIRI,PETROLEO PIRIPIRIENSE LTDA,14.770.310/0001-08,AVENIDA RIO DOS MATOS,520,,GERMANO,64260-000,GASOLINA,12/04/2023,5.79,,R$ / litro,BRANCA,2023-11-21
NE,PI,TERESINA,OLYMPIO & OLYMPIO LTDA,12.826.224/0001-36,RUA DOM BOSCO,3067,,SAMAPI,64058-040,DIESEL,12/04/2023,5.97,,R$ / litro,SABBÁ,2023-11-21
NE,PI,TERESINA,OLYMPIO & OLYMPIO LTDA,12.826.224/0001-36,RUA DOM BOSCO,3067,,SAMAPI,64058-040,GASOLINA ADITIVADA,12/04/2023,5.99,,R$ / litro,SABBÁ,2023-11-21
NE,PI,TERESINA,FELIPE BARTZ MACHADO EIRELI,15.219.109/0001-91,AVENIDA BARAO DE GURGUEIA,1328,SALA  01,VERMELHA,64018-290,ETANOL,11/04/2023,4.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FELIPE BARTZ MACHADO EIRELI,15.219.109/0001-91,AVENIDA BARAO DE GURGUEIA,1328,SALA  01,VERMELHA,64018-290,DIESEL S10,11/04/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FELIPE BARTZ MACHADO EIRELI,15.219.109/0001-91,AVENIDA BARAO DE GURGUEIA,1328,SALA  01,VERMELHA,64018-290,DIESEL,11/04/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FELIPE BARTZ MACHADO EIRELI,15.219.109/0001-91,AVENIDA BARAO DE GURGUEIA,1328,SALA  01,VERMELHA,64018-290,GASOLINA ADITIVADA,11/04/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,TERESINA,FELIPE BARTZ MACHADO EIRELI,15.219.109/0001-91,AVENIDA BARAO DE GURGUEIA,1328,SALA  01,VERMELHA,64018-290,GASOLINA,11/04/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,PI,PIRIPIRI,POSTO PIRIPIRI LTDA,14.577.380/0001-36,AVENIDA ADERSON FERREIRA,2390,,RUSSINHA,64260-000,ETANOL,11/04/2023,4.49,,R$ / litro,BRANCA,2023-11-21
NE,PI,PIRIPIRI,POSTO PIRIPIRI LTDA,14.577.380/0001-36,AVENIDA ADERSON FERREIRA,2390,,RUSSINHA,64260-000,DIESEL S10,11/04/2023,6.19,,R$ / litro,BRANCA,2023-11-21
NE,PI,PIRIPIRI,POSTO PIRIPIRI LTDA,14.577.380/0001-36,AVENIDA ADERSON FERREIRA,2390,,RUSSINHA,64260-000,DIESEL,11/04/2023,6.15,,R$ / litro,BRANCA,2023-11-21
