Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
PR,03/01/2023,DIESEL,STANG,6.12
PR,11/01/2023,ETANOL,POTENCIAL,4.27
PR,12/01/2023,ETANOL,STANG,3.79
PR,18/01/2023,DIESEL S10,CIAPETRO,5.89
PR,18/01/2023,DIESEL S10,BRANCA,6.32
PR,03/01/2023,GASOLINA,BRANCA,5.03
PR,05/01/2023,DIESEL S10,CIAPETRO,6.79
PR,11/01/2023,ETANOL,IPIRANGA,4.12
PR,10/01/2023,GASOLINA ADITIVADA,CIAPETRO,5.49
PR,18/01/2023,GASOLINA,POTENCIAL,4.94
PR,17/01/2023,DIESEL S10,RODOIL,6.28
PR,17/01/2023,GASOLINA ADITIVADA,STANG,5.09
PR,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.93
PR,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.36
PR,10/01/2023,ETANOL,IPIRANGA,4.28
PR,12/01/2023,ETANOL,BRANCA,4.12
PR,23/01/2023,DIESEL,IPIRANGA,6.21
PR,04/01/2023,DIESEL S10,BRANCA,6.19
PR,03/01/2023,GASOLINA,VIBRA ENERGIA,5.3
PR,12/01/2023,ETANOL,IPIRANGA,4.51
PR,12/01/2023,DIESEL,VIBRA ENERGIA,5.99
PR,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.23
PR,20/01/2023,DIESEL,VIBRA ENERGIA,6.19
PR,24/01/2023,GASOLINA,VIBRA ENERGIA,5.03
PR,20/01/2023,GASOLINA,ESTRADA,4.99
PR,17/01/2023,DIESEL,RAIZEN,6.11
PR,05/01/2023,DIESEL S10,RAIZEN,6.53
PR,02/01/2023,GASOLINA,CIAPETRO,5.18
PR,16/01/2023,ETANOL,POTENCIAL,4.09
PR,18/01/2023,GASOLINA,VIBRA ENERGIA,5.02
PR,25/01/2023,DIESEL,CIAPETRO,6.12
PR,03/01/2023,DIESEL,IPIRANGA,6.4
PR,18/01/2023,GNV,RAIZEN,5.89
PR,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.28
PR,25/01/2023,DIESEL,BRANCA,6.21
PR,25/01/2023,DIESEL S10,POTENCIAL,6.49
PR,25/01/2023,ETANOL,ALESAT,4.2
PR,24/01/2023,DIESEL,STANG,5.89
PR,11/01/2023,DIESEL S10,MAXSUL,6.37
PR,05/01/2023,DIESEL,ALESAT,6.49
PR,12/01/2023,DIESEL S10,IPIRANGA,6.42
PR,18/01/2023,DIESEL,PELIKANO,5.69
PR,11/01/2023,ETANOL,MAXSUL,3.79
PR,23/01/2023,DIESEL,POTENCIAL,5.99
PR,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.49
PR,12/01/2023,ETANOL,RAIZEN,4.3
PR,03/01/2023,DIESEL S10,STANG,6.25
PR,20/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
