Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
RJ,09/01/2023,DIESEL S10,IPIRANGA,6.82
RJ,10/01/2023,GASOLINA,RAIZEN,5.0
RJ,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.33
RJ,11/01/2023,GNV,BRANCA,5.24
RJ,24/01/2023,DIESEL,IPIRANGA,6.05
RJ,03/01/2023,DIESEL S10,IPIRANGA,6.6
RJ,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.21
RJ,16/01/2023,GNV,RAIZEN,4.73
RJ,12/01/2023,DIESEL S10,BRANCA,6.28
RJ,24/01/2023,GASOLINA,IPIRANGA,4.99
RJ,04/01/2023,GNV,IPIRANGA,4.72
RJ,11/01/2023,GASOLINA,ALESAT,5.35
RJ,17/01/2023,ETANOL,ALESAT,4.9
RJ,11/01/2023,GASOLINA,VIBRA ENERGIA,5.28
RJ,09/01/2023,DIESEL S10,RAIZEN,6.39
RJ,25/01/2023,GASOLINA,RAIZEN,5.31
RJ,26/01/2023,GASOLINA ADITIVADA,BRANCA,5.11
RJ,04/01/2023,GNV,BRANCA,4.79
RJ,23/01/2023,ETANOL,IPIRANGA,4.58
RJ,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.93
RJ,26/01/2023,GASOLINA,VIBRA ENERGIA,5.26
RJ,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.34
RJ,18/01/2023,GASOLINA,BRANCA,4.98
RJ,11/01/2023,DIESEL S10,RAIZEN,6.59
RJ,12/01/2023,ETANOL,IPIRANGA,4.6
RJ,12/01/2023,GASOLINA,IPIRANGA,5.11
RJ,26/01/2023,GASOLINA ADITIVADA,RAIZEN,6.29
RJ,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.29
RJ,25/01/2023,GASOLINA ADITIVADA,BRANCA,5.11
RJ,04/01/2023,GASOLINA,TOTALENERGIES,4.99
RJ,17/01/2023,GASOLINA,VIBRA ENERGIA,5.03
RJ,17/01/2023,ETANOL,VIBRA ENERGIA,4.52
RJ,26/01/2023,DIESEL,BRANCA,6.11
RJ,24/01/2023,ETANOL,ALESAT,4.57
RJ,02/01/2023,ETANOL,RAIZEN,4.75
RJ,11/01/2023,GASOLINA,IPIRANGA,5.25
RJ,16/01/2023,ETANOL,RAIZEN,4.59
RJ,19/01/2023,DIESEL,BRANCA,5.88
RJ,18/01/2023,GASOLINA,RAIZEN,4.99
RJ,23/01/2023,GASOLINA ADITIVADA,ALESAT,4.89
RJ,17/01/2023,DIESEL S10,RAIZEN,6.38
RJ,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.14
RJ,10/01/2023,GNV,ALESAT,4.99
RJ,23/01/2023,GASOLINA,IPIRANGA,5.24
RJ,09/01/2023,DIESEL S10,BRANCA,6.29
RJ,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.01
RJ,03/01/2023,GASOLINA,IPIRANGA,5.23
RJ,11/01/2023,ETANOL,IPIRANGA,4.56
RJ,10/01/2023,GASOLINA,VIBRA ENERGIA,5.08
RJ,24/01/2023,ETANOL,VIBRA ENERGIA,4.39
RJ,04/01/2023,GNV,VIBRA ENERGIA,4.69
RJ,09/01/2023,GASOLINA,RAIZEN,5.26
RJ,26/01/2023,DIESEL S10,BRANCA,6.11
RJ,19/01/2023,GNV,TOTALENERGIES,4.48
RJ,02/01/2023,ETANOL,BRANCA,4.59
RJ,02/01/2023,ETANOL,IPIRANGA,4.75
RJ,11/01/2023,DIESEL S10,IPIRANGA,6.59
RJ,19/01/2023,DIESEL S10,VIBRA ENERGIA,6.27
RJ,25/01/2023,DIESEL S10,IPIRANGA,6.49
RJ,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.28
RJ,11/01/2023,DIESEL S10,BRANCA,6.35
RJ,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.45
RJ,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.33
RJ,10/01/2023,GASOLINA,ALESAT,5.43
RJ,17/01/2023,GNV,BRANCA,4.98
RJ,19/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,5.05
RJ,23/01/2023,GNV,ALESAT,4.89
RJ,11/01/2023,DIESEL,BRANCA,6.15
RJ,18/01/2023,GNV,RAIZEN,4.58
RJ,26/01/2023,DIESEL,VIBRA ENERGIA,6.59
RJ,17/01/2023,GNV,RAIZEN,4.88
RJ,11/01/2023,DIESEL S10,ALESAT,6.48
