Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,RJ,ANGRA DOS REIS,POSTO PRAIA DA RIBEIRA LTDA,03.825.735/0001-42,RODOVIA BR 101,S/N,"KM 487,8 - LADO ESQUERDO",BELEM TQ. DA JAPUIBA,23900-000,DIESEL S10,02/01/2023,7.69,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO PRAIA DA RIBEIRA LTDA,03.825.735/0001-42,RODOVIA BR 101,S/N,"KM 487,8 - LADO ESQUERDO",BELEM TQ. DA JAPUIBA,23900-000,DIESEL,02/01/2023,7.64,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO PRAIA DA RIBEIRA LTDA,03.825.735/0001-42,RODOVIA BR 101,S/N,"KM 487,8 - LADO ESQUERDO",BELEM TQ. DA JAPUIBA,23900-000,GASOLINA ADITIVADA,02/01/2023,6.69,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO PRAIA DA RIBEIRA LTDA,03.825.735/0001-42,RODOVIA BR 101,S/N,"KM 487,8 - LADO ESQUERDO",BELEM TQ. DA JAPUIBA,23900-000,GASOLINA,02/01/2023,6.49,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ANGRA DOS REIS,IMPERIAL ANGRA AUTO POSTO LTDA,05.547.553/0001-82,RUA DAS PALMEIRAS,210,,PARQUE DAS PALMEIRAS,23900-000,ETANOL,03/01/2023,4.99,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ANGRA DOS REIS,IMPERIAL ANGRA AUTO POSTO LTDA,05.547.553/0001-82,RUA DAS PALMEIRAS,210,,PARQUE DAS PALMEIRAS,23900-000,GASOLINA ADITIVADA,03/01/2023,5.78,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ANGRA DOS REIS,IMPERIAL ANGRA AUTO POSTO LTDA,05.547.553/0001-82,RUA DAS PALMEIRAS,210,,PARQUE DAS PALMEIRAS,23900-000,GASOLINA,03/01/2023,5.54,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ANGRA DOS REIS,AUTO POSTO LACASEMA LIMITADA,30.799.456/0001-24,AVENIDA ALMTE JAIR C T DE BRITO,417,,PRQ DAS PALMEIRAS,23900-010,ETANOL,03/01/2023,4.88,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,AUTO POSTO LACASEMA LIMITADA,30.799.456/0001-24,AVENIDA ALMTE JAIR C T DE BRITO,417,,PRQ DAS PALMEIRAS,23900-010,GASOLINA ADITIVADA,03/01/2023,5.77,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,AUTO POSTO LACASEMA LIMITADA,30.799.456/0001-24,AVENIDA ALMTE JAIR C T DE BRITO,417,,PRQ DAS PALMEIRAS,23900-010,GASOLINA,03/01/2023,5.55,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO DOS SANTOS REIS LTDA.,29.051.570/0001-92,RUA JULIO MARIA,235,0,CENTRO,23900-000,ETANOL,03/01/2023,4.98,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO DOS SANTOS REIS LTDA.,29.051.570/0001-92,RUA JULIO MARIA,235,0,CENTRO,23900-000,DIESEL S10,03/01/2023,7.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO DOS SANTOS REIS LTDA.,29.051.570/0001-92,RUA JULIO MARIA,235,0,CENTRO,23900-000,DIESEL,03/01/2023,7.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO DOS SANTOS REIS LTDA.,29.051.570/0001-92,RUA JULIO MARIA,235,0,CENTRO,23900-000,GASOLINA ADITIVADA,03/01/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO DOS SANTOS REIS LTDA.,29.051.570/0001-92,RUA JULIO MARIA,235,0,CENTRO,23900-000,GASOLINA,03/01/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO SAO JOSE LIMITADA,28.502.714/0001-17,RUA PREFEITO JOAO GALINDO,75,,CENTRO,23900-010,ETANOL,03/01/2023,4.78,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO SAO JOSE LIMITADA,28.502.714/0001-17,RUA PREFEITO JOAO GALINDO,75,,CENTRO,23900-010,DIESEL S10,03/01/2023,7.29,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO SAO JOSE LIMITADA,28.502.714/0001-17,RUA PREFEITO JOAO GALINDO,75,,CENTRO,23900-010,GASOLINA ADITIVADA,03/01/2023,5.53,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,POSTO SAO JOSE LIMITADA,28.502.714/0001-17,RUA PREFEITO JOAO GALINDO,75,,CENTRO,23900-010,GASOLINA,03/01/2023,5.53,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ANGRA DOS REIS,AUTO POSTO ESAL LTDA.,02.409.350/0001-31,RUA LUIZ ELIAS MIGUEL,90,LOTE  4 A 6 E 11          QUADRA01,PARQUE DAS PALMEIRAS,23906-400,DIESEL S10,03/01/2023,7.29,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ANGRA DOS REIS,AUTO POSTO ESAL LTDA.,02.409.350/0001-31,RUA LUIZ ELIAS MIGUEL,90,LOTE  4 A 6 E 11          QUADRA01,PARQUE DAS PALMEIRAS,23906-400,GASOLINA ADITIVADA,03/01/2023,5.89,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ANGRA DOS REIS,AUTO POSTO ESAL LTDA.,02.409.350/0001-31,RUA LUIZ ELIAS MIGUEL,90,LOTE  4 A 6 E 11          QUADRA01,PARQUE DAS PALMEIRAS,23906-400,GASOLINA,03/01/2023,5.63,,R$ / litro,IPIRANGA,2023-11-21
SE,RJ,ARARUAMA,GARCIA TINOCO COMERCIO DE COMBUSTIVEIS LTDA,08.090.418/0001-49,RODOVIA AMARAL PEIXOTO,S/N,"LOTEAMENTO PARQUE NOVO HORIZONTE, LOTES 01 A 07",PARATI,28970-000,ETANOL,02/01/2023,4.79,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ARARUAMA,GARCIA TINOCO COMERCIO DE COMBUSTIVEIS LTDA,08.090.418/0001-49,RODOVIA AMARAL PEIXOTO,S/N,"LOTEAMENTO PARQUE NOVO HORIZONTE, LOTES 01 A 07",PARATI,28970-000,DIESEL S10,02/01/2023,6.79,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ARARUAMA,GARCIA TINOCO COMERCIO DE COMBUSTIVEIS LTDA,08.090.418/0001-49,RODOVIA AMARAL PEIXOTO,S/N,"LOTEAMENTO PARQUE NOVO HORIZONTE, LOTES 01 A 07",PARATI,28970-000,GASOLINA ADITIVADA,02/01/2023,5.99,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ARARUAMA,GARCIA TINOCO COMERCIO DE COMBUSTIVEIS LTDA,08.090.418/0001-49,RODOVIA AMARAL PEIXOTO,S/N,"LOTEAMENTO PARQUE NOVO HORIZONTE, LOTES 01 A 07",PARATI,28970-000,GASOLINA,02/01/2023,5.89,,R$ / litro,RAIZEN,2023-11-21
SE,RJ,ARARUAMA,POSTO DE COMBUSTÍVEL CAPRI LAGOS LTDA.,05.848.371/0001-41,RODOVIA AMARAL PEIXOTO,90130,,VILA CAPRI,28970-000,ETANOL,02/01/2023,4.49,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ARARUAMA,POSTO DE COMBUSTÍVEL CAPRI LAGOS LTDA.,05.848.371/0001-41,RODOVIA AMARAL PEIXOTO,90130,,VILA CAPRI,28970-000,DIESEL S10,02/01/2023,6.69,,R$ / litro,BRANCA,2023-11-21
SE,RJ,ARARUAMA,POSTO DE COMBUSTÍVEL CAPRI LAGOS LTDA.,05.848.371/0001-41,RODOVIA AMARAL PEIXOTO,90130,,VILA CAPRI,28970-000,GASOLINA,02/01/2023,5.49,,R$ / litro,BRANCA,2023-11-21
