Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
RN,04/01/2023,ETANOL,FAN,4.09
RN,09/01/2023,DIESEL S10,RAIZEN,6.96
RN,24/01/2023,ETANOL,RAIZEN,4.27
RN,24/01/2023,ETANOL,ALESAT,4.24
RN,17/01/2023,DIESEL S10,ALESAT,6.64
RN,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.34
RN,11/01/2023,DIESEL,VIBRA ENERGIA,6.49
RN,25/01/2023,GASOLINA,RAIZEN,5.19
RN,16/01/2023,ETANOL,ALESAT,4.12
RN,09/01/2023,DIESEL,IPIRANGA,6.72
RN,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.27
RN,26/01/2023,DIESEL S10,BRANCA,6.59
RN,12/01/2023,ETANOL,RAIZEN,4.3
RN,23/01/2023,DIESEL S10,IPIRANGA,6.96
RN,02/01/2023,DIESEL,BRANCA,6.05
RN,10/01/2023,ETANOL,ALESAT,3.99
RN,12/01/2023,DIESEL S10,IPIRANGA,6.89
RN,11/01/2023,DIESEL S10,ALESAT,6.73
RN,26/01/2023,GASOLINA,BRANCA,5.09
RN,16/01/2023,GNV,ALESAT,4.12
RN,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.19
RN,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.34
RN,18/01/2023,GASOLINA,BRANCA,5.13
RN,03/01/2023,DIESEL S10,IPIRANGA,6.99
RN,12/01/2023,DIESEL S10,RAIZEN,6.69
RN,23/01/2023,ETANOL,BRANCA,3.96
RN,25/01/2023,GASOLINA,IPIRANGA,5.15
RN,11/01/2023,GASOLINA,BRANCA,5.15
RN,18/01/2023,GNV,BRANCA,4.17
RN,24/01/2023,DIESEL,BRANCA,6.76
RN,11/01/2023,DIESEL S10,BRANCA,6.82
RN,02/01/2023,GASOLINA,VIBRA ENERGIA,5.29
RN,11/01/2023,ETANOL,BRANCA,4.44
RN,26/01/2023,DIESEL,VIBRA ENERGIA,6.49
RN,04/01/2023,DIESEL S10,BRANCA,6.56
RN,04/01/2023,DIESEL S10,RAIZEN,6.69
RN,09/01/2023,DIESEL,RAIZEN,6.79
RN,11/01/2023,DIESEL,IPIRANGA,6.59
RN,18/01/2023,ETANOL,VIBRA ENERGIA,4.3
RN,24/01/2023,GASOLINA,RAIZEN,5.04
RN,09/01/2023,GNV,RAIZEN,4.2
RN,26/01/2023,ETANOL,BRANCA,3.99
RN,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.29
RN,09/01/2023,GNV,BRANCA,4.19
RN,16/01/2023,GASOLINA,RAIZEN,5.24
RN,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.24
RN,03/01/2023,GASOLINA,VIBRA ENERGIA,5.22
RN,03/01/2023,ETANOL,IPIRANGA,4.29
RN,11/01/2023,GASOLINA,IPIRANGA,5.14
RN,18/01/2023,ETANOL,RAIZEN,4.35
RN,24/01/2023,GASOLINA,VIBRA ENERGIA,5.1
RN,02/01/2023,ETANOL,BRANCA,3.88
RN,04/01/2023,DIESEL,VIBRA ENERGIA,6.52
RN,18/01/2023,GASOLINA,FAN,5.19
RN,11/01/2023,GNV,ALESAT,4.11
RN,09/01/2023,GASOLINA,VIBRA ENERGIA,5.25
RN,09/01/2023,GASOLINA,RAIZEN,5.27
RN,23/01/2023,DIESEL,IPIRANGA,6.77
RN,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.22
RN,17/01/2023,ETANOL,IPIRANGA,4.19
RN,23/01/2023,ETANOL,IPIRANGA,4.31
RN,12/01/2023,GASOLINA,RAIZEN,5.19
RN,02/01/2023,ETANOL,VIBRA ENERGIA,3.99
RN,09/01/2023,GASOLINA,ALESAT,5.25
RN,10/01/2023,DIESEL,BRANCA,6.66
RN,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.22
RN,24/01/2023,GASOLINA,ALESAT,5.03
RN,04/01/2023,GASOLINA,IPIRANGA,5.26
RN,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.06
RN,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.66
RN,10/01/2023,GASOLINA ADITIVADA,RAIZEN,5.35
RN,10/01/2023,GASOLINA,VIBRA ENERGIA,5.17
RN,24/01/2023,GASOLINA,IPIRANGA,5.2
RN,16/01/2023,DIESEL S10,RAIZEN,6.94
RN,23/01/2023,DIESEL S10,BRANCA,6.4
RN,12/01/2023,ETANOL,FAN,4.19
RN,24/01/2023,DIESEL S10,RAIZEN,6.72
RN,25/01/2023,ETANOL,VIBRA ENERGIA,4.1
RN,24/01/2023,ETANOL,IPIRANGA,4.49
RN,18/01/2023,DIESEL,RAIZEN,6.48
RN,23/01/2023,GASOLINA,ALESAT,5.16
RN,26/01/2023,DIESEL S10,RAIZEN,6.65
RN,18/01/2023,GASOLINA,VIBRA ENERGIA,5.24
RN,17/01/2023,GASOLINA,IPIRANGA,5.19
RN,10/01/2023,GASOLINA,BRANCA,5.19
RN,04/01/2023,GNV,BRANCA,4.19
RN,18/01/2023,DIESEL,FAN,6.59
RN,23/01/2023,GASOLINA,IPIRANGA,5.2
RN,24/01/2023,DIESEL,FAN,6.49
RN,10/01/2023,DIESEL,RAIZEN,6.59
RN,16/01/2023,DIESEL,RAIZEN,6.39
RN,23/01/2023,DIESEL S10,ALESAT,6.55
RN,23/01/2023,ETANOL,ALESAT,4.07
RN,02/01/2023,GNV,BRANCA,4.19
RN,23/01/2023,DIESEL,VIBRA ENERGIA,6.47
RN,25/01/2023,GASOLINA,VIBRA ENERGIA,5.19
RN,16/01/2023,GASOLINA,IPIRANGA,5.19
RN,03/01/2023,GASOLINA,BRANCA,5.19
RN,03/01/2023,GNV,BRANCA,4.17
RN,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.31
RN,09/01/2023,GASOLINA,BRANCA,5.16
RN,09/01/2023,ETANOL,RAIZEN,4.38
RN,23/01/2023,GASOLINA,BRANCA,5.07
RN,18/01/2023,DIESEL S10,IPIRANGA,6.89
RN,17/01/2023,DIESEL S10,IPIRANGA,6.59
RN,02/01/2023,GASOLINA,IPIRANGA,5.29
RN,04/01/2023,DIESEL,RAIZEN,6.39
RN,16/01/2023,DIESEL,IPIRANGA,6.59
RN,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.14
RN,11/01/2023,GASOLINA ADITIVADA,ALESAT,5.35
RN,24/01/2023,GASOLINA,FAN,5.19
RN,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.2
RN,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.28
RN,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.12
RN,02/01/2023,DIESEL S10,IPIRANGA,6.59
RN,09/01/2023,DIESEL,VIBRA ENERGIA,6.72
RN,03/01/2023,DIESEL S10,ALESAT,6.59
RN,10/01/2023,GNV,RAIZEN,4.2
RN,09/01/2023,ETANOL,ALESAT,4.09
RN,16/01/2023,DIESEL,BRANCA,6.85
RN,04/01/2023,DIESEL,IPIRANGA,6.89
RN,25/01/2023,ETANOL,IPIRANGA,4.29
