Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,RN,NATAL,MENDES PETROLEO LTDA,09.142.543/0001-18,AVENIDA PRUDENTE DE MORAIS,5050,,LAGOA NOVA,59063-200,ETANOL,04/01/2023,3.99,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,MENDES PETROLEO LTDA,09.142.543/0001-18,AVENIDA PRUDENTE DE MORAIS,5050,,LAGOA NOVA,59063-200,DIESEL S10,04/01/2023,6.59,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,MENDES PETROLEO LTDA,09.142.543/0001-18,AVENIDA PRUDENTE DE MORAIS,5050,,LAGOA NOVA,59063-200,GASOLINA ADITIVADA,04/01/2023,5.25,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,MENDES PETROLEO LTDA,09.142.543/0001-18,AVENIDA PRUDENTE DE MORAIS,5050,,LAGOA NOVA,59063-200,GASOLINA,04/01/2023,5.25,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,MENDES PETROLEO LTDA,09.142.543/0001-18,AVENIDA PRUDENTE DE MORAIS,5050,,LAGOA NOVA,59063-200,GNV,04/01/2023,4.19,,R$ / m³,BRANCA,2023-11-21
NE,RN,NATAL,TRANSPORTES E COMERCIO NOVO HORIZONTE LTDA,35.283.670/0001-47,AVENIDA DAO SILVEIRA,3712,,CANDELARIA,59066-180,GASOLINA ADITIVADA,04/01/2023,5.25,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,TRANSPORTES E COMERCIO NOVO HORIZONTE LTDA,35.283.670/0001-47,AVENIDA DAO SILVEIRA,3712,,CANDELARIA,59066-180,GASOLINA,04/01/2023,5.25,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,TRANSPORTES E COMERCIO NOVO HORIZONTE LTDA,35.283.670/0001-47,AVENIDA DAO SILVEIRA,3712,,CANDELARIA,59066-180,ETANOL,04/01/2023,3.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,TRANSPORTES E COMERCIO NOVO HORIZONTE LTDA,35.283.670/0001-47,AVENIDA DAO SILVEIRA,3712,,CANDELARIA,59066-180,DIESEL S10,04/01/2023,6.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,TRANSPORTES E COMERCIO NOVO HORIZONTE LTDA,35.283.670/0001-47,AVENIDA DAO SILVEIRA,3712,,CANDELARIA,59066-180,DIESEL,04/01/2023,6.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,SOCIEDADE DOIS IRMAOS LTDA,08.208.910/0001-76,RUA MARIO NEGOCIO,2298,,QUINTAS,59037-155,ETANOL,03/01/2023,3.96,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,SOCIEDADE DOIS IRMAOS LTDA,08.208.910/0001-76,RUA MARIO NEGOCIO,2298,,QUINTAS,59037-155,DIESEL S10,03/01/2023,7.09,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,SOCIEDADE DOIS IRMAOS LTDA,08.208.910/0001-76,RUA MARIO NEGOCIO,2298,,QUINTAS,59037-155,GASOLINA ADITIVADA,03/01/2023,5.29,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,SOCIEDADE DOIS IRMAOS LTDA,08.208.910/0001-76,RUA MARIO NEGOCIO,2298,,QUINTAS,59037-155,GASOLINA,03/01/2023,5.29,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,SOCIEDADE DOIS IRMAOS LTDA,08.208.910/0001-76,RUA MARIO NEGOCIO,2298,,QUINTAS,59037-155,GNV,03/01/2023,4.17,,R$ / m³,BRANCA,2023-11-21
NE,RN,NATAL,FERREIRA & ALVARES LTDA,04.534.989/0001-74,RUA CORONEL ESTEVAM,1155,,ALECRIM,59030-000,ETANOL,03/01/2023,3.99,,R$ / litro,ALESAT,2023-11-21
NE,RN,NATAL,FERREIRA & ALVARES LTDA,04.534.989/0001-74,RUA CORONEL ESTEVAM,1155,,ALECRIM,59030-000,DIESEL S10,03/01/2023,6.59,,R$ / litro,ALESAT,2023-11-21
NE,RN,NATAL,FERREIRA & ALVARES LTDA,04.534.989/0001-74,RUA CORONEL ESTEVAM,1155,,ALECRIM,59030-000,GASOLINA ADITIVADA,03/01/2023,5.28,,R$ / litro,ALESAT,2023-11-21
NE,RN,NATAL,FERREIRA & ALVARES LTDA,04.534.989/0001-74,RUA CORONEL ESTEVAM,1155,,ALECRIM,59030-000,GASOLINA,03/01/2023,5.28,,R$ / litro,ALESAT,2023-11-21
NE,RN,NATAL,POSTOS CANAA LTDA,04.800.604/0001-73,AVENIDA DOUTOR JOAO MEDEIROS FILHO,900,ANTIGO 2761,POTENGI,59108-550,ETANOL,02/01/2023,3.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,POSTOS CANAA LTDA,04.800.604/0001-73,AVENIDA DOUTOR JOAO MEDEIROS FILHO,900,ANTIGO 2761,POTENGI,59108-550,DIESEL S10,02/01/2023,6.59,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,POSTOS CANAA LTDA,04.800.604/0001-73,AVENIDA DOUTOR JOAO MEDEIROS FILHO,900,ANTIGO 2761,POTENGI,59108-550,GASOLINA ADITIVADA,02/01/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,POSTOS CANAA LTDA,04.800.604/0001-73,AVENIDA DOUTOR JOAO MEDEIROS FILHO,900,ANTIGO 2761,POTENGI,59108-550,GASOLINA,02/01/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
NE,RN,NATAL,SM COMERCIAL DE DERIVADOS DE PETROLEO LTDA,03.459.547/0001-48,RUA MARANATA,425,,PLANALTO,59073-240,ETANOL,03/01/2023,4.16,,R$ / litro,BRANCA,2023-11-21
NE,RN,NATAL,SM COMERCIAL DE DERIVADOS DE PETROLEO LTDA,03.459.547/0001-48,RUA MARANATA,425,,PLANALTO,59073-240,DIESEL S10,03/01/2023,6.69,,R$ / litro,BRANCA,2023-11-21
