Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
RO,25/01/2023,DIESEL S10,IPIRANGA,7.17
RO,16/01/2023,DIESEL,VIBRA ENERGIA,6.96
RO,23/01/2023,GASOLINA,IPIRANGA,5.2
RO,11/01/2023,DIESEL S10,VIBRA ENERGIA,7.06
RO,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.86
RO,23/01/2023,DIESEL S10,EQUADOR,6.68
RO,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.43
RO,11/01/2023,DIESEL S10,BRANCA,7.0
RO,19/01/2023,DIESEL,BRANCA,7.18
RO,04/01/2023,ETANOL,VIBRA ENERGIA,4.64
RO,23/01/2023,ETANOL,EQUADOR,4.59
RO,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.2
RO,16/01/2023,GASOLINA,IPIRANGA,5.26
RO,04/01/2023,DIESEL S10,BRANCA,7.21
RO,03/01/2023,DIESEL,VIBRA ENERGIA,7.01
RO,10/01/2023,DIESEL,VIBRA ENERGIA,7.17
RO,02/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.29
RO,16/01/2023,DIESEL S10,SIMARELLI,6.99
RO,24/01/2023,DIESEL,VIBRA ENERGIA,6.99
RO,16/01/2023,ETANOL,IPIRANGA,5.17
RO,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.41
RO,11/01/2023,GASOLINA,IPIRANGA,5.39
RO,23/01/2023,DIESEL,EQUADOR,6.62
RO,04/01/2023,DIESEL S10,EQUADOR,7.49
RO,03/01/2023,DIESEL,ATEM' S,6.99
RO,11/01/2023,DIESEL S10,SABBÁ,6.98
RO,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.41
RO,03/01/2023,ETANOL,EQUADOR,4.59
RO,10/01/2023,ETANOL,IPIRANGA,4.88
RO,24/01/2023,ETANOL,BRANCA,4.56
RO,02/01/2023,DIESEL,IPIRANGA,7.23
RO,02/01/2023,ETANOL,SIMARELLI,4.49
RO,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.71
RO,17/01/2023,DIESEL S10,BRANCA,6.71
RO,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.57
RO,16/01/2023,ETANOL,SIMARELLI,4.49
RO,02/01/2023,DIESEL,SIMARELLI,6.77
RO,16/01/2023,GASOLINA,BRANCA,5.06
RO,17/01/2023,ETANOL,EQUADOR,4.59
RO,24/01/2023,DIESEL S10,BRANCA,6.75
RO,24/01/2023,GASOLINA,VIBRA ENERGIA,5.15
RO,23/01/2023,DIESEL S10,IPIRANGA,7.37
RO,19/01/2023,GASOLINA,VIBRA ENERGIA,5.17
RO,24/01/2023,DIESEL,ATEM' S,6.99
RO,24/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
RO,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.19
RO,02/01/2023,GASOLINA,IPIRANGA,5.38
RO,10/01/2023,ETANOL,ATEM' S,4.29
RO,04/01/2023,GASOLINA,IPIRANGA,5.35
RO,17/01/2023,GASOLINA,EQUADOR,4.94
RO,04/01/2023,GASOLINA,BRANCA,5.29
RO,10/01/2023,DIESEL,ATEM' S,6.99
RO,16/01/2023,DIESEL,BRANCA,7.09
RO,25/01/2023,DIESEL,VIBRA ENERGIA,6.7
RO,09/01/2023,DIESEL S10,IPIRANGA,7.28
RO,09/01/2023,GASOLINA,IPIRANGA,5.27
RO,24/01/2023,GASOLINA,EQUADOR,5.14
RO,04/01/2023,DIESEL,ATEM' S,7.19
RO,17/01/2023,DIESEL S10,VIBRA ENERGIA,7.14
RO,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.46
RO,11/01/2023,DIESEL,SABBÁ,6.97
RO,11/01/2023,GASOLINA,SABBÁ,5.14
RO,18/01/2023,GASOLINA,VIBRA ENERGIA,5.42
RO,10/01/2023,DIESEL S10,VIBRA ENERGIA,7.09
RO,23/01/2023,DIESEL,SIMARELLI,6.95
RO,02/01/2023,ETANOL,VIBRA ENERGIA,4.89
RO,09/01/2023,DIESEL S10,BRANCA,7.31
RO,17/01/2023,GASOLINA ADITIVADA,SABBÁ,5.29
RO,23/01/2023,DIESEL,BRANCA,7.23
RO,04/01/2023,DIESEL S10,IPIRANGA,7.22
RO,19/01/2023,DIESEL S10,EQUADOR,7.49
RO,10/01/2023,GASOLINA,BRANCA,5.21
RO,19/01/2023,ETANOL,IPIRANGA,4.99
RO,11/01/2023,GASOLINA,BRANCA,4.95
RO,11/01/2023,GASOLINA,VIBRA ENERGIA,5.1
RO,17/01/2023,GASOLINA,SABBÁ,4.99
RO,03/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
RO,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.36
RO,23/01/2023,GASOLINA,BRANCA,5.16
RO,02/01/2023,GASOLINA ADITIVADA,SABBÁ,5.69
RO,19/01/2023,GASOLINA ADITIVADA,BRANCA,5.13
RO,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.4
RO,18/01/2023,DIESEL,VIBRA ENERGIA,7.0
RO,24/01/2023,GASOLINA,SABBÁ,5.13
RO,17/01/2023,GASOLINA,IPIRANGA,5.25
RO,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.47
RO,23/01/2023,DIESEL S10,SIMARELLI,6.99
RO,03/01/2023,DIESEL,IPIRANGA,7.08
RO,03/01/2023,GASOLINA,VIBRA ENERGIA,5.16
RO,23/01/2023,ETANOL,IPIRANGA,5.1
RO,24/01/2023,DIESEL,BRANCA,6.78
RO,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.47
RO,17/01/2023,DIESEL,IPIRANGA,7.27
RO,03/01/2023,GASOLINA ADITIVADA,SABBÁ,5.24
RO,10/01/2023,DIESEL,BRANCA,7.05
RO,19/01/2023,DIESEL,ATEM' S,7.19
RO,17/01/2023,ETANOL,BRANCA,4.59
RO,09/01/2023,DIESEL,VIBRA ENERGIA,7.13
RO,16/01/2023,GASOLINA,VIBRA ENERGIA,5.06
RO,23/01/2023,DIESEL S10,BRANCA,7.19
RO,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.49
RO,04/01/2023,DIESEL S10,ATEM' S,7.24
RO,10/01/2023,ETANOL,VIBRA ENERGIA,4.78
RO,10/01/2023,ETANOL,BRANCA,4.65
RO,10/01/2023,GASOLINA,ATEM' S,5.19
RO,19/01/2023,DIESEL S10,VIBRA ENERGIA,7.49
RO,03/01/2023,DIESEL S10,ATEM' S,6.99
RO,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.15
RO,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.13
RO,16/01/2023,DIESEL,SIMARELLI,6.95
RO,03/01/2023,GASOLINA,ATEM' S,4.99
RO,03/01/2023,GASOLINA ADITIVADA,EQUADOR,5.26
RO,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.47
RO,03/01/2023,DIESEL,BRANCA,6.92
RO,02/01/2023,DIESEL S10,VIBRA ENERGIA,7.29
RO,23/01/2023,DIESEL,VIBRA ENERGIA,7.11
RO,25/01/2023,DIESEL,IPIRANGA,7.09
RO,16/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.33
RO,10/01/2023,DIESEL S10,IPIRANGA,7.35
RO,10/01/2023,GASOLINA,IPIRANGA,5.24
RO,17/01/2023,ETANOL,IPIRANGA,5.07
RO,04/01/2023,GASOLINA,EQUADOR,5.21
RO,03/01/2023,DIESEL S10,BRANCA,6.9
RO,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.41
RO,24/01/2023,ETANOL,VIBRA ENERGIA,4.54
RO,04/01/2023,ETANOL,IPIRANGA,5.05
RO,02/01/2023,GASOLINA,SABBÁ,5.49
RO,03/01/2023,ETANOL,ATEM' S,4.49
RO,16/01/2023,DIESEL S10,IPIRANGA,7.3
RO,09/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.39
RO,04/01/2023,DIESEL,IPIRANGA,7.15
RO,09/01/2023,DIESEL S10,VIBRA ENERGIA,7.16
RO,02/01/2023,GASOLINA,VIBRA ENERGIA,5.29
RO,23/01/2023,DIESEL S10,VIBRA ENERGIA,7.14
RO,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.28
RO,04/01/2023,GASOLINA,VIBRA ENERGIA,5.32
RO,16/01/2023,DIESEL S10,BRANCA,7.17
RO,18/01/2023,DIESEL S10,VIBRA ENERGIA,7.04
RO,10/01/2023,GASOLINA ADITIVADA,SABBÁ,5.59
RO,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.24
RO,19/01/2023,DIESEL S10,ATEM' S,7.24
RO,23/01/2023,DIESEL,IPIRANGA,7.31
RO,24/01/2023,DIESEL S10,EQUADOR,7.49
RO,02/01/2023,ETANOL,IPIRANGA,5.17
RO,19/01/2023,ETANOL,VIBRA ENERGIA,4.68
RO,25/01/2023,ETANOL,IPIRANGA,4.99
RO,03/01/2023,GASOLINA,SABBÁ,4.99
RO,24/01/2023,DIESEL S10,ATEM' S,7.02
RO,04/01/2023,DIESEL,VIBRA ENERGIA,7.24
RO,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.53
RO,09/01/2023,GASOLINA,VIBRA ENERGIA,5.26
RO,09/01/2023,ETANOL,SIMARELLI,4.49
RO,17/01/2023,DIESEL S10,EQUADOR,6.79
RO,03/01/2023,ETANOL,BRANCA,4.65
RO,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.41
RO,10/01/2023,DIESEL,EQUADOR,6.75
RO,02/01/2023,GASOLINA,BRANCA,5.2
RO,10/01/2023,DIESEL S10,ATEM' S,6.99
RO,18/01/2023,ETANOL,VIBRA ENERGIA,4.99
RO,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.39
RO,17/01/2023,DIESEL,BRANCA,6.8
RO,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.36
RO,24/01/2023,ETANOL,IPIRANGA,4.74
RO,19/01/2023,DIESEL,VIBRA ENERGIA,7.21
RO,02/01/2023,ETANOL,BRANCA,4.75
RO,19/01/2023,DIESEL,IPIRANGA,6.57
RO,25/01/2023,GASOLINA,IPIRANGA,5.47
RO,04/01/2023,GASOLINA,ATEM' S,5.36
RO,09/01/2023,DIESEL S10,SIMARELLI,7.29
RO,03/01/2023,DIESEL S10,SABBÁ,6.98
RO,10/01/2023,ETANOL,EQUADOR,4.59
RO,23/01/2023,GASOLINA,VIBRA ENERGIA,5.53
RO,04/01/2023,DIESEL,BRANCA,7.17
RO,02/01/2023,DIESEL S10,SABBÁ,6.55
RO,24/01/2023,DIESEL,IPIRANGA,7.12
RO,11/01/2023,DIESEL,IPIRANGA,7.1
RO,10/01/2023,DIESEL,IPIRANGA,7.29
RO,17/01/2023,ETANOL,VIBRA ENERGIA,4.56
RO,17/01/2023,DIESEL S10,IPIRANGA,7.33
RO,19/01/2023,DIESEL,EQUADOR,7.46
RO,11/01/2023,GASOLINA ADITIVADA,SABBÁ,5.37
RO,09/01/2023,DIESEL,SIMARELLI,7.19
RO,17/01/2023,DIESEL,EQUADOR,6.75
RO,17/01/2023,DIESEL,VIBRA ENERGIA,7.09
RO,02/01/2023,DIESEL S10,BRANCA,6.91
RO,04/01/2023,DIESEL S10,VIBRA ENERGIA,7.36
RO,09/01/2023,DIESEL,IPIRANGA,7.21
RO,03/01/2023,DIESEL S10,VIBRA ENERGIA,7.0
RO,16/01/2023,DIESEL S10,VIBRA ENERGIA,7.01
RO,24/01/2023,DIESEL,EQUADOR,7.46
RO,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.18
RO,24/01/2023,GASOLINA,BRANCA,4.87
RO,02/01/2023,DIESEL S10,IPIRANGA,7.1
RO,03/01/2023,ETANOL,IPIRANGA,4.59
RO,11/01/2023,DIESEL,BRANCA,6.9
RO,24/01/2023,GASOLINA,IPIRANGA,5.19
RO,10/01/2023,DIESEL S10,BRANCA,6.98
RO,10/01/2023,DIESEL S10,EQUADOR,6.79
