Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
RR,10/01/2023,GASOLINA,BRANCA,5.45
RR,24/01/2023,DIESEL S10,BRANCA,7.1
RR,25/01/2023,DIESEL,BRANCA,7.04
RR,10/01/2023,GASOLINA ADITIVADA,BRANCA,5.54
RR,02/01/2023,DIESEL S10,BRANCA,7.01
RR,24/01/2023,DIESEL S10,VIBRA ENERGIA,7.24
RR,02/01/2023,GASOLINA,IPIRANGA,5.4
RR,24/01/2023,GASOLINA,VIBRA ENERGIA,5.46
RR,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.52
RR,17/01/2023,DIESEL S10,BRANCA,7.21
RR,02/01/2023,DIESEL S10,IPIRANGA,7.62
RR,10/01/2023,GASOLINA,VIBRA ENERGIA,5.46
RR,10/01/2023,ETANOL,BRANCA,4.85
RR,09/01/2023,DIESEL S10,VIBRA ENERGIA,7.21
RR,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.5
RR,09/01/2023,DIESEL,BRANCA,7.04
RR,25/01/2023,DIESEL S10,BRANCA,7.07
RR,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.3
RR,24/01/2023,ETANOL,VIBRA ENERGIA,4.79
RR,24/01/2023,GASOLINA ADITIVADA,BRANCA,5.53
RR,16/01/2023,DIESEL,BRANCA,7.04
RR,02/01/2023,ETANOL,VIBRA ENERGIA,4.79
RR,03/01/2023,GASOLINA,BRANCA,5.25
RR,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.51
RR,24/01/2023,DIESEL,BRANCA,7.07
RR,23/01/2023,DIESEL,VIBRA ENERGIA,7.22
RR,17/01/2023,GASOLINA,BRANCA,5.45
RR,10/01/2023,DIESEL,BRANCA,6.69
RR,10/01/2023,DIESEL S10,VIBRA ENERGIA,7.27
RR,16/01/2023,DIESEL S10,VIBRA ENERGIA,7.15
RR,09/01/2023,ETANOL,VIBRA ENERGIA,4.79
RR,02/01/2023,DIESEL,VIBRA ENERGIA,7.19
RR,03/01/2023,ETANOL,VIBRA ENERGIA,4.99
RR,17/01/2023,DIESEL S10,VIBRA ENERGIA,7.47
RR,17/01/2023,GASOLINA,VIBRA ENERGIA,5.46
RR,23/01/2023,DIESEL S10,VIBRA ENERGIA,7.29
RR,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.5
RR,16/01/2023,ETANOL,BRANCA,4.85
RR,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.56
RR,16/01/2023,ETANOL,VIBRA ENERGIA,4.79
RR,02/01/2023,DIESEL,IPIRANGA,7.52
RR,10/01/2023,ETANOL,VIBRA ENERGIA,4.99
RR,25/01/2023,GASOLINA,BRANCA,5.45
RR,02/01/2023,ETANOL,BRANCA,4.85
RR,23/01/2023,GASOLINA,VIBRA ENERGIA,5.45
RR,10/01/2023,DIESEL,VIBRA ENERGIA,7.26
RR,09/01/2023,GASOLINA,VIBRA ENERGIA,5.45
RR,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.32
RR,17/01/2023,ETANOL,VIBRA ENERGIA,4.99
RR,16/01/2023,GASOLINA,VIBRA ENERGIA,5.46
RR,10/01/2023,DIESEL S10,BRANCA,7.07
RR,02/01/2023,GASOLINA ADITIVADA,BRANCA,5.34
RR,16/01/2023,GASOLINA,BRANCA,5.45
RR,03/01/2023,DIESEL,VIBRA ENERGIA,7.28
RR,23/01/2023,ETANOL,VIBRA ENERGIA,4.99
RR,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.55
RR,17/01/2023,DIESEL,BRANCA,7.18
RR,09/01/2023,DIESEL,VIBRA ENERGIA,7.24
RR,02/01/2023,GASOLINA,VIBRA ENERGIA,5.25
RR,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.51
RR,03/01/2023,GASOLINA,VIBRA ENERGIA,5.25
RR,17/01/2023,GASOLINA ADITIVADA,BRANCA,5.59
RR,24/01/2023,GASOLINA,BRANCA,5.45
RR,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.45
RR,24/01/2023,ETANOL,BRANCA,4.85
RR,09/01/2023,GASOLINA,BRANCA,5.45
RR,17/01/2023,DIESEL,VIBRA ENERGIA,7.38
RR,10/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.55
RR,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.3
RR,02/01/2023,GASOLINA,BRANCA,5.25
RR,09/01/2023,DIESEL S10,BRANCA,7.14
RR,02/01/2023,DIESEL,BRANCA,6.87
RR,03/01/2023,DIESEL,BRANCA,6.87
RR,03/01/2023,DIESEL S10,VIBRA ENERGIA,7.38
RR,02/01/2023,DIESEL S10,VIBRA ENERGIA,7.15
RR,03/01/2023,DIESEL S10,BRANCA,6.97
RR,16/01/2023,DIESEL,VIBRA ENERGIA,7.14
RR,24/01/2023,DIESEL,VIBRA ENERGIA,7.29
RR,16/01/2023,DIESEL S10,BRANCA,7.07
RR,30/01/2023,DIESEL,VIBRA ENERGIA,7.14
RR,14/02/2023,DIESEL,BRANCA,7.14
RR,20/02/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.59
RR,21/02/2023,DIESEL,VIBRA ENERGIA,7.12
RR,30/01/2023,ETANOL,BRANCA,4.85
RR,30/01/2023,ETANOL,VIBRA ENERGIA,4.79
RR,20/02/2023,DIESEL,BRANCA,7.08
RR,14/02/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.66
RR,14/02/2023,GASOLINA ADITIVADA,BRANCA,5.65
RR,31/01/2023,DIESEL S10,VIBRA ENERGIA,7.27
RR,30/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.64
RR,14/02/2023,DIESEL,VIBRA ENERGIA,7.18
RR,21/02/2023,DIESEL S10,BRANCA,7.14
RR,31/01/2023,ETANOL,SABBÁ,4.89
RR,31/01/2023,DIESEL S10,IPIRANGA,7.17
RR,06/02/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.64
RR,31/01/2023,DIESEL S10,SABBÁ,7.42
RR,07/02/2023,GASOLINA,VIBRA ENERGIA,5.59
RR,06/02/2023,DIESEL,VIBRA ENERGIA,7.16
RR,13/02/2023,GASOLINA,BRANCA,5.59
RR,21/02/2023,GASOLINA ADITIVADA,BRANCA,5.57
RR,30/01/2023,GASOLINA,VIBRA ENERGIA,5.58
RR,20/02/2023,GASOLINA ADITIVADA,BRANCA,5.6
RR,14/02/2023,DIESEL S10,VIBRA ENERGIA,7.27
RR,20/02/2023,DIESEL S10,VIBRA ENERGIA,7.13
RR,30/01/2023,DIESEL,IPIRANGA,7.05
RR,20/02/2023,ETANOL,BRANCA,4.85
RR,07/02/2023,GASOLINA,BRANCA,5.59
RR,31/01/2023,GASOLINA,BRANCA,5.45
RR,14/02/2023,DIESEL S10,BRANCA,7.18
RR,20/02/2023,DIESEL,VIBRA ENERGIA,7.07
RR,07/02/2023,ETANOL,VIBRA ENERGIA,4.79
RR,30/01/2023,DIESEL S10,BRANCA,7.13
RR,06/02/2023,DIESEL S10,VIBRA ENERGIA,7.25
RR,31/01/2023,DIESEL S10,BRANCA,7.07
RR,07/02/2023,DIESEL S10,VIBRA ENERGIA,7.23
RR,31/01/2023,ETANOL,VIBRA ENERGIA,4.89
