Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,RR,BOA VISTA,RODAO AUTO POSTO LTDA,12.145.743/0001-39,AVENIDA JOAO ALENCAR,1837,,CAUAME,69311-137,DIESEL S10,01/05/2023,6.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,RODAO AUTO POSTO LTDA,12.145.743/0001-39,AVENIDA JOAO ALENCAR,1837,,CAUAME,69311-137,GASOLINA,01/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0002-88,RUA YEYE COELHO,216,,AEROPORTO,69310-118,ETANOL,02/05/2023,4.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0002-88,RUA YEYE COELHO,216,,AEROPORTO,69310-118,DIESEL S10,02/05/2023,6.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0002-88,RUA YEYE COELHO,216,,AEROPORTO,69310-118,GASOLINA ADITIVADA,02/05/2023,6.15,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0002-88,RUA YEYE COELHO,216,,AEROPORTO,69310-118,GASOLINA,02/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,C. L. DERIVADOS DO PETROLEO COMERCIO LTDA,14.522.472/0001-19,AVENIDA PRINCESA  ISABEL,1798,,JARDIM FLORESTA,69312-001,ETANOL,01/05/2023,4.79,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,C. L. DERIVADOS DO PETROLEO COMERCIO LTDA,14.522.472/0001-19,AVENIDA PRINCESA  ISABEL,1798,,JARDIM FLORESTA,69312-001,GASOLINA ADITIVADA,01/05/2023,6.15,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,C. L. DERIVADOS DO PETROLEO COMERCIO LTDA,14.522.472/0001-19,AVENIDA PRINCESA  ISABEL,1798,,JARDIM FLORESTA,69312-001,GASOLINA,01/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,RR COMERCIO DE COMBUSTIVEIS LTDA,13.452.254/0002-73,AVENIDA ATAIDE TEIVE,6290,,DR. SILVIO LEITE,69314-292,DIESEL S10,01/05/2023,6.99,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,RR COMERCIO DE COMBUSTIVEIS LTDA,13.452.254/0002-73,AVENIDA ATAIDE TEIVE,6290,,DR. SILVIO LEITE,69314-292,DIESEL,01/05/2023,6.95,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,RR COMERCIO DE COMBUSTIVEIS LTDA,13.452.254/0002-73,AVENIDA ATAIDE TEIVE,6290,,DR. SILVIO LEITE,69314-292,GASOLINA ADITIVADA,01/05/2023,6.21,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,RR COMERCIO DE COMBUSTIVEIS LTDA,13.452.254/0002-73,AVENIDA ATAIDE TEIVE,6290,,DR. SILVIO LEITE,69314-292,GASOLINA,01/05/2023,6.09,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO PADRE CICERO LTDA,14.885.363/0001-66,RODOVIA BR-174,896,,SAID SALOMAO,69310-600,DIESEL S10,01/05/2023,6.99,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO PADRE CICERO LTDA,14.885.363/0001-66,RODOVIA BR-174,896,,SAID SALOMAO,69310-600,DIESEL,01/05/2023,6.95,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO PADRE CICERO LTDA,14.885.363/0001-66,RODOVIA BR-174,896,,SAID SALOMAO,69310-600,GASOLINA ADITIVADA,01/05/2023,6.19,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO PADRE CICERO LTDA,14.885.363/0001-66,RODOVIA BR-174,896,,SAID SALOMAO,69310-600,GASOLINA,01/05/2023,6.09,,R$ / litro,IPIRANGA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO FENIX E COMERCIO LTDA,11.158.355/0001-20,AVENIDA GENERAL ATAIDE TEIVE,8140,,ALVORADA,69317-182,GASOLINA ADITIVADA,03/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO FENIX E COMERCIO LTDA,11.158.355/0001-20,AVENIDA GENERAL ATAIDE TEIVE,8140,,ALVORADA,69317-182,GASOLINA,03/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,"JF - COMERCIO, REPRESENTACAO E SERVICOS LTDA",09.014.087/0001-20,ALAMEDA ANTARES,345,,CIDADE SATELITE,69317-480,DIESEL S10,02/05/2023,6.97,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,"JF - COMERCIO, REPRESENTACAO E SERVICOS LTDA",09.014.087/0001-20,ALAMEDA ANTARES,345,,CIDADE SATELITE,69317-480,GASOLINA ADITIVADA,02/05/2023,6.15,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,"JF - COMERCIO, REPRESENTACAO E SERVICOS LTDA",09.014.087/0001-20,ALAMEDA ANTARES,345,,CIDADE SATELITE,69317-480,GASOLINA,02/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0001-05,AVENIDA GLAYCON DE PAIVA,1630,,MECEJANA,69304-560,ETANOL,09/05/2023,4.89,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0001-05,AVENIDA GLAYCON DE PAIVA,1630,,MECEJANA,69304-560,DIESEL S10,09/05/2023,6.47,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0001-05,AVENIDA GLAYCON DE PAIVA,1630,,MECEJANA,69304-560,GASOLINA ADITIVADA,09/05/2023,6.05,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,AUTO POSTO CAPITAL LTDA,08.106.078/0001-05,AVENIDA GLAYCON DE PAIVA,1630,,MECEJANA,69304-560,GASOLINA,09/05/2023,5.98,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,POSTO GP LTDA,08.039.411/0001-00,AVENIDA CARLOS PEREIRA DE MELO,524,,JARDIM FLORESTA,69312-005,DIESEL S10,08/05/2023,6.47,,R$ / litro,BRANCA,2023-11-21
N,RR,BOA VISTA,POSTO GP LTDA,08.039.411/0001-00,AVENIDA CARLOS PEREIRA DE MELO,524,,JARDIM FLORESTA,69312-005,DIESEL,08/05/2023,6.43,,R$ / litro,BRANCA,2023-11-21
N,RR,BOA VISTA,POSTO GP LTDA,08.039.411/0001-00,AVENIDA CARLOS PEREIRA DE MELO,524,,JARDIM FLORESTA,69312-005,GASOLINA,08/05/2023,6.09,,R$ / litro,BRANCA,2023-11-21
N,RR,BOA VISTA,J. M. G. VALLADAO,07.379.366/0001-62,AVENIDA VENEZUELA,887,,PRICUMA,69309-690,DIESEL S10,09/05/2023,6.47,,R$ / litro,BRANCA,2023-11-21
N,RR,BOA VISTA,J. M. G. VALLADAO,07.379.366/0001-62,AVENIDA VENEZUELA,887,,PRICUMA,69309-690,DIESEL,09/05/2023,6.43,,R$ / litro,BRANCA,2023-11-21
N,RR,BOA VISTA,J. M. G. VALLADAO,07.379.366/0001-62,AVENIDA VENEZUELA,887,,PRICUMA,69309-690,GASOLINA,09/05/2023,5.95,,R$ / litro,BRANCA,2023-11-21
N,RR,BOA VISTA,MARTINS & CIA LTDA,06.993.922/0001-23,AVENIDA SAO SEBASTIAO,1813,,SANTA TEREZA,69314-152,DIESEL S10,08/05/2023,6.47,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,MARTINS & CIA LTDA,06.993.922/0001-23,AVENIDA SAO SEBASTIAO,1813,,SANTA TEREZA,69314-152,DIESEL,08/05/2023,6.43,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,MARTINS & CIA LTDA,06.993.922/0001-23,AVENIDA SAO SEBASTIAO,1813,,SANTA TEREZA,69314-152,GASOLINA ADITIVADA,08/05/2023,6.14,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,MARTINS & CIA LTDA,06.993.922/0001-23,AVENIDA SAO SEBASTIAO,1813,,SANTA TEREZA,69314-152,GASOLINA,08/05/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,B. B. PETROLEO EIRELI,03.625.917/0002-50,AVENIDA VILLE ROY,2558,,CACARI,69307-725,DIESEL S10,08/05/2023,6.47,,R$ / litro,VIBRA ENERGIA,2023-11-21
N,RR,BOA VISTA,B. B. PETROLEO EIRELI,03.625.917/0002-50,AVENIDA VILLE ROY,2558,,CACARI,69307-725,GASOLINA ADITIVADA,08/05/2023,6.15,,R$ / litro,VIBRA ENERGIA,2023-11-21
