Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
RS,04/01/2023,ETANOL,RODOIL,5.29
RS,16/01/2023,ETANOL,IPIRANGA,5.17
RS,18/01/2023,DIESEL S10,POTENCIAL,7.5
RS,04/01/2023,GASOLINA,BRANCA,4.96
RS,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.43
RS,11/01/2023,GASOLINA,RAIZEN,4.9
RS,10/01/2023,GASOLINA ADITIVADA,RODOIL,5.25
RS,19/01/2023,DIESEL S10,IPIRANGA,6.42
RS,25/01/2023,GASOLINA,IPIRANGA,4.94
RS,24/01/2023,ETANOL,IPIRANGA,5.45
RS,25/01/2023,GNV,VIBRA ENERGIA,5.32
RS,25/01/2023,GNV,BRANCA,5.37
RS,05/01/2023,DIESEL S10,IPIRANGA,6.39
RS,20/01/2023,GASOLINA,BRANCA,4.89
RS,24/01/2023,DIESEL S10,CHARRUA,6.38
RS,09/01/2023,GASOLINA,RAIZEN,4.9
RS,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.55
RS,09/01/2023,ETANOL,IPIRANGA,5.15
RS,05/01/2023,DIESEL S10,RODOIL,6.19
RS,04/01/2023,DIESEL S10,POTENCIAL,7.5
RS,10/01/2023,ETANOL,IPIRANGA,5.4
RS,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.18
RS,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.32
RS,17/01/2023,ETANOL,VIBRA ENERGIA,4.99
RS,16/01/2023,ETANOL,CHARRUA,4.64
RS,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.13
RS,02/01/2023,ETANOL,VIBRA ENERGIA,4.85
RS,05/01/2023,GASOLINA,RODOIL,4.76
RS,02/01/2023,ETANOL,RODOIL,4.89
RS,11/01/2023,GASOLINA,VIBRA ENERGIA,4.96
RS,19/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.14
RS,17/01/2023,ETANOL,RODOIL,4.99
RS,11/01/2023,GASOLINA ADITIVADA,RODOIL,5.29
RS,18/01/2023,DIESEL,IPIRANGA,6.27
RS,17/01/2023,DIESEL S10,RODOIL,6.09
RS,16/01/2023,DIESEL S10,ALESAT,6.49
RS,11/01/2023,DIESEL,CHARRUA,6.37
RS,10/01/2023,ETANOL,CHARRUA,4.84
RS,17/01/2023,GASOLINA,CHARRUA,4.89
RS,03/01/2023,DIESEL S10,ALESAT,5.94
RS,16/01/2023,DIESEL S10,RODOIL,6.56
RS,25/01/2023,DIESEL S10,CHARRUA,6.19
RS,03/01/2023,DIESEL S10,RAIZEN,6.56
RS,16/01/2023,DIESEL,IPIRANGA,6.22
RS,05/01/2023,GASOLINA,CHARRUA,4.99
RS,10/01/2023,GASOLINA,RAIZEN,4.95
RS,10/01/2023,DIESEL S10,RAIZEN,6.26
RS,17/01/2023,ETANOL,IPIRANGA,5.26
RS,03/01/2023,GASOLINA ADITIVADA,ALESAT,4.99
RS,16/01/2023,GASOLINA ADITIVADA,RAIZEN,5.08
RS,03/01/2023,GASOLINA,VIBRA ENERGIA,5.07
RS,04/01/2023,GASOLINA,POTENCIAL,5.35
RS,12/01/2023,ETANOL,VIBRA ENERGIA,4.89
RS,11/01/2023,DIESEL,POTENCIAL,7.4
RS,24/01/2023,DIESEL,RODOIL,6.66
RS,17/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.23
RS,17/01/2023,GASOLINA,VIBRA ENERGIA,4.9
RS,17/01/2023,DIESEL S10,SUL COMBUSTÍVEIS,6.49
RS,25/01/2023,GASOLINA ADITIVADA,RODOIL,5.19
RS,03/01/2023,GASOLINA,IPIRANGA,5.17
RS,12/01/2023,GASOLINA,RAIZEN,5.34
RS,18/01/2023,GASOLINA,RODOIL,4.88
RS,18/01/2023,DIESEL,SUL COMBUSTÍVEIS,5.99
RS,23/01/2023,GNV,IPIRANGA,5.64
RS,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.08
RS,02/01/2023,DIESEL,VIBRA ENERGIA,6.42
RS,12/01/2023,GASOLINA,BRANCA,5.01
RS,12/01/2023,ETANOL,BRANCA,4.84
