Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,DIESEL S10,01/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,DIESEL,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,GASOLINA ADITIVADA,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0045-00,RUA RINCAO,200,,RINCAO,93310-460,GASOLINA,01/05/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,DIESEL S10,01/05/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,DIESEL,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,GASOLINA ADITIVADA,01/05/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,NOVO HAMBURGO,SIM REDE DE POSTOS LTDA,07.473.735/0044-11,AVENIDA PEDRO ADAMS FILHO,3912,,PATRIA NOVA,93320-005,GASOLINA,01/05/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,RS,URUGUAIANA,BRUSCATO & LIMA LTDA,12.443.144/0001-00,AVENIDA PRESIDENTE GETULIO VARGAS,3667,,SANTANA,97502-367,DIESEL S10,02/05/2023,6.1,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,BRUSCATO & LIMA LTDA,12.443.144/0001-00,AVENIDA PRESIDENTE GETULIO VARGAS,3667,,SANTANA,97502-367,GASOLINA ADITIVADA,02/05/2023,5.96,,R$ / litro,IPIRANGA,2023-11-21
S,RS,URUGUAIANA,BRUSCATO & LIMA LTDA,12.443.144/0001-00,AVENIDA PRESIDENTE GETULIO VARGAS,3667,,SANTANA,97502-367,GASOLINA,02/05/2023,5.81,,R$ / litro,IPIRANGA,2023-11-21
S,RS,VIAMAO,AUTO POSTO PARAISO LTDA,12.321.423/0001-92,AVENIDA CEL. MARCOS DE ANDRADE,72,SALA 02,CENTRO,94410-050,GASOLINA ADITIVADA,03/05/2023,5.45,,R$ / litro,IPIRANGA,2023-11-21
