Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
SC,02/01/2023,GNV,ALESAT,5.59
SC,09/01/2023,DIESEL S10,RODOIL,6.59
SC,10/01/2023,DIESEL S10,RODOIL,6.39
SC,25/01/2023,GASOLINA ADITIVADA,RAIZEN MIME,5.6
SC,03/01/2023,ETANOL,BRANCA,4.37
SC,02/01/2023,DIESEL,BRANCA,6.37
SC,19/01/2023,DIESEL S10,STANG,6.39
SC,17/01/2023,ETANOL,STANG,4.49
SC,18/01/2023,GASOLINA,RODOIL,4.92
SC,17/01/2023,ETANOL,VIBRA ENERGIA,4.75
SC,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.39
SC,17/01/2023,DIESEL S10,IDAZA,6.69
SC,18/01/2023,GASOLINA ADITIVADA,BRANCA,5.32
SC,23/01/2023,DIESEL S10,BRANCA,6.23
SC,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.23
SC,03/01/2023,GASOLINA ADITIVADA,ALESAT,5.33
SC,02/01/2023,GASOLINA ADITIVADA,ALESAT,5.42
SC,02/01/2023,DIESEL S10,RAIZEN,6.39
SC,20/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.43
SC,17/01/2023,GNV,VIBRA ENERGIA,5.69
SC,17/01/2023,DIESEL S10,MAXSUL,6.19
SC,17/01/2023,GASOLINA,MAXSUL,4.85
SC,24/01/2023,DIESEL,IPIRANGA,6.31
SC,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.59
SC,02/01/2023,GASOLINA,RAIZEN,5.18
SC,10/01/2023,DIESEL,VIBRA ENERGIA,6.6
SC,11/01/2023,DIESEL S10,BRANCA,6.36
SC,10/01/2023,DIESEL,BRANCA,6.27
SC,17/01/2023,GASOLINA,DIBRAPE,5.05
SC,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.2
SC,11/01/2023,GASOLINA,DIBRAPE,5.05
SC,09/01/2023,DIESEL S10,RAIZEN,6.49
SC,18/01/2023,DIESEL,ALESAT,6.69
SC,23/01/2023,GASOLINA,VIBRA ENERGIA,5.19
SC,02/01/2023,ETANOL,ALESAT,3.99
SC,09/01/2023,ETANOL,VIBRA ENERGIA,4.76
SC,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.34
SC,09/01/2023,GASOLINA ADITIVADA,STANG,5.11
SC,18/01/2023,GASOLINA ADITIVADA,RODOIL,5.03
SC,17/01/2023,DIESEL,MAXSUL,6.14
SC,23/01/2023,GASOLINA ADITIVADA,RODOIL,5.05
SC,11/01/2023,GASOLINA,RAIZEN,5.13
SC,24/01/2023,GASOLINA,VIBRA ENERGIA,5.03
SC,11/01/2023,GASOLINA,RAIZEN MIME,5.19
SC,02/01/2023,DIESEL,IPIRANGA,6.49
SC,02/01/2023,ETANOL,VIBRA ENERGIA,4.59
SC,19/01/2023,GASOLINA,VIBRA ENERGIA,5.29
SC,05/01/2023,GNV,IPIRANGA,5.98
SC,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.51
SC,05/01/2023,GNV,RAIZEN MIME,5.49
SC,20/01/2023,ETANOL,IPIRANGA,4.95
SC,19/01/2023,GASOLINA,IPIRANGA,5.14
SC,25/01/2023,GASOLINA,RODOIL,5.06
SC,10/01/2023,GASOLINA,MAXSUL,4.85
SC,11/01/2023,DIESEL,ALESAT,6.46
SC,20/01/2023,ETANOL,VIBRA ENERGIA,4.53
SC,20/01/2023,GASOLINA ADITIVADA,ALESAT,5.19
SC,25/01/2023,GASOLINA,BRANCA,4.97
SC,11/01/2023,GASOLINA ADITIVADA,RAIZEN,5.38
SC,10/01/2023,DIESEL S10,MAXSUL,6.26
SC,20/01/2023,DIESEL,ALESAT,6.29
SC,19/01/2023,GASOLINA ADITIVADA,STANG,4.96
SC,25/01/2023,GNV,BRANCA,5.59
SC,04/01/2023,GASOLINA,IPIRANGA,5.06
SC,23/01/2023,GASOLINA ADITIVADA,BRANCA,5.05
SC,24/01/2023,ETANOL,VIBRA ENERGIA,4.54
SC,24/01/2023,GASOLINA ADITIVADA,RAIZEN MIME,5.3
SC,05/01/2023,GASOLINA ADITIVADA,RAIZEN,5.39
SC,16/01/2023,GASOLINA,POTENCIAL,5.02
SC,03/01/2023,GNV,IPIRANGA,5.76
SC,04/01/2023,ETANOL,VIBRA ENERGIA,4.49
SC,17/01/2023,DIESEL,ALESAT,6.74
SC,18/01/2023,DIESEL S10,BRANCA,6.32
SC,18/01/2023,DIESEL S10,RODOIL,6.33
SC,23/01/2023,ETANOL,VIBRA ENERGIA,4.66
SC,10/01/2023,GASOLINA ADITIVADA,RAIZEN MIME,5.47
SC,09/01/2023,DIESEL,IPIRANGA,6.25
