Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
S,SC,BLUMENAU,AUTO POSTO NB LTDA,03.067.669/0001-99,RUA FREI ESTANISLAU SCHAETTE,676,0,ASILO,89037-001,DIESEL S10,05/01/2023,6.89,,R$ / litro,IPIRANGA,2023-11-21
S,SC,BLUMENAU,AUTO POSTO NB LTDA,03.067.669/0001-99,RUA FREI ESTANISLAU SCHAETTE,676,0,ASILO,89037-001,GASOLINA,05/01/2023,5.14,,R$ / litro,IPIRANGA,2023-11-21
S,SC,BLUMENAU,POSTO CACADORES LTDA.,05.500.480/0001-73,RUA DOS CACADORES,3604,,VELHA,89040-003,ETANOL,05/01/2023,4.76,,R$ / litro,BRANCA,2023-11-21
S,SC,BLUMENAU,POSTO CACADORES LTDA.,05.500.480/0001-73,RUA DOS CACADORES,3604,,VELHA,89040-003,DIESEL S10,05/01/2023,6.69,,R$ / litro,BRANCA,2023-11-21
S,SC,BLUMENAU,POSTO CACADORES LTDA.,05.500.480/0001-73,RUA DOS CACADORES,3604,,VELHA,89040-003,GASOLINA ADITIVADA,05/01/2023,5.2,,R$ / litro,BRANCA,2023-11-21
S,SC,BLUMENAU,POSTO CACADORES LTDA.,05.500.480/0001-73,RUA DOS CACADORES,3604,,VELHA,89040-003,GASOLINA,05/01/2023,5.2,,R$ / litro,BRANCA,2023-11-21
S,SC,BLUMENAU,POSTO Z20 LTDA,05.646.117/0001-60,RUA GUSTAVO ZIMMERMANN,3277,,ITOUPAVA CENTRAL,89062-101,ETANOL,05/01/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,SC,BLUMENAU,POSTO Z20 LTDA,05.646.117/0001-60,RUA GUSTAVO ZIMMERMANN,3277,,ITOUPAVA CENTRAL,89062-101,DIESEL S10,05/01/2023,6.39,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,SC,BLUMENAU,POSTO Z20 LTDA,05.646.117/0001-60,RUA GUSTAVO ZIMMERMANN,3277,,ITOUPAVA CENTRAL,89062-101,GASOLINA ADITIVADA,05/01/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,SC,BLUMENAU,POSTO Z20 LTDA,05.646.117/0001-60,RUA GUSTAVO ZIMMERMANN,3277,,ITOUPAVA CENTRAL,89062-101,GASOLINA,05/01/2023,5.29,,R$ / litro,VIBRA ENERGIA,2023-11-21
S,SC,BLUMENAU,VIA SUL LTDA,04.542.337/0001-81,RUA ITAJAI,706,,VORSTADT,89015-200,GASOLINA ADITIVADA,05/01/2023,5.44,,R$ / litro,RAIZEN MIME,2023-11-21
