Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
SE,23/01/2023,DIESEL,PETROX DISTRIBUIDORA,6.24
SE,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.23
SE,12/01/2023,DIESEL,BRANCA,6.09
SE,24/01/2023,DIESEL S10,BRANCA,6.1
SE,23/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.01
SE,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.13
SE,18/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.19
SE,11/01/2023,DIESEL S10,BRANCA,6.26
SE,11/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.15
SE,18/01/2023,ETANOL,VIBRA ENERGIA,4.13
SE,23/01/2023,GASOLINA,BRANCA,4.95
SE,06/01/2023,GNV,PETROX DISTRIBUIDORA,5.09
SE,24/01/2023,ETANOL,VIBRA ENERGIA,3.9
SE,12/01/2023,ETANOL,VIBRA ENERGIA,3.9
SE,24/01/2023,ETANOL,BRANCA,3.93
SE,12/01/2023,GASOLINA ADITIVADA,RAIZEN,5.21
SE,11/01/2023,GNV,PETROX DISTRIBUIDORA,5.09
SE,23/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.13
SE,05/01/2023,ETANOL,VIBRA ENERGIA,3.93
SE,23/01/2023,GNV,PETROX DISTRIBUIDORA,5.09
SE,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.25
SE,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.2
SE,23/01/2023,ETANOL,RAIZEN,3.95
SE,23/01/2023,GASOLINA ADITIVADA,PETROX DISTRIBUIDORA,5.06
SE,16/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.05
SE,23/01/2023,DIESEL S10,BRANCA,6.1
SE,18/01/2023,GNV,VIBRA ENERGIA,5.11
SE,05/01/2023,ETANOL,BRANCA,3.97
SE,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.1
SE,23/01/2023,GASOLINA ADITIVADA,BRANCA,4.94
SE,18/01/2023,GASOLINA,VIBRA ENERGIA,5.05
SE,18/01/2023,GNV,BRANCA,5.09
SE,23/01/2023,GASOLINA,RAIZEN,4.99
SE,12/01/2023,GASOLINA,VIBRA ENERGIA,4.97
SE,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.06
SE,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.95
SE,16/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.14
SE,05/01/2023,GASOLINA,VIBRA ENERGIA,4.96
SE,23/01/2023,GNV,BRANCA,5.09
SE,05/01/2023,GNV,VIBRA ENERGIA,5.09
SE,16/01/2023,DIESEL,VIBRA ENERGIA,6.12
SE,05/01/2023,GASOLINA ADITIVADA,BRANCA,4.89
SE,06/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.19
SE,12/01/2023,DIESEL S10,BRANCA,6.15
SE,11/01/2023,GASOLINA ADITIVADA,PETROX DISTRIBUIDORA,5.19
SE,18/01/2023,DIESEL S10,BRANCA,6.15
SE,18/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.59
SE,11/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.15
SE,18/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
SE,12/01/2023,GASOLINA,BRANCA,4.96
SE,18/01/2023,ETANOL,RAIZEN,3.95
SE,23/01/2023,DIESEL,BRANCA,6.05
SE,18/01/2023,GASOLINA,BRANCA,4.99
SE,24/01/2023,GASOLINA,BRANCA,4.93
SE,11/01/2023,DIESEL,VIBRA ENERGIA,6.98
SE,11/01/2023,GASOLINA ADITIVADA,RAIZEN,5.35
SE,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.02
SE,11/01/2023,ETANOL,VIBRA ENERGIA,4.15
SE,11/01/2023,GNV,VIBRA ENERGIA,5.09
SE,18/01/2023,ETANOL,BRANCA,4.05
SE,16/01/2023,DIESEL,BRANCA,6.1
SE,16/01/2023,GASOLINA,BRANCA,4.98
SE,16/01/2023,GASOLINA,VIBRA ENERGIA,5.0
SE,12/01/2023,DIESEL,VIBRA ENERGIA,6.09
SE,05/01/2023,GNV,BRANCA,5.09
SE,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.25
SE,18/01/2023,GASOLINA,PETROX DISTRIBUIDORA,5.13
SE,16/01/2023,DIESEL S10,BRANCA,6.14
SE,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.56
SE,18/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.16
SE,11/01/2023,GASOLINA,RAIZEN,5.09
SE,24/01/2023,DIESEL,VIBRA ENERGIA,6.09
SE,11/01/2023,DIESEL,PETROX DISTRIBUIDORA,6.19
SE,16/01/2023,GASOLINA ADITIVADA,BRANCA,4.98
SE,23/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.44
SE,11/01/2023,GNV,BRANCA,5.09
SE,12/01/2023,ETANOL,RAIZEN,4.09
SE,18/01/2023,GNV,PETROX DISTRIBUIDORA,5.09
SE,05/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.04
SE,11/01/2023,DIESEL,BRANCA,6.19
SE,24/01/2023,GASOLINA,VIBRA ENERGIA,4.94
SE,24/01/2023,DIESEL,BRANCA,6.02
SE,11/01/2023,ETANOL,BRANCA,4.09
SE,16/01/2023,GNV,VIBRA ENERGIA,5.09
SE,05/01/2023,DIESEL S10,BRANCA,6.15
SE,18/01/2023,GASOLINA,RAIZEN,4.99
SE,11/01/2023,DIESEL S10,VIBRA ENERGIA,6.84
SE,23/01/2023,GNV,VIBRA ENERGIA,5.1
SE,24/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.0
SE,11/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.45
SE,06/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.19
SE,12/01/2023,ETANOL,BRANCA,3.85
SE,12/01/2023,GASOLINA,RAIZEN,4.95
SE,16/01/2023,ETANOL,BRANCA,3.87
SE,23/01/2023,ETANOL,VIBRA ENERGIA,4.09
SE,05/01/2023,GASOLINA,BRANCA,4.89
SE,18/01/2023,GASOLINA ADITIVADA,PETROX DISTRIBUIDORA,5.13
SE,06/01/2023,GASOLINA ADITIVADA,PETROX DISTRIBUIDORA,5.19
SE,16/01/2023,ETANOL,VIBRA ENERGIA,3.94
SE,16/01/2023,DIESEL,PETROX DISTRIBUIDORA,6.14
SE,12/01/2023,DIESEL S10,VIBRA ENERGIA,6.18
SE,11/01/2023,GASOLINA,VIBRA ENERGIA,5.14
SE,11/01/2023,GASOLINA,BRANCA,5.11
SE,11/01/2023,ETANOL,RAIZEN,3.95
SE,23/01/2023,GASOLINA,VIBRA ENERGIA,5.0
SE,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.16
SE,16/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.09
SE,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.54
SE,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.69
SE,23/01/2023,ETANOL,BRANCA,4.02
