Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
SP,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.41
SP,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.26
SP,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.27
SP,09/01/2023,DIESEL,VIBRA ENERGIA,6.39
SP,17/01/2023,ETANOL,VIBRA ENERGIA,3.93
SP,12/01/2023,DIESEL S10,VIBRA ENERGIA,6.61
SP,05/01/2023,GASOLINA ADITIVADA,BRANCA,4.96
SP,19/01/2023,DIESEL,IPIRANGA,6.32
SP,18/01/2023,GASOLINA ADITIVADA,ALESAT,5.15
SP,17/01/2023,ETANOL,TOTALENERGIES,3.49
SP,25/01/2023,ETANOL,ALESAT,3.76
SP,26/01/2023,DIESEL,IPIRANGA,6.29
SP,23/01/2023,GNV,VIBRA ENERGIA,4.85
SP,09/01/2023,GASOLINA ADITIVADA,RAIZEN,5.31
SP,09/01/2023,DIESEL,ALESAT,6.19
SP,25/01/2023,DIESEL,BRANCA,6.12
SP,09/01/2023,ETANOL,ALESAT,3.81
SP,10/01/2023,ETANOL,BRANCA,3.69
SP,09/01/2023,ETANOL,PETROBRASIL,3.57
SP,17/01/2023,ETANOL,IPIRANGA,3.85
SP,20/01/2023,DIESEL S10,BRANCA,6.66
SP,03/01/2023,DIESEL,VIBRA ENERGIA,6.4
SP,05/01/2023,GNV,IPIRANGA,5.12
SP,09/01/2023,DIESEL S10,RAIZEN,6.48
SP,18/01/2023,DIESEL,IPIRANGA,6.5
SP,04/01/2023,GNV,VIBRA ENERGIA,5.39
SP,09/01/2023,GNV,IPIRANGA,5.09
SP,16/01/2023,DIESEL S10,IPIRANGA,6.62
SP,17/01/2023,GASOLINA,VIBRA ENERGIA,5.24
SP,16/01/2023,GNV,IPIRANGA,5.09
SP,16/01/2023,ETANOL,ALESAT,3.75
SP,23/01/2023,GASOLINA,VIBRA ENERGIA,4.92
SP,04/01/2023,GASOLINA,RAIZEN,4.97
SP,12/01/2023,DIESEL S10,RAIZEN,6.59
SP,24/01/2023,GASOLINA,ALESAT,4.77
SP,26/01/2023,GASOLINA,IPIRANGA,5.0
SP,05/01/2023,GASOLINA,ALESAT,4.97
SP,19/01/2023,ETANOL,RAIZEN,3.78
SP,11/01/2023,ETANOL,RAIZEN,3.88
SP,09/01/2023,GASOLINA,PETROBRASIL,4.57
SP,26/01/2023,DIESEL S10,RAIZEN,6.41
SP,04/01/2023,GASOLINA ADITIVADA,BRANCA,4.97
SP,10/01/2023,GASOLINA ADITIVADA,ALESAT,5.09
SP,05/01/2023,DIESEL,TAURUS,6.19
SP,26/01/2023,ETANOL,RAIZEN,3.78
SP,24/01/2023,GNV,RAIZEN,5.02
SP,05/01/2023,GASOLINA ADITIVADA,ALESAT,5.26
SP,18/01/2023,GASOLINA,RAIZEN,4.91
SP,23/01/2023,GASOLINA,BRANCA,4.65
SP,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.23
SP,12/01/2023,GASOLINA,IPIRANGA,5.04
SP,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.5
SP,20/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.19
SP,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.76
SP,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
SP,17/01/2023,ETANOL,RAIZEN,3.79
SP,16/01/2023,ETANOL,RAIZEN,3.79
SP,25/01/2023,DIESEL S10,BRANCA,6.25
SP,26/01/2023,ETANOL,D`MAIS,3.57
SP,04/01/2023,DIESEL S10,IPIRANGA,6.64
SP,10/01/2023,ETANOL,IPIRANGA,3.93
SP,17/01/2023,GASOLINA,IPIRANGA,5.03
SP,11/01/2023,GASOLINA,ALESAT,4.91
SP,10/01/2023,DIESEL S10,BRANCA,6.35
SP,17/01/2023,DIESEL,IPIRANGA,6.46
SP,16/01/2023,GASOLINA,ALESAT,4.9
SP,04/01/2023,GASOLINA,ALESAT,4.84
SP,11/01/2023,GNV,BRANCA,4.95
SP,18/01/2023,GASOLINA ADITIVADA,TOTALENERGIES,4.89
SP,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.14
SP,11/01/2023,DIESEL,VIBRA ENERGIA,6.58
SP,11/01/2023,GNV,IPIRANGA,4.88
SP,16/01/2023,ETANOL,BRANCA,3.64
SP,23/01/2023,GASOLINA,RAIZEN,4.85
SP,26/01/2023,DIESEL,VIBRA ENERGIA,6.31
SP,16/01/2023,DIESEL S10,BRANCA,6.26
SP,24/01/2023,DIESEL,ALESAT,6.41
SP,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.11
SP,12/01/2023,GASOLINA ADITIVADA,ALESAT,4.99
SP,17/01/2023,GNV,BRANCA,5.37
SP,23/01/2023,ETANOL,RAIZEN,3.69
SP,26/01/2023,GASOLINA ADITIVADA,BRANCA,4.98
SP,26/01/2023,GASOLINA,ALESAT,4.89
SP,20/01/2023,DIESEL,D`MAIS,6.09
SP,10/01/2023,GNV,VIBRA ENERGIA,5.52
SP,05/01/2023,GASOLINA ADITIVADA,RAIZEN,5.3
SP,10/01/2023,DIESEL S10,ALESAT,6.46
SP,20/01/2023,DIESEL,VIBRA ENERGIA,6.37
SP,20/01/2023,DIESEL,IPIRANGA,6.32
SP,16/01/2023,GNV,BRANCA,4.94
SP,02/01/2023,ETANOL,PETROBRASIL,3.69
SP,03/01/2023,GASOLINA,BRANCA,4.83
SP,12/01/2023,DIESEL,BRANCA,6.2
SP,19/01/2023,GASOLINA,IPIRANGA,4.93
SP,09/01/2023,GASOLINA,BRANCA,4.78
SP,25/01/2023,DIESEL S10,IPIRANGA,6.54
SP,23/01/2023,ETANOL,TOTALENERGIES,3.29
SP,11/01/2023,GASOLINA,IPIRANGA,4.93
SP,10/01/2023,DIESEL S10,TOTALENERGIES,6.19
SP,19/01/2023,GASOLINA,RAIZEN,4.92
SP,17/01/2023,DIESEL S10,PETROBRASIL,5.99
SP,03/01/2023,DIESEL,BRANCA,6.22
SP,18/01/2023,GNV,BRANCA,5.08
SP,11/01/2023,DIESEL S10,IPIRANGA,6.55
SP,24/01/2023,GASOLINA,VIBRA ENERGIA,5.13
SP,25/01/2023,GNV,IPIRANGA,5.67
SP,12/01/2023,GNV,IPIRANGA,4.69
SP,18/01/2023,DIESEL S10,IPIRANGA,6.64
SP,16/01/2023,GASOLINA,BRANCA,4.72
SP,26/01/2023,ETANOL,IPIRANGA,3.73
SP,03/01/2023,ETANOL,VIBRA ENERGIA,4.04
SP,11/01/2023,ETANOL,BRANCA,3.71
SP,18/01/2023,GNV,VIBRA ENERGIA,5.48
SP,23/01/2023,GNV,IPIRANGA,5.18
SP,09/01/2023,DIESEL S10,ALESAT,6.4
SP,03/01/2023,DIESEL S10,RAIZEN,6.54
SP,09/01/2023,GASOLINA,ALESAT,5.0
SP,09/01/2023,DIESEL,D`MAIS,6.09
SP,24/01/2023,DIESEL S10,TOTALENERGIES,6.09
