Estado - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
TO,16/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.34
TO,11/01/2023,ETANOL,VIBRA ENERGIA,4.39
TO,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
TO,23/01/2023,DIESEL S10,VIBRA ENERGIA,6.27
TO,23/01/2023,GASOLINA,ALESAT,5.13
TO,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.29
TO,17/01/2023,DIESEL S10,IPIRANGA,6.14
TO,16/01/2023,ETANOL,ALESAT,4.27
TO,09/01/2023,DIESEL,BRANCA,6.02
TO,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.44
TO,02/01/2023,GASOLINA,RAIZEN,5.74
TO,17/01/2023,GASOLINA,BRANCA,5.01
TO,09/01/2023,GASOLINA ADITIVADA,BRANCA,5.32
TO,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.29
TO,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.74
TO,25/01/2023,GASOLINA,VIBRA ENERGIA,5.19
TO,09/01/2023,ETANOL,BRANCA,4.31
TO,23/01/2023,ETANOL,VIBRA ENERGIA,4.33
TO,09/01/2023,DIESEL,VIBRA ENERGIA,6.51
TO,24/01/2023,DIESEL S10,IPIRANGA,6.1
TO,04/01/2023,DIESEL,BRANCA,6.49
TO,04/01/2023,DIESEL S10,BRANCA,6.34
TO,04/01/2023,GASOLINA ADITIVADA,BRANCA,5.09
TO,09/01/2023,GASOLINA,IPIRANGA,5.29
TO,25/01/2023,GASOLINA,IPIRANGA,5.32
TO,10/01/2023,GASOLINA,RAIZEN,5.18
TO,25/01/2023,DIESEL S10,IPIRANGA,6.12
TO,02/01/2023,DIESEL S10,ALESAT,6.55
TO,25/01/2023,ETANOL,IPIRANGA,4.64
TO,10/01/2023,GASOLINA ADITIVADA,RAIZEN,5.47
TO,02/01/2023,GASOLINA ADITIVADA,ALESAT,5.3
TO,10/01/2023,ETANOL,BRANCA,4.36
TO,23/01/2023,DIESEL S10,BRANCA,6.19
TO,24/01/2023,GASOLINA ADITIVADA,RAIZEN,5.48
TO,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.21
TO,23/01/2023,DIESEL,IPIRANGA,6.59
TO,02/01/2023,DIESEL,VIBRA ENERGIA,6.55
TO,24/01/2023,DIESEL S10,BRANCA,5.93
TO,04/01/2023,ETANOL,IPIRANGA,4.58
TO,25/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
TO,17/01/2023,DIESEL S10,BRANCA,6.1
TO,16/01/2023,DIESEL S10,ALESAT,6.55
TO,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.33
TO,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.13
TO,17/01/2023,DIESEL,BRANCA,6.0
TO,04/01/2023,GASOLINA,BRANCA,5.22
TO,16/01/2023,DIESEL,ALESAT,6.44
TO,25/01/2023,ETANOL,VIBRA ENERGIA,4.33
TO,24/01/2023,DIESEL,VIBRA ENERGIA,6.11
TO,24/01/2023,DIESEL,BRANCA,5.81
TO,24/01/2023,DIESEL,RAIZEN,6.07
TO,24/01/2023,ETANOL,VIBRA ENERGIA,4.56
TO,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.67
TO,02/01/2023,GASOLINA ADITIVADA,RAIZEN,6.09
TO,24/01/2023,DIESEL S10,VIBRA ENERGIA,6.11
TO,02/01/2023,DIESEL S10,BRANCA,6.22
TO,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.21
TO,11/01/2023,GASOLINA,VIBRA ENERGIA,5.19
TO,02/01/2023,ETANOL,RAIZEN,4.74
TO,04/01/2023,DIESEL,IPIRANGA,6.06
TO,10/01/2023,DIESEL,RAIZEN,6.27
TO,17/01/2023,GASOLINA,VIBRA ENERGIA,5.19
TO,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.0
TO,24/01/2023,GASOLINA,RAIZEN,5.17
TO,02/01/2023,GASOLINA,IPIRANGA,5.46
TO,23/01/2023,ETANOL,ALESAT,4.27
TO,10/01/2023,GASOLINA,BRANCA,5.11
TO,17/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.25
TO,17/01/2023,DIESEL,VIBRA ENERGIA,6.16
TO,02/01/2023,ETANOL,BRANCA,4.28
TO,16/01/2023,DIESEL,VIBRA ENERGIA,6.39
TO,17/01/2023,ETANOL,VIBRA ENERGIA,4.44
TO,23/01/2023,DIESEL S10,ALESAT,6.55
TO,23/01/2023,GASOLINA ADITIVADA,ALESAT,5.29
TO,09/01/2023,ETANOL,ALESAT,4.24
TO,09/01/2023,DIESEL S10,VIBRA ENERGIA,6.51
TO,16/01/2023,GASOLINA,VIBRA ENERGIA,5.31
