Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
SE,MG,BELO HORIZONTE,POSTO SARAMENHA LTDA,00.416.899/0001-28,AVENIDA SERRANA,750,,SERRANO,30882-370,ETANOL,10/04/2023,3.79,,R$ / litro,IPIRANGA,2023-10-04,10,2023,2023-11-23
SE,MG,BELO HORIZONTE,POSTO SARAMENHA LTDA,00.416.899/0001-28,AVENIDA SERRANA,750,,SERRANO,30882-370,DIESEL S10,10/04/2023,5.77,,R$ / litro,IPIRANGA,2023-10-04,10,2023,2023-11-23
SE,MG,BELO HORIZONTE,POSTO SARAMENHA LTDA,00.416.899/0001-28,AVENIDA SERRANA,750,,SERRANO,30882-370,GASOLINA ADITIVADA,10/04/2023,5.57,,R$ / litro,IPIRANGA,2023-10-04,10,2023,2023-11-23
SE,MG,BELO HORIZONTE,POSTO SARAMENHA LTDA,00.416.899/0001-28,AVENIDA SERRANA,750,,SERRANO,30882-370,GASOLINA,10/04/2023,5.17,,R$ / litro,IPIRANGA,2023-10-04,10,2023,2023-11-23
SE,MG,VICOSA,POSTO TIP-TOP LTDA,03.049.823/0001-08,AVENIDA MARIA DE PAULA SANTANA,2880,,JOAO BRAZ DA COSTA VAL,36576-178,ETANOL,10/04/2023,3.94,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
SE,MG,VICOSA,POSTO TIP-TOP LTDA,03.049.823/0001-08,AVENIDA MARIA DE PAULA SANTANA,2880,,JOAO BRAZ DA COSTA VAL,36576-178,DIESEL S10,10/04/2023,5.99,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
SE,MG,VICOSA,POSTO TIP-TOP LTDA,03.049.823/0001-08,AVENIDA MARIA DE PAULA SANTANA,2880,,JOAO BRAZ DA COSTA VAL,36576-178,GASOLINA ADITIVADA,10/04/2023,5.59,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
SE,MG,VICOSA,POSTO TIP-TOP LTDA,03.049.823/0001-08,AVENIDA MARIA DE PAULA SANTANA,2880,,JOAO BRAZ DA COSTA VAL,36576-178,GASOLINA,10/04/2023,5.59,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
N,PA,ITAITUBA,L C ALMEIDA GOMES FREIRE EIRELI,05.925.849/0001-90,TRAVESSA VICTOR CAMPOS,66,,CENTRO,68180-070,DIESEL S10,10/04/2023,5.89,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
N,PA,ITAITUBA,L C ALMEIDA GOMES FREIRE EIRELI,05.925.849/0001-90,TRAVESSA VICTOR CAMPOS,66,,CENTRO,68180-070,DIESEL,10/04/2023,5.83,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
N,PA,ITAITUBA,L C ALMEIDA GOMES FREIRE EIRELI,05.925.849/0001-90,TRAVESSA VICTOR CAMPOS,66,,CENTRO,68180-070,GASOLINA,10/04/2023,5.45,,R$ / litro,BRANCA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,AUTO POSTO GLOBAL REVENDEDORA DE COMBUSTIVEIS LTDA,06.137.380/0001-97,RUA PROFESSOR BURITY,30,,CIDADE DOS COLIBRIS,58073-200,ETANOL,10/04/2023,3.97,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,AUTO POSTO GLOBAL REVENDEDORA DE COMBUSTIVEIS LTDA,06.137.380/0001-97,RUA PROFESSOR BURITY,30,,CIDADE DOS COLIBRIS,58073-200,GASOLINA ADITIVADA,10/04/2023,5.57,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,AUTO POSTO GLOBAL REVENDEDORA DE COMBUSTIVEIS LTDA,06.137.380/0001-97,RUA PROFESSOR BURITY,30,,CIDADE DOS COLIBRIS,58073-200,GASOLINA,10/04/2023,5.35,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,ESPIRITO SANTO COMERCIO DE COMBUSTIVEIS LTDA,05.661.052/0001-22,AVENIDA ESPIRITO SANTO,810,LOJA 101,BAIRRO DOS ESTADOS,58030-110,ETANOL,10/04/2023,3.95,,R$ / litro,RAIZEN,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,ESPIRITO SANTO COMERCIO DE COMBUSTIVEIS LTDA,05.661.052/0001-22,AVENIDA ESPIRITO SANTO,810,LOJA 101,BAIRRO DOS ESTADOS,58030-110,DIESEL S10,10/04/2023,5.79,,R$ / litro,RAIZEN,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,ESPIRITO SANTO COMERCIO DE COMBUSTIVEIS LTDA,05.661.052/0001-22,AVENIDA ESPIRITO SANTO,810,LOJA 101,BAIRRO DOS ESTADOS,58030-110,GASOLINA,10/04/2023,5.36,,R$ / litro,RAIZEN,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,COUTINHO E COUTINHO LTDA,07.063.185/0001-22,AVENIDA CRUZ DAS ARMAS,3133,,CRUZ DAS ARMAS,58085-000,ETANOL,10/04/2023,4.09,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,COUTINHO E COUTINHO LTDA,07.063.185/0001-22,AVENIDA CRUZ DAS ARMAS,3133,,CRUZ DAS ARMAS,58085-000,GASOLINA,10/04/2023,5.37,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,COUTINHO E COUTINHO LTDA,07.063.185/0001-22,AVENIDA CRUZ DAS ARMAS,3133,,CRUZ DAS ARMAS,58085-000,GNV,10/04/2023,4.24,,R$ / m³,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,POSTO DE COMBUSTÍVEIS JESUS DE NAZARÉ LTDA.,05.323.723/0001-45,RUA DOUTOR APOLONIO NOBREGA,90,,CASTELO BRANCO I,58050-260,ETANOL,10/04/2023,4.09,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
NE,PB,JOAO PESSOA,POSTO DE COMBUSTÍVEIS JESUS DE NAZARÉ LTDA.,05.323.723/0001-45,RUA DOUTOR APOLONIO NOBREGA,90,,CASTELO BRANCO I,58050-260,DIESEL S10,10/04/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-10-04,10,2023,2023-11-23
