Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,ETANOL,12/01/2023,4.44,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,DIESEL S10,12/01/2023,7.17,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,DIESEL,12/01/2023,7.15,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,GASOLINA ADITIVADA,12/01/2023,5.27,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,POSTO VILLAGE LTDA.,06.906.483/0001-74,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,GASOLINA,12/01/2023,5.27,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,ETANOL,12/01/2023,4.59,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,DIESEL S10,12/01/2023,7.19,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,DIESEL,12/01/2023,7.15,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,GASOLINA ADITIVADA,12/01/2023,5.47,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
N,AC,RIO BRANCO,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.198.443/0002-82,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,GASOLINA,12/01/2023,5.39,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,SEVERINO S. LOPES & CIA. LTDA,05.331.412/0002-09,AVENIDA MUNIZ FALCÃO,1640,"LOTES 08 E 09, LOT. GASTÃO LEÃO REGO",JOSÉ MAIA COSTA,57605-260,ETANOL,12/01/2023,4.2,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,SEVERINO S. LOPES & CIA. LTDA,05.331.412/0002-09,AVENIDA MUNIZ FALCÃO,1640,"LOTES 08 E 09, LOT. GASTÃO LEÃO REGO",JOSÉ MAIA COSTA,57605-260,DIESEL S10,12/01/2023,6.9,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,SEVERINO S. LOPES & CIA. LTDA,05.331.412/0002-09,AVENIDA MUNIZ FALCÃO,1640,"LOTES 08 E 09, LOT. GASTÃO LEÃO REGO",JOSÉ MAIA COSTA,57605-260,DIESEL,12/01/2023,6.8,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,SEVERINO S. LOPES & CIA. LTDA,05.331.412/0002-09,AVENIDA MUNIZ FALCÃO,1640,"LOTES 08 E 09, LOT. GASTÃO LEÃO REGO",JOSÉ MAIA COSTA,57605-260,GASOLINA ADITIVADA,12/01/2023,5.3,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,SEVERINO S. LOPES & CIA. LTDA,05.331.412/0002-09,AVENIDA MUNIZ FALCÃO,1640,"LOTES 08 E 09, LOT. GASTÃO LEÃO REGO",JOSÉ MAIA COSTA,57605-260,GASOLINA,12/01/2023,5.2,,R$ / litro,VIBRA ENERGIA,2023-12-01,12,2023,2023-11-23
