Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
NE,AL,RIO LARGO,AUTO POSTO FORENE LTDA,05.459.764/0001-63,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,ETANOL,02/03/2023,4.09,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,AL,RIO LARGO,AUTO POSTO FORENE LTDA,05.459.764/0001-63,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,DIESEL,02/03/2023,5.95,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,AL,RIO LARGO,AUTO POSTO FORENE LTDA,05.459.764/0001-63,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,GASOLINA ADITIVADA,02/03/2023,5.79,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,AL,RIO LARGO,AUTO POSTO FORENE LTDA,05.459.764/0001-63,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,GASOLINA,02/03/2023,5.69,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,AL,RIO LARGO,AUTO POSTO FORENE LTDA,05.459.764/0001-63,LOTEAMENTO SAO CAETANO,SN,LOTE  05 E 06             QUADRAF,PREFEITO ANTONIO LINS DE SOUZA,57100-000,GNV,02/03/2023,4.59,,R$ / m³,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,BA,BARREIRAS,DT COMBUSTÍVEIS LTDA,08.546.610/0001-05,AVENIDA ANTONIO CARLOS MAGALHÃES,S/N.º,LOT. NOVO HORIZONTE,NOVO HORIZONTE,47806-460,ETANOL,02/03/2023,4.69,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,BARREIRAS,DT COMBUSTÍVEIS LTDA,08.546.610/0001-05,AVENIDA ANTONIO CARLOS MAGALHÃES,S/N.º,LOT. NOVO HORIZONTE,NOVO HORIZONTE,47806-460,DIESEL S10,02/03/2023,6.25,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,BARREIRAS,DT COMBUSTÍVEIS LTDA,08.546.610/0001-05,AVENIDA ANTONIO CARLOS MAGALHÃES,S/N.º,LOT. NOVO HORIZONTE,NOVO HORIZONTE,47806-460,DIESEL,02/03/2023,6.15,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,BARREIRAS,DT COMBUSTÍVEIS LTDA,08.546.610/0001-05,AVENIDA ANTONIO CARLOS MAGALHÃES,S/N.º,LOT. NOVO HORIZONTE,NOVO HORIZONTE,47806-460,GASOLINA ADITIVADA,02/03/2023,5.99,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,ETANOL,02/03/2023,4.3,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,DIESEL S10,02/03/2023,6.2,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,DIESEL,02/03/2023,6.1,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,GASOLINA,02/03/2023,5.5,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,J.R.G. COMÉRCIO DE PETRÓLEO LTDA.,05.511.900/0001-17,AVENIDA BRASIL,528,,CENTRO,45836-000,ETANOL,02/03/2023,4.94,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,J.R.G. COMÉRCIO DE PETRÓLEO LTDA.,05.511.900/0001-17,AVENIDA BRASIL,528,,CENTRO,45836-000,DIESEL S10,02/03/2023,6.64,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,J.R.G. COMÉRCIO DE PETRÓLEO LTDA.,05.511.900/0001-17,AVENIDA BRASIL,528,,CENTRO,45836-000,GASOLINA ADITIVADA,02/03/2023,6.14,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,J.R.G. COMÉRCIO DE PETRÓLEO LTDA.,05.511.900/0001-17,AVENIDA BRASIL,528,,CENTRO,45836-000,GASOLINA,02/03/2023,5.94,,R$ / litro,VIBRA ENERGIA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,05.696.709/0001-97,AVENIDA PERIMETRAL,348,,CENTRO,45836-000,ETANOL,02/03/2023,4.94,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,05.696.709/0001-97,AVENIDA PERIMETRAL,348,,CENTRO,45836-000,DIESEL S10,02/03/2023,6.59,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,05.696.709/0001-97,AVENIDA PERIMETRAL,348,,CENTRO,45836-000,DIESEL,02/03/2023,6.39,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,CODEPEL COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,05.696.709/0001-97,AVENIDA PERIMETRAL,348,,CENTRO,45836-000,GASOLINA,02/03/2023,5.94,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,BENTIVI DERIVADOS DE PETROLEO LTDA,13.683.818/0001-06,RODOVIA BR 101,S/N,KM 808,SEDE,45836-000,ETANOL,02/03/2023,4.59,,R$ / litro,IPIRANGA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,BENTIVI DERIVADOS DE PETROLEO LTDA,13.683.818/0001-06,RODOVIA BR 101,S/N,KM 808,SEDE,45836-000,DIESEL,02/03/2023,5.75,,R$ / litro,IPIRANGA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,BENTIVI DERIVADOS DE PETROLEO LTDA,13.683.818/0001-06,RODOVIA BR 101,S/N,KM 808,SEDE,45836-000,GASOLINA ADITIVADA,02/03/2023,5.99,,R$ / litro,IPIRANGA,2023-02-03,2,2023,2023-11-23
NE,BA,ITAMARAJU,BENTIVI DERIVADOS DE PETROLEO LTDA,13.683.818/0001-06,RODOVIA BR 101,S/N,KM 808,SEDE,45836-000,GASOLINA,02/03/2023,5.89,,R$ / litro,IPIRANGA,2023-02-03,2,2023,2023-11-23
NE,BA,SALVADOR,ACF COMERCIO E SERVICOS LTDA,03.067.443/0001-98,RODOVIA BA  528,S/N,LOTES DE 2 A 4,PARIPE,40810-010,ETANOL,02/03/2023,4.85,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
NE,BA,SALVADOR,ACF COMERCIO E SERVICOS LTDA,03.067.443/0001-98,RODOVIA BA  528,S/N,LOTES DE 2 A 4,PARIPE,40810-010,DIESEL S10,02/03/2023,6.09,,R$ / litro,BRANCA,2023-02-03,2,2023,2023-11-23
