Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
N,AP,MACAPA,POSTO ICCAR LTDA,02.280.133/0034-52,AVENIDA RIO VILA NOVA,62,ESQ. C/RUA BEIRA RIO,TREM,68905-160,DIESEL S10,06/06/2023,4.99,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,POSTO ICCAR LTDA,02.280.133/0034-52,AVENIDA RIO VILA NOVA,62,ESQ. C/RUA BEIRA RIO,TREM,68905-160,GASOLINA,06/06/2023,5.01,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,03.659.452/0003-30,RUA CLAUDOMIRO DE MORAES,1130,,NOVO BURITIZAL,68904-000,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,03.659.452/0004-10,AVENIDA VIOLETA MONT'ALVERNE MOREIRA,275,,CONGOS,68900-000,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA,03.659.452/0002-59,RUA HILDEMAR MAIA,900,A,SANTA RITA,68901-310,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0026-75,RUA - GUANABARA,958,,PACOVAL,68908-360,DIESEL S10,06/06/2023,5.22,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0026-75,RUA - GUANABARA,958,,PACOVAL,68908-360,DIESEL,06/06/2023,5.04,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0026-75,RUA - GUANABARA,958,,PACOVAL,68908-360,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0016-01,AVENIDA PADRE JULIO M LOMBAERD,2143,,SANTA RITA,68900-030,DIESEL S10,06/06/2023,4.91,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0016-01,AVENIDA PADRE JULIO M LOMBAERD,2143,,SANTA RITA,68900-030,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA,05.983.192/0003-89,RUA CANDIDO MENDES,167,,CENTRAL,68900-100,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,COMERCIAL GRAO DE OURO LTDA,04.707.467/0001-27,RUA HILDEMAR MAIA,1951,,BURITIZAL,68905-160,GASOLINA,06/06/2023,4.98,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,SOUZA & CAVALCANTE COMERCIO LTDA,02.163.903/0001-19,RUA ODILARDO SILVA,1894,,CENTRAL,68900-151,DIESEL S10,06/06/2023,5.34,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,SOUZA & CAVALCANTE COMERCIO LTDA,02.163.903/0001-19,RUA ODILARDO SILVA,1894,,CENTRAL,68900-151,DIESEL,06/06/2023,5.19,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,SOUZA & CAVALCANTE COMERCIO LTDA,02.163.903/0001-19,RUA ODILARDO SILVA,1894,,CENTRAL,68900-151,GASOLINA ADITIVADA,06/06/2023,5.39,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
N,AP,MACAPA,SOUZA & CAVALCANTE COMERCIO LTDA,02.163.903/0001-19,RUA ODILARDO SILVA,1894,,CENTRAL,68900-151,GASOLINA,06/06/2023,5.19,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA,09.166.195/0001-19,AVENIDA ITABUNA,534,,CENTRO,45653-160,ETANOL,06/06/2023,4.59,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA,09.166.195/0001-19,AVENIDA ITABUNA,534,,CENTRO,45653-160,DIESEL S10,06/06/2023,5.49,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA,09.166.195/0001-19,AVENIDA ITABUNA,534,,CENTRO,45653-160,GASOLINA ADITIVADA,06/06/2023,5.99,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA,09.166.195/0001-19,AVENIDA ITABUNA,534,,CENTRO,45653-160,GASOLINA,06/06/2023,5.69,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,POSTO DE SERVICOS DOM EDUARDO LTDA.,13.631.353/0001-31,AVENIDA ITABUNA,1814,MODULOS A E B,BASILIO,45658-565,ETANOL,06/06/2023,4.47,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,POSTO DE SERVICOS DOM EDUARDO LTDA.,13.631.353/0001-31,AVENIDA ITABUNA,1814,MODULOS A E B,BASILIO,45658-565,GASOLINA ADITIVADA,06/06/2023,5.67,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,POSTO DE SERVICOS DOM EDUARDO LTDA.,13.631.353/0001-31,AVENIDA ITABUNA,1814,MODULOS A E B,BASILIO,45658-565,GASOLINA,06/06/2023,5.67,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,DERIVADOS DE PETROLEO LELEU LTDA,13.497.953/0001-59,AVENIDA ITABUNA,2282,,CENTRO,45653-160,ETANOL,06/06/2023,4.49,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,DERIVADOS DE PETROLEO LELEU LTDA,13.497.953/0001-59,AVENIDA ITABUNA,2282,,CENTRO,45653-160,DIESEL S10,06/06/2023,5.49,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,DERIVADOS DE PETROLEO LELEU LTDA,13.497.953/0001-59,AVENIDA ITABUNA,2282,,CENTRO,45653-160,DIESEL,06/06/2023,5.45,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,DERIVADOS DE PETROLEO LELEU LTDA,13.497.953/0001-59,AVENIDA ITABUNA,2282,,CENTRO,45653-160,GASOLINA ADITIVADA,06/06/2023,5.69,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,DERIVADOS DE PETROLEO LELEU LTDA,13.497.953/0001-59,AVENIDA ITABUNA,2282,,CENTRO,45653-160,GASOLINA,06/06/2023,5.69,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,COMERCIAL SAVOIA LTDA,02.366.787/0001-35,AVENIDA RAYMUNDO SA BARRETO,S/N,LOTES 26 27 E 28,JARDIM SAVOIA,45658-250,ETANOL,06/06/2023,4.47,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,COMERCIAL SAVOIA LTDA,02.366.787/0001-35,AVENIDA RAYMUNDO SA BARRETO,S/N,LOTES 26 27 E 28,JARDIM SAVOIA,45658-250,DIESEL S10,06/06/2023,5.59,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,COMERCIAL SAVOIA LTDA,02.366.787/0001-35,AVENIDA RAYMUNDO SA BARRETO,S/N,LOTES 26 27 E 28,JARDIM SAVOIA,45658-250,GASOLINA ADITIVADA,06/06/2023,5.67,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,COMERCIAL SAVOIA LTDA,02.366.787/0001-35,AVENIDA RAYMUNDO SA BARRETO,S/N,LOTES 26 27 E 28,JARDIM SAVOIA,45658-250,GASOLINA,06/06/2023,5.67,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,AM DERIVADOS DE PETROLEO E COMERCIO LTDA,00.175.819/0001-90,AVENIDA PETROBRAS,100,TERREO,CENTRO,45652-155,ETANOL,06/06/2023,4.49,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,AM DERIVADOS DE PETROLEO E COMERCIO LTDA,00.175.819/0001-90,AVENIDA PETROBRAS,100,TERREO,CENTRO,45652-155,DIESEL S10,06/06/2023,5.49,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,AM DERIVADOS DE PETROLEO E COMERCIO LTDA,00.175.819/0001-90,AVENIDA PETROBRAS,100,TERREO,CENTRO,45652-155,GASOLINA ADITIVADA,06/06/2023,5.75,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,ILHEUS,AM DERIVADOS DE PETROLEO E COMERCIO LTDA,00.175.819/0001-90,AVENIDA PETROBRAS,100,TERREO,CENTRO,45652-155,GASOLINA,06/06/2023,5.68,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,ETANOL,06/06/2023,4.15,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,DIESEL S10,06/06/2023,4.95,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,DIESEL,06/06/2023,4.85,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,GASOLINA ADITIVADA,06/06/2023,5.25,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,IRECE,O TORRES,14.075.105/0004-67,AVENIDA SANTOS LOPES,1660,,CENTRO,44900-000,GASOLINA,06/06/2023,5.25,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,SS COMERCIO DERIVADOS DE PETROLEO LTDA,08.505.094/0001-62,RUA BERTINO PASSOS,250,,CENTRO,45202-340,ETANOL,06/06/2023,4.65,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,SS COMERCIO DERIVADOS DE PETROLEO LTDA,08.505.094/0001-62,RUA BERTINO PASSOS,250,,CENTRO,45202-340,DIESEL S10,06/06/2023,5.19,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,SS COMERCIO DERIVADOS DE PETROLEO LTDA,08.505.094/0001-62,RUA BERTINO PASSOS,250,,CENTRO,45202-340,DIESEL,06/06/2023,5.09,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,SS COMERCIO DERIVADOS DE PETROLEO LTDA,08.505.094/0001-62,RUA BERTINO PASSOS,250,,CENTRO,45202-340,GASOLINA ADITIVADA,06/06/2023,5.87,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,SS COMERCIO DERIVADOS DE PETROLEO LTDA,08.505.094/0001-62,RUA BERTINO PASSOS,250,,CENTRO,45202-340,GASOLINA,06/06/2023,5.87,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,D & M COMERCIAL LTDA,03.550.965/0001-46,AVENIDA JOAO GOULART,65,,CENTRO,45200-070,ETANOL,06/06/2023,4.69,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,D & M COMERCIAL LTDA,03.550.965/0001-46,AVENIDA JOAO GOULART,65,,CENTRO,45200-070,DIESEL S10,06/06/2023,5.99,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,D & M COMERCIAL LTDA,03.550.965/0001-46,AVENIDA JOAO GOULART,65,,CENTRO,45200-070,DIESEL,06/06/2023,5.89,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,D & M COMERCIAL LTDA,03.550.965/0001-46,AVENIDA JOAO GOULART,65,,CENTRO,45200-070,GASOLINA ADITIVADA,06/06/2023,6.17,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,D & M COMERCIAL LTDA,03.550.965/0001-46,AVENIDA JOAO GOULART,65,,CENTRO,45200-070,GASOLINA,06/06/2023,5.87,,R$ / litro,RAIZEN,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,05.924.835/0001-51,RUA DR. JOAO BRAGA,S/N,,JEQUIEZINHO,45205-011,ETANOL,06/06/2023,4.47,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,05.924.835/0001-51,RUA DR. JOAO BRAGA,S/N,,JEQUIEZINHO,45205-011,DIESEL,06/06/2023,4.85,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,JEQUIEZINHO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,05.924.835/0001-51,RUA DR. JOAO BRAGA,S/N,,JEQUIEZINHO,45205-011,GASOLINA,06/06/2023,5.84,,R$ / litro,BRANCA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.,34.214.809/0001-38,AVENIDA FRANZ GEDEON,250,0,CENTRO,45200-130,ETANOL,06/06/2023,4.68,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.,34.214.809/0001-38,AVENIDA FRANZ GEDEON,250,0,CENTRO,45200-130,DIESEL S10,06/06/2023,5.19,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.,34.214.809/0001-38,AVENIDA FRANZ GEDEON,250,0,CENTRO,45200-130,DIESEL,06/06/2023,5.09,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.,34.214.809/0001-38,AVENIDA FRANZ GEDEON,250,0,CENTRO,45200-130,GASOLINA ADITIVADA,06/06/2023,5.99,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.,34.214.809/0001-38,AVENIDA FRANZ GEDEON,250,0,CENTRO,45200-130,GASOLINA,06/06/2023,5.89,,R$ / litro,IPIRANGA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA,13.707.245/0001-03,RUA BRIG SA BITENCOURT,5,,JEQUIEZINHO,45208-087,ETANOL,06/06/2023,4.69,,R$ / litro,VIBRA ENERGIA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA,13.707.245/0001-03,RUA BRIG SA BITENCOURT,5,,JEQUIEZINHO,45208-087,GASOLINA ADITIVADA,06/06/2023,6.09,,R$ / litro,VIBRA ENERGIA,2023-06-06,6,2023,2023-11-23
NE,BA,JEQUIE,STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA,13.707.245/0001-03,RUA BRIG SA BITENCOURT,5,,JEQUIEZINHO,45208-087,GASOLINA,06/06/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-06-06,6,2023,2023-11-23
