Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
SE,SP,SOROCABA,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00.003.188/0001-21,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,ETANOL,07/03/2023,3.51,,R$ / litro,BRANCA,2023-07-03,7,2023,2023-11-23
SE,SP,SOROCABA,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00.003.188/0001-21,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,DIESEL S10,07/03/2023,5.82,,R$ / litro,BRANCA,2023-07-03,7,2023,2023-11-23
SE,SP,SOROCABA,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,00.003.188/0001-21,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,GASOLINA,07/03/2023,4.79,,R$ / litro,BRANCA,2023-07-03,7,2023,2023-11-23
N,AC,CRUZEIRO DO SUL,CARDINAL E OLIVEIRA LTDA,03.608.766/0006-56,AVENIDA 25 DE AGOSTO,1350,,25 DE AGOSTO,69980-000,DIESEL,07/03/2023,7.56,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
N,AC,CRUZEIRO DO SUL,CARDINAL E OLIVEIRA LTDA,03.608.766/0006-56,AVENIDA 25 DE AGOSTO,1350,,25 DE AGOSTO,69980-000,GASOLINA,07/03/2023,6.99,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
N,AC,CRUZEIRO DO SUL,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.492.748/0003-83,AVENIDA COPACABANA,440,,COPACABANA,69980-000,ETANOL,07/03/2023,5.49,,R$ / litro,IPIRANGA,2023-07-03,7,2023,2023-11-23
N,AC,CRUZEIRO DO SUL,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.492.748/0003-83,AVENIDA COPACABANA,440,,COPACABANA,69980-000,DIESEL,07/03/2023,7.54,,R$ / litro,IPIRANGA,2023-07-03,7,2023,2023-11-23
N,AC,CRUZEIRO DO SUL,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.492.748/0003-83,AVENIDA COPACABANA,440,,COPACABANA,69980-000,GASOLINA ADITIVADA,07/03/2023,6.97,,R$ / litro,IPIRANGA,2023-07-03,7,2023,2023-11-23
N,AC,CRUZEIRO DO SUL,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,01.492.748/0003-83,AVENIDA COPACABANA,440,,COPACABANA,69980-000,GASOLINA,07/03/2023,6.97,,R$ / litro,IPIRANGA,2023-07-03,7,2023,2023-11-23
NE,AL,PALMEIRA DOS INDIOS,A. B. LESSA NETO & CIA LTDA,05.562.589/0001-35,AVENIDA VIEIRA DE BRITO,1888,,VILA MARIA,57607-570,ETANOL,07/03/2023,4.4,,R$ / litro,VIBRA ENERGIA,2023-07-03,7,2023,2023-11-23
